"protein_group","abundance_A_1","abundance_A_2","abundance_A_3","abundance_B_1","abundance_B_2","abundance_B_3","number_of_peptides_A_1","number_of_peptides_A_2","number_of_peptides_A_3","number_of_peptides_B_1","number_of_peptides_B_2","number_of_peptides_B_3","differential_abundance_pvalue_A_vs_B","differential_abundance_qvalue_A_vs_B","log_ratios_A_vs_B"
"P43535",-23.9485026509,-24.0105636333,-22.9272439341,NA,NA,NA,7,7,7,2,2,1,NA,NA,NA
"P43555",-21.9091793456,-21.2719262863,-21.4626923461,NA,-23.0988360193,-22.0501325281,6,4,8,NA,3,2,0.0392690009956854,0.338983050847458,1.02655161436667
"P43558",NA,-22.3724554411,NA,NA,NA,NA,2,3,2,NA,NA,1,NA,NA,NA
"P43561",-23.6496341358,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA
"P43569",-22.8184500628,-22.627532391,-21.990574525,NA,NA,NA,2,1,2,0,0,1,NA,NA,NA
"P43582",-20.298070609,-20.2131056847,-20.5080091664,NA,-21.2737479848,-21.3895228493,2,3,2,1,1,2,0.022833720544308,0.257142857142857,0.991906930350002
"P43585",-22.7126576046,-22.7333010682,-23.7414682083,-22.7391000369,-23.6887264546,NA,10,18,14,5,5,4,0.702726020577498,0.916775032509753,0.151437618716667
"P43588",-22.0337250734,-22.3813443101,-21.3542186487,NA,-22.1695143941,-22.3510040437,8,9,8,5,3,4,0.395115001659476,0.796742671009772,0.337163208166665
"P43590",-22.6872195891,-22.6950807254,-22.1230206949,-23.3739262165,NA,-23.0439014675,6,5,4,2,1,2,0.095238964487222,0.501893939393939,0.707140172200003
"P43593",-21.0357490828,-22.7320398706,-21.6319588063,-23.1701949699,-22.0310938251,-22.2090112521,6,5,8,2,4,6,0.162623133089944,0.576872536136662,0.670184095800003
"P43597",NA,-22.9429427663,-24.8857004338,NA,NA,NA,2,4,2,NA,NA,NA,NA,NA,NA
"P43598",-22.0680623006,-21.0306113991,-22.470322583,NA,NA,NA,1,4,5,NA,NA,2,NA,NA,NA
"P43603",-21.232907671,-20.7571993636,-21.0256404013,-22.4331081033,-21.8427888981,-22.5671201456,10,10,10,5,4,3,0.0104777630268835,0.15748031496063,1.27575657036667
"P43609",-21.6536102541,-23.8827391148,-22.190578939,NA,NA,NA,9,6,9,2,2,2,NA,NA,NA
"P43616",-20.7017380809,-20.7979374859,-20.6736449138,-20.7062191283,-21.2240538234,-21.304930018,8,15,14,8,11,8,0.331637238632592,0.759750390015601,0.3539608297
"P43621",NA,NA,NA,NA,NA,-27.2704713988,NA,4,1,NA,NA,1,NA,NA,NA
"P43639",-22.675799724,-22.174393569,-22.3560852923,NA,NA,NA,2,3,1,NA,NA,NA,NA,NA,NA
"P43686",-21.0609786197,-20.1543823349,-20.0668289352,-18.7822053847,-19.7115506118,-19.1928428133,16,16,26,25,19,29,0.0196835380019914,0.229166666666667,-1.19853036
"P43897",-22.0225659579,-21.9366899751,-21.156043217,NA,-21.9688965129,-20.6236768836,5,4,5,2,3,8,0.358724361101892,0.778104335047759,-0.408813018416666
"P45523",NA,NA,NA,NA,-20.4527203526,NA,1,NA,NA,9,6,8,NA,NA,NA
"P45880",-18.7704972255,-18.4625337944,-19.0026326264,-19.0606277766,-18.3569784237,-18.9024021068,17,19,17,15,16,17,0.913850315300365,0.957336108220604,0.0281148869333343
"P45973",-19.5763504212,-19.4258056481,-20.4225249666,-19.7373207501,-19.4698904429,-19.7748018207,10,10,11,13,9,7,0.678042482575506,0.913254073095553,-0.147556007400002
"P45974",-20.8616873425,-20.4251933838,-20.8003503685,-20.4207184108,-21.9565410669,-20.724396122,22,21,17,22,19,19,0.412886989711251,0.796742671009772,0.338141501633334
"P45978",-22.3428994451,-22.6318398264,-22.6159974764,-22.5920270094,-22.6618961401,-22.6761185799,5,2,2,4,1,1,0.715009459010953,0.927234042553192,0.1131016605
"P45983",NA,NA,NA,NA,NA,-23.2166083812,NA,0,2,3,1,2,NA,NA,NA
"P46013",NA,NA,NA,NA,NA,-26.4273618885,1,1,4,3,3,5,NA,NA,NA
"P46060",-19.8366559564,-20.1098282771,-19.8985463349,-19.5153475147,-19.783059847,-19.8157899931,18,16,19,19,19,20,0.469468801858613,0.82777115613826,-0.2436110712
"P46087",-21.9501047163,-22.3652684851,-22.9110447071,-22.0235431733,-21.7547002072,-22.0060593435,13,9,10,12,10,12,0.229361433786923,0.677720207253886,-0.480705061500004
"P46108",-20.7862067733,-21.3059429422,-20.3648583091,-22.3406983509,-21.1669167602,-20.304754308,4,5,5,2,3,4,0.32433421838699,0.753554502369668,0.451787131499998
"P46109",-18.3051266036,-18.0625003549,-18.2006892728,-18.0761027033,-18.5677100013,-18.355934701,23,24,32,27,26,31,0.658138732160637,0.908677873693776,0.143810391433334
"P46199",-22.9748243081,NA,NA,-23.4956523271,NA,NA,4,2,4,4,4,2,NA,NA,NA
"P46367",-19.3533457257,-19.5487967645,-19.1311025468,-20.1025134155,-20.8051737297,-20.3916021988,26,26,30,15,18,17,0.0199797543976104,0.233160621761658,1.08868143566667
"P46379",-21.0120510775,-21.2830495684,-21.959950841,-21.0925367895,-21.2119881743,-21.1030154133,13,15,13,17,17,16,0.444599402588782,0.808277541083384,-0.282503703266666
"P46459",-21.4669548686,-21.9103300554,-21.5852860998,-21.678443978,-21.6249347562,-21.6711794446,13,17,21,15,17,13,0.966304015930966,0.970254010695187,0.00399571833333212
"P46655",-20.3056295827,-20.1752685804,-19.9270867812,-21.1316913184,-21.283532195,-21.8795707146,31,27,28,23,17,21,0.00951012280119482,0.150793650793651,1.29560309456667
"P46672",-19.5064795769,-18.7352689214,-19.8777261448,-19.7201972621,-19.9467559682,-19.8056347123,17,20,17,10,7,8,0.265578161301029,0.714036617262424,0.451037766500004
"P46676",NA,-24.3949391526,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"P46680",-20.8754672013,-20.9825621698,-20.9053049299,-23.6628850548,-23.3126771369,-22.6022792102,11,15,9,2,5,3,0.000477431131762363,0,2.27150236696666
"P46682",NA,-23.8626800967,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA
"P46683",-20.6896037555,-20.6872585866,NA,NA,NA,-21.9577737434,2,4,2,1,NA,2,NA,NA,NA
"P46736",NA,NA,NA,-22.5021965661,NA,-22.4924139188,3,2,NA,2,2,2,NA,NA,NA
"P46776",-19.0480332461,-19.553045487,-19.7520411164,-19.2017990413,-19.4297189238,-19.3480922093,5,6,6,9,5,9,0.708416528377033,0.921551724137931,-0.124503225033333
"P46777",-18.2442156969,-18.4351537863,-18.1819191222,-18.3283204556,-17.8016256239,-17.8465336311,39,40,37,41,42,44,0.404050614005974,0.796742671009772,-0.294936298266666
"P46778",-19.1004429284,-19.0926662264,-21.0150100274,-18.9786339762,-18.8773904049,-20.1861506318,6,10,12,11,13,9,0.407064221705941,0.796742671009772,-0.388648056433329
"P46779",-20.9401139885,-21.0679995799,NA,-21.0180169907,-21.0606608588,-21.202416296,8,9,7,10,10,8,0.762224858944573,0.928516228748068,0.0896412642999991
"P46781",-21.4851204979,-21.9151913248,-20.7969103402,-20.6164022857,-21.3918024365,-20.7840534564,9,9,10,9,11,6,0.262266843677398,0.714036617262424,-0.468321328099996
"P46782",-19.081821483,-19.6617404032,-18.5874192655,-18.7505722423,-18.8663608146,-18.6984755726,9,6,12,9,9,12,0.376572021241288,0.792492917847025,-0.338524174066666
"P46783",-18.5657217216,-18.4467085081,-18.5387970891,-18.3013287221,-18.1656264937,-18.3433703037,16,18,21,18,21,23,0.448442748091603,0.808277541083384,-0.246967266433334
"P46784",-19.7625190891,-20.2772160816,-19.8566039277,-20.1848393143,-19.1280393426,-19.2118195206,3,4,4,4,4,4,0.266763026883505,0.714036617262424,-0.457213640299997
"P46821",-21.6956766338,-21.489164148,-22.0151070322,-21.5885096276,-21.8963256472,-21.9314972243,20,22,18,21,17,21,0.815088118154663,0.932222642938281,0.0721282283666653
"P46926",-22.1316594772,-22.2317654794,NA,-21.8705413359,NA,NA,3,3,NA,3,1,NA,NA,NA,NA
"P46940",-20.6765963105,-20.0964769094,-20.3936132378,-20.4829671801,-20.6260708848,-20.4163567948,33,38,32,42,41,46,0.712678227680053,0.927234042553192,0.119569467333331
"P46956",-21.8278152291,NA,NA,NA,NA,NA,3,2,2,1,3,3,NA,NA,NA
"P46964",-20.870276552,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"P46971",NA,-24.0295583668,NA,NA,NA,-24.1017779642,2,3,4,2,2,2,NA,NA,NA
"P46976",NA,-22.6349871441,-22.8133584309,NA,-22.4936519753,NA,2,1,4,3,2,4,NA,NA,NA
"P46984",NA,NA,-19.9130585979,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA
"P46985",NA,NA,-23.113423241,-22.9923410892,NA,NA,1,1,2,2,2,1,NA,NA,NA
"P46988",-20.896315503,NA,NA,NA,NA,NA,2,2,1,NA,1,NA,NA,NA,NA
"P46990",NA,NA,-21.4191199124,NA,NA,NA,12,9,1,7,1,1,NA,NA,NA
"P46992",-22.483562383,NA,NA,-22.665750094,-23.1489294344,NA,3,3,2,4,2,NA,NA,NA,NA
"P47018",NA,-23.7497132054,-23.3220845353,NA,NA,-23.8247888456,8,7,11,4,5,5,NA,NA,NA
"P47031",-24.2919790145,NA,NA,NA,NA,NA,4,1,2,2,2,NA,NA,NA,NA
"P47035",-22.9873594737,-24.0632624305,-23.8779543325,NA,NA,NA,4,3,3,2,1,NA,NA,NA,NA
"P47039",NA,-21.580209307,NA,NA,NA,-22.5607777397,4,5,5,3,1,3,NA,NA,NA
"P47044",-21.7078445706,-20.9980829376,-21.781100767,NA,NA,NA,3,4,2,3,3,0,NA,NA,NA
"P47047",NA,-22.7756603305,-25.0614212376,NA,NA,NA,5,6,3,NA,NA,NA,NA,NA,NA
"P47068",-23.2511465185,-23.4060366585,-23.589710541,NA,NA,NA,16,11,16,5,4,10,NA,NA,NA
"P47075",-21.371578294,-21.475979781,-21.0662887719,-23.5227427924,-23.0156829328,-22.896227452,14,21,16,8,12,11,0.00118138068370395,0.0333333333333333,1.84026877676667
"P47079",-20.8133191664,-21.06810414,-20.0982135835,-21.3200195241,-21.2390166692,-22.2199432172,14,18,19,12,14,16,0.051635745104547,0.38135593220339,0.933114173533337
"P47089",-21.5124447333,-20.4146581227,-21.272913573,-21.6727492373,-21.5587969137,-21.5255835393,3,4,2,3,3,2,0.208056588118155,0.650334075723831,0.519037753766664
"P47096",-21.3250440214,NA,-21.5333369605,NA,NA,NA,3,2,2,1,1,1,NA,NA,NA
"P47103",NA,NA,-23.095518018,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"P47117",-23.1938679379,-23.2829444449,-23.3889612946,NA,NA,NA,3,3,6,3,1,2,NA,NA,NA
"P47119",-21.6295537856,NA,-21.4653280005,-21.9789864816,-21.4861081831,-21.5872844022,4,2,3,3,1,1,0.680781115167607,0.913254073095553,0.136685462583333
"P47120",-19.9007545069,-20.5568066852,-19.2391431973,-20.2885488552,-22.6642533566,-22.2610671531,13,8,13,11,4,7,0.00595453036840358,0.118811881188119,1.83905499183333
"P47122",-21.2041564537,-21.8020608262,-21.8311434522,-21.6567341397,-21.7425911395,NA,4,3,4,3,2,1,0.788713242615334,0.928516228748068,0.087209062233331
"P47133",-21.5255000542,NA,-22.7016512694,-22.6928571474,-22.5097524097,-22.4045967737,3,2,2,1,1,1,0.31361334218387,0.75,0.422159781800001
"P47137",-21.5235475152,-21.4315748086,NA,NA,NA,NA,4,4,1,NA,NA,NA,NA,NA,NA
"P47143",-18.631251699,-18.9245083028,-19.0731238986,-19.4428568469,-19.8239199352,-19.4527357097,16,14,17,11,13,17,0.0860517756388981,0.473360655737705,0.696876197133331
"P47154",NA,-22.7082765457,-22.9023655804,NA,NA,NA,4,5,4,2,2,NA,NA,NA,NA
"P47160",-22.4061879138,-20.6856808167,-21.7049264408,-22.6823793745,-21.6966652443,-21.8215960349,3,5,4,2,3,3,0.298593262529041,0.730866274179983,0.467948494133331
"P47176",-20.3861100384,-20.7949155373,-21.1986225993,-20.5405204346,-21.9292368629,-20.8345296341,9,8,8,8,5,5,0.449713242615334,0.808277541083384,0.308212918866669
"P47224",NA,NA,NA,-21.3070310368,NA,NA,1,1,1,2,2,NA,NA,NA,NA
"P47755",-19.6145280943,-19.2555112136,-20.0323948356,-19.2910868332,-19.1299622219,-19.7863017494,7,8,7,9,7,6,0.527260537670096,0.854899837574445,-0.231694446333332
"P47756",-19.2573484487,-18.7373854333,-19.8074374144,-19.1055615196,-19.2152009682,-19.0294034583,25,30,29,26,29,28,0.670204447394623,0.911711711711712,-0.1506684501
"P47771",NA,NA,-23.454761059,NA,NA,NA,7,8,1,3,6,5,NA,NA,NA
"P47818",-22.545761323,-22.2013685126,NA,NA,NA,NA,4,3,3,NA,NA,NA,NA,NA,NA
"P47897",-19.6297463512,-20.3103019042,-19.9615620003,-19.578116266,-19.6442857751,-19.539301662,30,24,28,29,31,30,0.30320046465317,0.737623762376238,-0.379968850866668
"P47912",-23.3793433879,-23.6796028759,-21.8362645875,NA,-23.5462568275,-22.6915294307,8,11,7,4,2,3,0.724352804513774,0.928516228748068,0.153822845333334
"P47914",-20.3999941236,-21.351455692,-21.3432305725,-21.2607965819,-21.7556403554,-21.6124507401,3,2,2,2,2,2,0.216844175240624,0.65948275862069,0.511402429766665
"P47985",-22.0808252604,-22.1018410938,-21.9398649864,-21.7081929375,-21.7970207527,-20.9630556713,5,6,5,5,5,7,0.172148854961832,0.588383838383838,-0.5514206597
"P48015",-21.6201832858,-21.4492651306,-22.6909803837,NA,NA,-22.9695054007,7,5,7,4,NA,3,NA,NA,NA
"P48047",-19.4559828792,-19.2682511161,-19.7567234983,-19.3424837366,-19.6012832832,-19.5204750263,9,8,11,7,8,10,0.962700298705609,0.969148222669349,-0.00557181583333133
"P48059",-22.4069062892,-22.2321430949,-22.4717023242,-22.8677433664,-22.2651313231,-21.573652485,5,5,3,4,4,3,0.709545303684036,0.921619293712317,-0.134741511266665
"P48147",-20.2331349949,-20.6312557798,-20.7116957939,-19.919883598,-20.4960393301,-20.272270426,23,18,21,23,21,19,0.411939429140392,0.796742671009772,-0.295964404833335
"P48164",-19.11654483,-19.214532445,-19.083513614,-20.4793692774,-20.4211190686,-20.0003595967,18,17,19,8,8,13,0.0120182542316628,0.171428571428571,1.16208568456667
"P48200",NA,-25.1888641393,NA,-24.6027936914,-23.4039177452,-24.0898542708,2,3,2,5,4,1,NA,NA,NA
"P48231",NA,NA,-24.8027808969,NA,NA,NA,1,NA,3,1,NA,NA,NA,NA,NA
"P48236",NA,NA,NA,NA,-23.6940673491,NA,2,NA,5,3,1,1,NA,NA,NA
"P48415",-24.4478074672,-24.4163574521,NA,NA,NA,NA,3,6,4,NA,NA,NA,NA,NA,NA
"P48426",-22.7571106031,-21.3180726349,-21.598389142,-21.3143075413,-22.7541176049,-21.8259747652,4,6,6,9,5,5,0.842020909392632,0.939970171513796,0.0736091771333349
"P48439",-22.6334520475,NA,NA,NA,NA,NA,4,2,1,NA,NA,1,NA,NA,NA
"P48444",-21.37368236,-20.6928711663,-21.2927093422,-20.2433523465,-21.3692775217,-21.5181869323,15,16,16,15,14,13,0.827736143378692,0.935289691497366,-0.0761486893333334
"P48445",NA,-23.4310042163,-23.9172023132,NA,NA,NA,1,2,2,NA,NA,NA,NA,NA,NA
"P48449",-22.319550009,-23.3050995957,-22.0220808617,-21.7870919397,-22.5982707573,-21.9681653364,11,8,9,7,6,5,0.306012612014603,0.737623762376238,-0.431067477666669
"P48507",-20.1021695459,-19.5602259031,-20.9632261193,-20.8478274878,-19.7720202075,-20.9040317036,6,8,5,7,6,7,0.47470361765682,0.829525483304042,0.299419276866665
"P48510",-21.5355730623,NA,-21.124626544,NA,NA,-21.7929822698,5,4,5,2,1,2,NA,NA,NA
"P48556",-21.160419519,NA,-22.0207277262,-21.150415075,-22.3354641099,NA,6,6,5,9,8,5,0.719024560238964,0.927234042553192,0.152365969849999
"P48570",-22.8042041048,-22.6767729502,-21.8613286625,-23.1609829769,-22.7575576514,NA,1,2,2,1,2,1,0.228590773315632,0.676409185803758,0.511835074983335
"P48582",NA,NA,-23.5436461562,NA,NA,NA,6,6,7,NA,NA,NA,NA,NA,NA
"P48589",-18.8265260403,-19.8088737363,-18.5179777873,-20.8406596262,-18.5234560107,-18.9573833603,10,11,11,7,8,9,0.413945569200133,0.796742671009772,0.3893738111
"P48606",-19.3626420782,-19.8752119746,-20.6451430898,-20.0069195531,-19.9679437749,-20.8832745248,6,6,5,5,4,4,0.427939595087952,0.80690537084399,0.325046903400001
"P48634",-22.2790698913,-22.0819821915,-22.5427680989,-23.3878807621,-22.6641361592,-22.0580964789,17,17,16,11,15,17,0.325455028211085,0.753554502369668,0.4020977395
"P48637",-22.4613724827,-22.86671693,-21.9083046,-21.6623004054,-22.9018815064,-23.0412458918,5,2,3,6,5,5,0.74489827414537,0.928516228748068,0.123011263633334
"P48643",-19.4807567906,-19.5706675899,-19.1285231549,-19.6438276798,-18.6945143701,-19.0257500863,40,43,49,46,49,53,0.465936773979423,0.820359281437126,-0.271951799733333
"P48681",NA,NA,-25.1448448885,NA,-24.6987320892,NA,4,4,3,5,5,4,NA,NA,NA
"P48730",NA,-23.2602867544,NA,NA,NA,NA,1,1,1,NA,1,1,NA,NA,NA
"P48735",-20.813342855,-20.4402523619,-20.1879081232,-20.4127033643,-20.7231554272,-20.0194324216,17,14,18,14,18,19,0.771117490872884,0.928516228748068,-0.0954040423333353
"P48739",NA,NA,-22.2742202481,-22.2031199594,-21.8328773647,-22.2679323118,5,5,5,3,9,6,NA,NA,NA
"P48813",NA,-23.6023829119,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"P48837",-23.6307870946,NA,-23.521190667,NA,NA,NA,4,5,4,NA,1,2,NA,NA,NA
"P49005",-21.6253844725,NA,-23.0651949701,-20.734964185,-22.4067522402,-21.121446168,5,5,7,8,5,6,0.0948101559907069,0.500956022944551,-0.924235523566665
"P49006",NA,-21.0543470464,-20.5160031792,-20.7507719171,-20.52936457,-20.4619538995,2,4,4,3,4,3,0.558768171257882,0.862603305785124,-0.204478317266666
"P49023",-23.5834815168,-23.1097633056,-23.8783367328,NA,NA,-21.6352281737,3,5,4,2,2,4,NA,NA,NA
"P49089",-21.0043619943,-22.1890027901,-21.5291196245,-22.202043717,-22.0584357915,-21.0069289678,8,8,6,6,4,9,0.643005642217059,0.898375870069606,0.181641355799997
"P49090",-20.5363595708,-20.8730546065,-21.0646933554,-21.1924918969,-21.1469678185,-20.9234043047,21,16,24,13,13,15,0.449213242615334,0.808277541083384,0.262918829133334
"P49095",-21.851351498,-21.4179205769,-21.5910828556,-24.2609316656,-23.7364394015,-24.2531455719,10,11,12,3,4,4,0.000292399601725855,0,2.46338723616667
"P49167",-18.4351704863,-18.311322026,-18.4310663917,-18.1916739252,-18.3741313856,-18.6251797073,10,8,8,7,6,7,0.965015599070694,0.969879518072289,0.00447537136666654
"P49189",-21.2003694725,-21.3624487123,-20.737641165,-20.9528400974,-21.1803171759,-21.3809589432,6,10,10,9,9,11,0.820059741121805,0.932222642938281,0.071218955566664
"P49247",-19.9180390156,-20.8165995462,-20.2412377318,-21.0101855542,-19.5584739966,-20.4148765255,6,5,9,5,8,9,0.970181214736143,0.970372836218375,0.00255326090000096
"P49257",NA,NA,-21.7599220168,NA,-22.1949149054,-22.5436431183,2,2,3,4,2,2,NA,NA,NA
"P49321",-19.4855814976,-19.1184121069,-19.1738448499,-19.8552418541,-19.1178039116,-18.9411515696,28,36,37,33,46,45,0.878970129439097,0.952091526635681,0.0454529603000005
"P49327",-19.2767522816,-19.2662831693,-19.4424369499,-19.2135685771,-19.1149727715,-19.1690794885,100,121,115,120,126,131,0.602195154331231,0.880975609756098,-0.1626171879
"P49334",-19.9194902184,-21.0257628628,-20.8791594186,-20.8759816982,-20.8119440731,-20.0670196963,4,1,2,3,4,2,0.928453202787919,0.960027567195038,-0.0231556774000019
"P49336",-24.2734464644,NA,NA,-22.2368468611,NA,NA,7,10,7,7,10,7,NA,NA,NA
"P49354",-22.9434296045,NA,NA,NA,NA,NA,3,3,3,2,3,2,NA,NA,NA
"P49356",NA,-22.6039748897,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA
"P49366",-22.6285540392,-22.1549362575,-21.8549284532,-21.289924043,-20.4868603557,-20.5042014569,2,2,4,5,5,8,0.00672419515433123,0.118811881188119,-1.45247763143334
"P49368",-18.2009657976,-18.2863528793,-18.4162253998,-18.5219893815,-18.6103516819,-18.3285320848,55,57,56,60,50,64,0.566297212080982,0.867179487179487,0.185776357166667
"P49406",-22.6786691428,-22.3841102651,-22.6535493788,-21.6596047518,-22.7229876527,-22.7534014995,5,4,5,5,5,6,0.600679721208098,0.880333496812163,-0.193444960899999
"P49407",NA,NA,-23.1976257884,NA,-22.9677478108,-22.2689648064,4,NA,3,3,5,2,NA,NA,NA
"P49411",-18.0660986494,-18.1507201614,-18.0582692736,-18.1367349404,-18.2342592143,-18.1836100006,46,45,53,42,52,52,0.749228177895785,0.928516228748068,0.0931720236333327
"P49427",NA,NA,NA,NA,NA,-22.0087217457,2,NA,2,2,2,4,NA,NA,NA
"P49435",-20.5037249957,-20.0593874693,-20.1559860516,NA,NA,-21.7567721213,4,5,3,NA,2,3,NA,NA,NA
"P49454",-24.3552073233,NA,NA,-26.0845617249,-24.9738599812,NA,7,3,8,5,4,12,NA,NA,NA
"P49458",-19.9438504833,-20.1141816185,NA,-20.0398378285,NA,-20.1807462208,2,3,3,2,3,3,0.785529870560903,0.928516228748068,0.0812759737499995
"P49459",-20.4462973002,NA,NA,NA,-20.8383258467,-19.9265743814,2,1,2,NA,2,2,NA,NA,NA
"P49573",-21.2482715271,-20.8504469384,-21.2164141761,-22.4739905592,-21.6730803342,-21.5610587282,5,6,5,4,4,3,0.0720494523730501,0.423963133640553,0.79766566
"P49585",NA,-22.3375241184,-22.1421545402,NA,NA,-22.1947069442,1,2,1,NA,1,3,NA,NA,NA
"P49588",-20.0371773734,-19.8832690061,-19.539189096,-19.5915998491,-19.8686285042,-19.8060357737,32,38,43,41,37,47,0.829910388317292,0.935289691497366,-0.0644571161666647
"P49589",-20.9080391649,-22.3435284777,-22.7399256709,-21.2568855651,-20.9134655955,-21.0536255334,17,16,15,15,15,20,0.0660632260205775,0.412621359223301,-0.922505539833335
"P49591",-19.5680684539,-19.3066662245,-20.4804847632,-19.5267765449,-19.3829722572,-19.5339710704,17,19,19,15,23,19,0.431725522734816,0.808277541083384,-0.303833189700001
"P49593",-19.8060413954,-19.2776273506,-19.4051567897,-19.2695539867,-19.2659411827,-19.5806850354,8,10,12,12,11,14,0.705025721871888,0.918217221981826,-0.1242151103
"P49642",-21.2107638269,-22.4820711564,-22.127780996,-21.7666401444,-21.2961173097,-22.102226969,4,4,4,3,7,7,0.572889810819781,0.867326732673267,-0.218543852066666
"P49643",-22.8896120031,NA,-22.5185278073,-21.9983337953,NA,-21.7261015108,2,1,5,4,3,6,0.0517768005310322,0.38135593220339,-0.841852252150002
"P49675",NA,NA,NA,NA,NA,-22.1222589463,NA,NA,NA,NA,NA,1,NA,NA,NA
"P49687",NA,-24.2071326681,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA
"P49711",-23.4765882154,-23.2507377164,-24.1453734682,-23.8734266684,NA,-24.1172711052,1,1,1,2,NA,1,0.348208927978759,0.76860119047619,0.371115753466668
"P49720",-20.1904302191,-20.2897068304,-20.2865607398,-19.3562832885,-19.3332197704,-19.4970213916,6,8,7,8,6,8,0.0346901759044142,0.298892988929889,-0.860057779600002
"P49721",-19.7842226857,-19.8309660271,-21.8348968289,-19.9566651146,-20.4480604603,-20.0308287608,11,9,9,11,10,11,0.450974610023233,0.808277541083384,-0.338177068666667
"P49723",-20.1091051919,-22.4015060097,-21.7845964229,-21.528820011,-21.3576525183,-22.3540321264,16,10,18,10,12,11,0.489702953866578,0.833523375142531,0.315099010400001
"P49736",-19.8278820498,-20.3326740729,-20.1195007351,-19.357291388,-19.6476904874,-20.0983428119,30,35,37,37,35,34,0.303658479920345,0.737623762376238,-0.392244056833334
"P49748",-20.2426592865,-21.531017889,-20.1713447237,-20.4596433779,-20.5774338399,-21.1571528975,14,16,22,14,14,19,0.817320444739462,0.932222642938281,0.0830694053666683
"P49750",-24.1153530679,-24.7239593673,-23.3506057703,-24.3774947622,-23.468619784,NA,4,8,10,12,8,8,0.726902422834384,0.928516228748068,-0.140248795400002
"P49755",-20.6457547514,-22.0002681653,-22.26779984,-21.9653004943,-20.6007200462,NA,5,4,5,1,6,3,0.453430799867242,0.808277541083384,-0.354930648650001
"P49756",-21.5075390674,-22.7499366406,-21.6234954226,-22.791188449,-22.5193592267,-21.1945003389,13,13,15,13,11,16,0.618069200132758,0.890856869315462,0.208025627999998
"P49770",-20.8527686899,-22.4808985145,-21.4699485058,-23.139113407,-21.5548223528,-21.8446968218,6,6,5,3,5,7,0.230005476269499,0.677720207253886,0.57833895713333
"P49773",-18.4701260706,-17.9582369021,-18.1120476316,-18.0256518677,-17.9878479687,-18.1123735299,6,6,8,6,6,6,0.670376535014935,0.911751463304818,-0.138179079333334
"P49790",-21.6238383401,-21.5485183706,-21.3887233718,-21.8030691415,-21.2291147267,-21.6078183385,18,17,19,13,20,25,0.915195154331231,0.957336108220604,0.0263073747333316
"P49792",-22.083081164,-21.4022030156,-21.4458303972,-21.4676482738,-21.2034588735,-21.5060515992,49,53,59,52,55,59,0.48167739794225,0.829638273045508,-0.2513186101
"P49821",-21.3488824962,-21.764017488,-21.390057375,-21.7356015934,-21.7650181704,-21.7722402781,4,5,4,6,4,6,0.449108861599735,0.808277541083384,0.256634227566664
"P49840",-21.3508354259,-22.7867509968,-20.7638861816,-21.4083722204,-21.0953157979,-20.9945165282,7,5,7,3,7,6,0.302879024228344,0.737623762376238,-0.46775601926667
"P49848",-23.1412243372,-23.827815576,-23.2917669042,-22.4034786026,NA,-23.2101476344,3,4,5,4,1,4,0.159038831729174,0.568758344459279,-0.613455820633334
"P49902",NA,NA,NA,NA,NA,-23.6857473676,2,NA,NA,2,1,3,NA,NA,NA
"P49903",-20.884831448,NA,-22.6219925217,-22.5627548327,-22.1655749191,-22.5967640298,5,4,3,6,4,3,0.162945901095254,0.57742782152231,0.688285942349999
"P49915",-19.0742389914,-18.5711443982,-18.6968911031,-18.8072383195,-18.7680034989,-18.9082305482,42,43,51,49,47,52,0.86724427480916,0.946467589220685,0.0470659579666659
"P49916",-23.4069973959,-23.2166182014,-24.7289609747,-22.8739711833,-23.2948262689,-24.2875019285,8,6,4,5,7,6,0.490566213076668,0.833523375142531,-0.298759063766667
"P49954",NA,-21.0699651331,-22.5926392712,NA,NA,NA,1,4,3,NA,1,1,NA,NA,NA
"P49959",-23.6935176653,-21.4107768856,-21.726426824,-21.2825616597,-22.0047906424,-22.3710983327,7,10,10,10,8,12,0.407835048124793,0.796742671009772,-0.390756913366666
"P50085",-22.0029444718,-22.1803575425,-22.3129684919,-21.7648364287,NA,-22.6384858588,4,4,3,2,2,2,0.899707434450714,0.9557835160948,0.0362376416833357
"P50086",-21.8364594829,NA,-22.0434586228,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,NA
"P50094",NA,NA,-23.2397854333,NA,NA,NA,12,10,9,2,6,8,NA,NA,NA
"P50095",-22.8413145955,-21.4975616588,-22.864644625,-22.9663718296,-22.9424282572,NA,14,16,13,6,8,12,0.230382011284434,0.677720207253886,0.553226416966666
"P50101",-24.6719649659,NA,NA,NA,NA,NA,5,5,2,NA,NA,NA,NA,NA,NA
