"protein_group","number_of_peptides_12500.amol_1","number_of_peptides_12500.amol_2","number_of_peptides_12500.amol_3","number_of_peptides_125.amol_1","number_of_peptides_125.amol_2","number_of_peptides_125.amol_3","number_of_peptides_25000.amol_1","number_of_peptides_25000.amol_2","number_of_peptides_25000.amol_3","number_of_peptides_2500.amol_1","number_of_peptides_2500.amol_2","number_of_peptides_2500.amol_3","number_of_peptides_250.amol_1","number_of_peptides_250.amol_2","number_of_peptides_250.amol_3","number_of_peptides_50000.amol_1","number_of_peptides_50000.amol_2","number_of_peptides_50000.amol_3","number_of_peptides_5000.amol_1","number_of_peptides_5000.amol_2","number_of_peptides_5000.amol_3","number_of_peptides_500.amol_1","number_of_peptides_500.amol_2","number_of_peptides_500.amol_3","number_of_peptides_50.amol_1","number_of_peptides_50.amol_2","number_of_peptides_50.amol_3","differential_abundance_pvalue_X125.amol.12500.amol","differential_abundance_pvalue_X250.amol.12500.amol","differential_abundance_pvalue_X2500.amol.12500.amol","differential_abundance_pvalue_X25000.amol.12500.amol","differential_abundance_pvalue_X50.amol.12500.amol","differential_abundance_pvalue_X500.amol.12500.amol","differential_abundance_pvalue_X5000.amol.12500.amol","differential_abundance_pvalue_X50000.amol.12500.amol","differential_abundance_qvalue_X125.amol.12500.amol","differential_abundance_qvalue_X250.amol.12500.amol","differential_abundance_qvalue_X2500.amol.12500.amol","differential_abundance_qvalue_X25000.amol.12500.amol","differential_abundance_qvalue_X50.amol.12500.amol","differential_abundance_qvalue_X500.amol.12500.amol","differential_abundance_qvalue_X5000.amol.12500.amol","differential_abundance_qvalue_X50000.amol.12500.amol","abundance_12500.amol_1","abundance_12500.amol_2","abundance_12500.amol_3","abundance_125.amol_1","abundance_125.amol_2","abundance_125.amol_3","abundance_25000.amol_1","abundance_25000.amol_2","abundance_25000.amol_3","abundance_2500.amol_1","abundance_2500.amol_2","abundance_2500.amol_3","abundance_250.amol_1","abundance_250.amol_2","abundance_250.amol_3","abundance_50000.amol_1","abundance_50000.amol_2","abundance_50000.amol_3","abundance_5000.amol_1","abundance_5000.amol_2","abundance_5000.amol_3","abundance_500.amol_1","abundance_500.amol_2","abundance_500.amol_3","abundance_50.amol_1","abundance_50.amol_2","abundance_50.amol_3"
"sp|P32775|GLGB_YEAST",5,5,3,5,6,5,2,1,3,2,2,3,5,5,5,2,2,2,3,3,4,4,5,5,3,7,6,0.242180719201895,0.234564754218493,0.10211871617727,0.00199864648903031,0.221414374227982,0.47429808587152,0.623338914332765,1.18011963661569e-05,0.706513145119017,0.826784020043974,0.599656458311386,0.0414078554650382,0.443371430745738,0.91511811173924,0.890950385407565,0.00027041598530451,25.0804076171378,25.038272729888,24.049395939867,24.8910341212942,25.4948381597518,25.0130725359409,22.9446925322149,23.4533208436429,24.1372851620465,24.171785593772,23.8891704369644,24.3570138595036,25.2908190482378,25.2310181806603,24.8979770575118,22.9890396278448,22.2910734473643,22.9666295267053,23.9506108789783,24.8533664599793,24.8547471236615,24.9564497503217,25.0392663170526,24.9170279749063,24.5111329943606,25.6008252777403,25.3451435378984
"sp|P32836|GSP2_YEAST;sp|P32835|GSP1_YEAST",8,7,7,5,7,8,7,6,5,5,6,6,7,7,7,6,7,6,6,5,6,7,6,6,4,6,6,0.389406276006263,0.770682082255759,0.00102083637100441,0.00241024466099513,0.0851917145335157,0.513810060916738,0.00647837938595696,0.330949721664582,0.797161538840047,0.964065788589125,0.027562582017119,0.0442608565019105,0.250365578323318,0.91511811173924,0.117906504824417,0.507498425956013,27.3289566978338,27.3369956424294,27.4188644662579,27.2533656325553,27.1728952414622,27.3516187837468,27.275720737946,26.7597111034306,26.8366353958881,26.8218265576397,26.9793444168703,26.9414369917624,27.2706025352725,27.2912454804394,27.419901558558,27.3104125731184,27.2320330882502,27.1947452065281,26.9579103250626,27.0747250618226,26.9907431749564,27.2287704051799,27.3243351541604,27.2998197976922,26.9447355086925,27.2679214493753,27.2401449174465
"sp|P32860|NFU1_YEAST",1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,2,1,0.0162720404991403,0.0130642530721505,NA,0.00537917882742822,0.0736978140689452,0.49007071017019,NA,0.0188290642747052,0.270695995176979,0.275033781990169,NA,0.0826840488465498,0.227419580932778,0.91511811173924,NA,0.0747569779619482,21.6534190714509,NA,NA,20.5954943511918,20.6982638856611,20.5010650352015,20.0152299883513,NA,NA,NA,NA,NA,20.2950792771451,NA,NA,NA,20.3450293184037,20.7985409881368,NA,NA,NA,NA,NA,21.9501362867183,22.0590274522392,22.8119399112993,22.1954168741569
"sp|P32861|UGPA1_YEAST",5,4,4,7,5,6,4,3,4,5,4,5,8,6,7,5,5,3,4,5,4,6,7,4,8,6,6,0.184356620199869,0.00631121303719822,0.132422976161255,0.467282996299974,0.233365125846895,0.10683308117617,0.0475018105547858,0.3981005747403,0.631660210277308,0.214581243264739,0.662605695414245,0.697901406673529,0.457293468055936,0.545279680058816,0.340022545776566,0.563142109322338,25.4846079689602,25.117037340815,25.0903148957029,25.4797526722552,25.3462009729505,25.5266632442305,25.0821421873774,25.0587435249635,25.1950797756858,25.5601728645063,25.351002008298,25.5345625870916,25.9092929490748,25.506632928426,25.7433100849587,25.2423977875722,25.2300602680002,24.8046645116169,25.4224014684642,25.6778759479558,25.6066594189473,25.5725221854319,25.8093541091038,25.1215484920595,25.448136482205,25.3540327161969,25.4802501624607
"sp|P32891|DLD1_YEAST",3,1,0,1,1,0,0,1,0,1,0,0,0,3,0,3,1,0,0,0,1,0,0,0,3,3,2,0.490281042147526,0.265352056444337,0.547240524380152,0.373477856278152,0.47894092123173,NA,0.328366408591665,0.877072259820057,0.845792742605193,0.842518591667623,0.965364171852735,0.620098438890024,0.675811282636137,NA,0.738824419331246,0.917095113918756,23.5766011866095,22.0956418734828,NA,22.1551796331852,22.5614461175927,NA,NA,22.0715894309813,NA,22.3278413936211,NA,NA,NA,23.8103968825102,NA,23.7892604983585,22.0934578122971,NA,NA,NA,21.9909608455896,NA,NA,NA,23.1398527939804,23.6193823846275,23.0934351545223
"sp|P32895|KPR1_YEAST",1,1,0,0,0,0,1,1,1,2,2,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1,0,NA,0.795593446752537,0.11149870329745,0.811676092469541,0.699183975437933,0.843905777146996,0.75350230009733,NA,NA,0.964065788589125,0.616145126483454,0.913512397740246,0.840539968025233,0.998060450431217,0.930023254995882,NA,21.446694391443,21.7824141730793,NA,NA,NA,NA,21.2973695048312,21.7522100577825,21.5377372833247,22.5835885714607,22.6321292031028,21.4600079962873,NA,NA,21.4898753108754,NA,NA,NA,21.5502003742438,21.9259194866128,NA,NA,21.6653683158037,21.4091067339699,22.0577187398671,21.4757619159415,NA
"sp|P32911|SUI1_YEAST",4,2,2,3,3,3,3,2,2,3,2,2,2,3,2,4,3,3,2,2,3,3,3,3,3,2,4,0.173954080031035,0.832916881840443,0.895443417617751,0.138298054156176,0.309112473318431,0.625134356638424,0.289097318537253,0.325753695260084,0.631660210277308,0.964065788589125,0.994092954940937,0.385129913726603,0.545579068805601,0.95094634422613,0.688929032573066,0.50338046936144,25.667044652364,25.4364008886322,25.5312826931279,25.7076452719687,25.7073243128791,25.76993929213,25.5766489119446,25.219211809489,25.2363441058777,25.5010469616685,25.4986326772278,25.5831213396805,25.3641223414488,25.7049987839724,25.6489929971229,25.5190125423787,25.2625475498497,25.4600696462777,25.6096291247971,25.7527046255878,25.697329606212,25.5268185752501,25.7351468641653,25.5663697037648,25.4145197672457,25.697608288874,25.9298172204195
"sp|P32915|SC61A_YEAST",0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.5585216658221,NA,21.9407615816726,NA,21.9321188187269,NA,NA,NA,21.6834208779985,21.9010789927455,NA,NA,NA,NA,22.2904823346456,NA,NA,NA,NA,NA,22.895636568999,23.311184287608,23.1666110551125
"sp|P32939|YPT7_YEAST",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.1244245932967,21.9479162764502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.5520849069805,NA,NA,22.3600114262488,NA,NA,21.9835361686138,21.4974866782094,NA,NA
"sp|P33201|MRT4_YEAST",1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0.194460108253693,0.532961307701951,0.624204910689733,0.574703267121492,0.560088529504246,0.68448684105363,0.458303013971276,0.343649517059919,0.637834900902638,0.926667999776985,0.985988430672831,0.77008331647457,0.741640727074504,0.974071967302168,0.821606660301496,0.516117814011339,21.9920543882514,22.2387829113715,21.7206240132137,21.754624662957,23.3290429497872,22.0724984593372,21.5845434995206,22.0047032661092,NA,22.1436212361315,22.0564835496069,22.1939520219343,21.66486971691,NA,21.8817455943229,21.5754907252135,NA,NA,22.1392889923198,22.1474880243504,22.3386353798908,22.1629885532879,22.0470628359219,22.1080059340353,NA,NA,21.7351876670707
"sp|P33204|ARPC4_YEAST",2,1,1,1,1,1,2,2,1,1,1,2,2,2,2,2,1,2,1,1,2,1,1,2,2,1,2,0.647244365501877,0.0945220980591832,0.728074689597607,0.598491077067376,0.958157027556923,0.537849246794865,0.910392780814682,0.933501102714587,0.901704571420755,0.632213377182734,0.994092954940937,0.782617008312273,0.980970290117802,0.917954712541992,0.981383651624772,0.952214074506108,24.0107260172058,22.7590220328044,22.6581830912672,22.8340386879332,22.9162651658729,22.8518545063409,23.9843790327632,24.0158328615109,22.3788050350911,22.9149819195466,22.8293153299218,24.3103525540236,24.0066947922415,24.2484549999327,24.2939373195955,23.8277094823023,21.9750322710431,23.7753727251532,22.9198340017301,22.5459766886104,24.1646995393471,23.1213865321283,23.1391967309348,24.2815569073291,22.8643558461955,22.5309163650982,24.1270871293798
"sp|P33297|PRS6A_YEAST",3,2,3,3,2,3,3,2,1,2,3,4,4,3,2,1,2,2,3,2,3,3,2,2,1,2,3,0.851806869194833,0.828517334391163,0.785439159153263,0.0812628892028504,0.10046403987559,0.371727785276934,0.644143063347186,0.0172174854764741,0.981750015286605,0.964065788589125,0.994092954940937,0.303983400351404,0.274512108957716,0.914488887966971,0.900261380343593,0.0693890620710163,24.0780599987233,23.532590640972,24.3505667765749,24.0433569356747,23.6162620814443,24.0643649116378,23.819074112655,23.5228347497594,22.3165742936161,23.8323193120639,23.9324457543739,24.5423410363526,24.48492048542,24.072015863101,23.6793874993328,22.5001646425903,23.1314710795988,23.0703176850487,24.1799314810049,23.0712637635799,24.1220846050153,23.6069391147432,23.592475189516,23.6162034312298,22.2658716016662,23.4744953034062,24.0610282637888
"sp|P33298|PRS6B_YEAST",2,1,3,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,3,1,2,1,2,1,0,1,1,NA,NA,NA,0.578313892326338,NA,NA,0.40233168212292,NA,NA,NA,NA,0.77108518976845,NA,NA,0.777960049631133,NA,NA,18.8925327981743,22.8700748826896,NA,NA,NA,NA,22.1919979438236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.9412924920664,NA,NA,NA,NA,NA,NA,NA,NA
"sp|P33299|PRS7_YEAST",1,1,2,2,1,0,1,1,1,1,2,0,1,1,0,1,1,1,0,1,0,0,0,1,1,0,1,0.74060941157158,0.296132695599874,0.607875181497804,0.375282347298541,0.0673546666433413,0.869134357979251,0.418814931255047,0.229228413584925,0.94314728390059,0.851823143438219,0.985297444517341,0.620098438890024,0.216648671840984,0.998060450431217,0.778374911356226,0.397924648690714,20.4843610573495,20.3756799775317,22.160017935998,22.0561242317485,20.3951627166412,NA,20.576344179703,20.5656974128352,20.2807228036249,20.3102478781759,22.3841813291021,NA,20.1964982549028,20.4043780652823,NA,22.0151934113244,21.4438981580898,21.759250242117,NA,21.6912743698421,NA,NA,NA,21.1442766690144,19.6846052409053,NA,19.7256437210453
"sp|P33303|SFC1_YEAST",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,2,1,1,1,0,1,0.899791888380746,0.758313388796121,0.961441264509775,0.791383285269213,0.0247432365993154,0.565838966494504,0.555556837059899,0.703176572160453,0.982951739090536,0.964065788589125,0.998843560979009,0.903160585448481,0.131267690270394,0.925801930566578,0.853527348079975,0.796536173548988,21.7205373629253,22.0297572001337,21.6240865116433,21.9322545965509,21.5301503844225,22.0239966898684,21.7390590191034,21.4495986210381,21.9502196482506,21.8988797368345,21.9803782363634,21.452124868862,21.6142822751825,21.5691261903563,21.9169196282579,NA,21.631354337153,NA,21.9259495380806,22.1433991008427,21.8320731518285,22.6671454933122,21.6734589718759,21.5470301136789,20.4209062283382,NA,21.5511583846087
"sp|P33307|CSE1_YEAST",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,NA,0.406287091349128,NA,0.0354416869109509,0.630853055489933,NA,NA,NA,NA,0.89118947050408,NA,0.211281656050333,0.797843570178445,NA,NA,NA,21.6243858106694,NA,NA,NA,NA,NA,NA,NA,20.4202850649451,NA,NA,NA,NA,NA,21.2745071151369,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.9017079428982,21.9785408172134,21.4719338470884
"sp|P33322|CBF5_YEAST",2,2,2,2,2,2,2,1,2,2,1,3,3,2,1,1,1,1,3,2,3,2,1,0,2,1,2,0.109691629551573,0.697864663358664,0.9113653022884,0.348562315670403,0.665618568716934,0.967383645243297,0.219571447603567,0.335746808862075,0.503374869401003,0.964065788589125,0.998843560979009,0.597958282508886,0.816532088050654,0.998060450431217,0.635438217623043,0.510680257933145,22.7144394411364,23.2375812451858,24.0290396378783,24.3468525401342,24.2684576977966,24.2827144080629,23.1447346654165,21.8979897518718,23.2682095670414,23.6279766831068,21.88904461505,24.268043170069,24.3819700460049,22.6426171856599,23.6412775288316,22.8392857871029,22.8580307711738,22.5675515927064,24.5597117416623,23.7633464377593,23.8643403388368,23.3914464160478,23.316247996559,NA,24.2020393013893,22.9510448069577,22.065241882026
"sp|P33327|DHE2_YEAST",9,5,4,6,4,7,5,4,4,4,3,5,5,6,6,3,5,6,4,2,3,5,4,3,10,10,14,0.551307273095681,0.373877912283169,0.737864893766845,0.225723158106329,0.0124793394007638,0.725621526214073,0.0338185729214011,0.11552144918543,0.861113853887312,0.879205695743706,0.994092954940937,0.487658587566614,0.0871420537643082,0.981797473729651,0.318361048535948,0.252537801379164,26.1500747006737,25.0392258876788,24.548642622649,25.6156316637068,24.9172388533933,25.8754045636064,25.1343405348271,24.7898771504553,24.4308468323278,25.2732596025982,24.5870269940915,25.5022912697562,25.5958259976219,25.7291662771019,25.4190947436485,24.1362614389115,24.5541132601043,25.2270246518306,24.9251496662856,23.933977431406,24.3568621374764,25.0987617259111,25.3340440822811,24.9114634040383,26.0544886221215,26.1705963033029,26.5522039528668
"sp|P33330|SERC_YEAST",1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,1,1,0.911090301894782,0.613189294768259,NA,NA,0.783416795872112,NA,0.718185055987556,NA,0.982951739090536,0.959721322596278,NA,NA,0.890316468936116,NA,0.910571905871233,NA,22.2823510495896,NA,NA,22.1485918338848,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.6657365726996,NA,NA,NA,NA,NA,NA,21.8462588769183,NA,NA,NA,23.581215635767,22.6119348273169,21.4642017375114
"sp|P33331|NTF2_YEAST",5,4,4,3,4,5,4,4,4,5,5,4,4,4,4,5,4,4,3,4,4,5,5,5,4,4,4,0.612111691337902,0.932753051019127,0.459045256860464,0.497484818564153,0.309981060492412,0.228779352046324,0.533282442900343,0.130982685288602,0.888168899622126,0.978956089334793,0.945372191961623,0.719083601788615,0.545579068805601,0.767012808334305,0.848218877635146,0.276442404214365,26.9867675380372,26.8499992131272,26.8841713020619,26.5094690216366,26.880245507799,27.071758971649,26.6873040023685,26.9480484819312,26.7375044839837,27.0659826428439,27.0672272461396,26.9680353073185,26.72526758443,26.9504586831044,27.002172919708,26.8592513467443,26.5523549478319,26.5158448714923,26.3130085583483,27.0388241103165,27.0497716163696,27.1900904416974,27.0769873855673,27.0793202566702,26.6101319237709,26.7782404064535,26.8078065584111
"sp|P33399|LHP1_YEAST",0,0,0,1,0,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.2011487739483,NA,21.6587516324284,NA,NA,NA,NA,NA,21.5861412862113,22.6813765447267,NA,21.7471608790172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|P33416|HSP78_YEAST",13,7,8,6,7,8,7,7,8,9,8,7,9,9,7,8,6,7,8,7,10,7,8,6,11,8,13,0.441607549451508,0.119874622356793,0.947397821026482,0.354841767635106,0.582920007722167,0.073109038265426,0.548175606604104,0.211074367359633,0.827886653065847,0.65808010275074,0.998843560979009,0.603291904934125,0.758352939982501,0.482023998055097,0.848218877635146,0.377019248602284,26.77482228037,26.3435142699883,26.3938225894871,26.111650475733,26.2308072823478,26.6159441521051,26.0145068373477,26.4554338420283,26.3740819377266,26.6256468094378,26.521184968008,26.318208617497,25.9522675249247,26.6659620066522,25.7475816192988,26.3489013328706,26.0295251778136,26.2222492347441,26.6316986046178,26.4755838083285,26.8357279051395,26.2932576093124,26.3160506190462,25.5680053620262,26.5118889768705,26.4257819146214,26.9681793159778
"sp|P33420|NIP80_YEAST",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,2,1,0,0,0,0,1,1,0,0,0,0.212455823350631,0.377636145564637,0.385650959633255,0.0572163028208434,NA,0.609911005052705,NA,0.00863923731385942,0.650604058477253,0.880511866529708,0.893762949661254,0.255418633586969,NA,0.95094634422613,NA,0.0419919292467591,23.9381546001109,24.1056428134806,24.1199606534681,23.7957273840251,NA,23.9745849942741,23.744238645918,23.8182906332855,23.8772773803854,23.8951704432549,23.9490367784438,24.0083970453012,23.7643113272145,24.1047458707018,23.9780976074336,NA,23.6098404424927,23.6994306495431,NA,NA,NA,NA,24.0999311450544,23.874208143732,NA,NA,NA
"sp|P33442|RS3A1_YEAST",2,1,1,2,2,2,2,2,2,2,2,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,0.0817976188746174,0.153741377696367,0.176666476178514,0.0970484662132445,0.00591623228051391,0.483289777058269,0.868728778782515,0.26730559586504,0.452713691564489,0.729377698838579,0.761169392045726,0.325374110789633,0.0571519138847497,0.91511811173924,0.970559524265762,0.446197356893035,25.3112366313799,24.4283506732951,24.5019426969067,25.1956189511476,25.1438093985277,25.3552661109046,25.133203563248,25.285111259394,25.2036912867051,25.1500699173062,25.4348443425992,24.7669965091976,24.4784460514135,25.4752695051781,25.4633465678481,24.4898657064069,24.4405384657963,24.4065376585471,24.8284986626103,24.7690794122805,24.7766370283733,24.7456892068664,25.4075306277798,24.6544975282217,23.5584512989798,24.0696684440287,24.1697452364857
"sp|P33734|HIS5_YEAST",4,2,2,4,2,0,1,0,0,1,1,1,1,2,3,0,1,2,0,1,1,0,1,0,4,3,3,0.415351588454343,0.981739334889912,0.424645062314694,0.160438247002246,0.979980655022412,0.0572289814073039,0.258382784205727,0.00516121453260431,0.822290992838724,0.989795576589541,0.912630889247883,0.415669673231545,0.993355080835373,0.44928782034575,0.66755678316874,0.0302138252200632,24.3075912038657,22.8948856495043,22.9373120707288,22.831565517571,22.4226760591802,NA,21.6901950705229,NA,NA,23.5807110192714,22.3383785994224,22.2418319251002,24.1990499290193,22.7049276258654,23.1798743647885,NA,21.8361118234489,18.8138713340924,NA,22.0403682169703,NA,NA,21.0028352010432,NA,24.7386735801879,22.4187075252204,23.0437333253599
"sp|P33892|GCN1_YEAST",1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,2,NA,0.948088237455248,0.0014810403133684,0.00597138039446652,0.982155897660525,0.000477718291950984,0.00711709104824258,0.484080795757243,NA,0.980204970759082,0.0352836074655413,0.0833522161130568,0.994271674143485,0.0619441385229776,0.121435366010639,0.635405561697723,23.1314836957819,NA,NA,NA,NA,NA,NA,21.7436967497803,NA,NA,21.0698660267726,NA,NA,23.1142610748516,NA,NA,NA,22.939537045549,NA,21.8133148970334,NA,20.6978462146886,NA,20.6921941495577,NA,23.1201150645911,23.1530970005653
"sp|P34167|IF4B_YEAST",10,8,8,7,7,8,9,4,6,6,7,7,6,9,8,6,5,4,8,5,8,6,4,7,5,8,8,0.336016039414935,0.648763101148946,0.727199094884888,0.0340381824509492,0.580866213385217,0.472723610755406,0.65767977714895,0.00467434699346076,0.761306210839693,0.960008126478403,0.994092954940937,0.205245159853485,0.758095361558661,0.91511811173924,0.902244116390268,0.0284702435476031,25.824384895413,25.6914139512191,25.3758626487615,24.7849022834453,25.1052974368072,25.7278469939412,25.8375907220352,23.3681534603803,24.7444455703992,25.497795983042,25.2215453192869,25.7152890906373,25.7210330787751,25.840776273146,25.9272376350378,24.6224398654949,24.5187641747454,23.633172114865,25.6730330217638,25.1658940556447,25.4716462810616,25.5077504366976,24.6100868486967,25.8282927870548,25.6302158549497,25.9980368540257,25.9884541336353
"sp|P34216|EDE1_YEAST",9,6,7,7,8,8,6,4,6,4,7,7,7,6,8,4,6,9,5,5,5,4,5,7,5,6,7,0.751265562161468,0.870267712065161,0.921071330342517,0.21586544191267,0.175468014205946,0.419307369420239,0.757589881882258,0.184747940299633,0.944517153714257,0.964065788589125,0.998843560979009,0.477861033055993,0.38553118944116,0.91511811173924,0.930023254995882,0.346186561028751,26.2846870801444,25.5708221817389,25.2759789481383,25.4255630424861,25.7175481888284,25.5927241737214,24.9288759725551,24.8041128993326,25.8246623909234,24.9939005119911,25.993653387534,26.2674694849825,25.5133420715786,25.2513001523652,26.1631813749395,24.390098867089,24.9184945135866,26.1312539838741,25.2657792767853,25.5194465853513,25.9610255256715,25.0649566525653,25.1328620669559,25.9183341724069,24.9699080722476,25.1751877111248,25.2565812741452
"sp|P34221|PP2C3_YEAST",1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0.150535537215784,0.493601568111098,0.630327308585314,0.960278069217576,0.053824158848119,0.596555749407438,0.400009281646577,0.444441059869706,0.59453934395325,0.922906624842451,0.985988430672831,0.975980729468933,0.192155674479574,0.95094634422613,0.777960049631133,0.601082175405572,21.5906212433449,21.4377439717774,21.7302501125543,NA,21.2244242417965,21.3046999447479,21.3835488459274,NA,21.7679357244941,21.7775650545569,NA,21.5984450146677,21.1574542069912,21.7232647197289,NA,NA,NA,21.7930025514901,NA,21.3577622380158,NA,21.5912150130105,21.3569218779177,NA,NA,NA,21.0113262269506
"sp|P34223|UBX1_YEAST",3,1,0,2,1,2,1,2,1,4,1,3,1,2,2,2,0,0,0,1,2,1,1,0,3,2,3,0.496605603303532,0.467318880289534,0.20797913719782,0.441900448257676,0.0407871224443495,0.795036312184038,0.327902182762111,0.923296656783634,0.846375445380715,0.908374574948354,0.812183183438773,0.680105832747051,0.173557703317883,0.997659155015673,0.738824419331246,0.947491703385671,22.8784671056552,21.154599789485,NA,22.6927018466527,21.6881353166571,22.9620750591954,20.9449887734974,22.2890834495578,21.3493091564232,23.6801308090485,21.9011569426331,22.9115564874993,22.009493785175,22.977509279817,22.4469386718145,21.9352652097641,NA,NA,NA,20.8388715297791,21.8231124284461,21.6471174011253,22.0275226495263,NA,23.4178284333857,22.8028855440469,23.9883514105023
"sp|P34227|PRX1_YEAST",6,5,4,4,6,5,4,5,4,5,5,4,5,6,5,5,3,4,5,6,5,4,5,6,6,6,7,0.530582693476993,0.397952511531435,0.599604085599302,0.182231545629235,0.335782583593196,0.533666977842629,0.331101770827199,0.0188086394313476,0.851982887677636,0.89118947050408,0.983156496630434,0.4502846754386,0.566806551230664,0.917954712541992,0.740908060949387,0.0747569779619482,26.6836012374718,26.665942014795,26.3302461458188,26.2048542070258,26.6533635743122,26.4465140841798,26.1051469713033,26.6195980680701,26.1427257012535,26.6837622342894,26.7806009280275,26.5289148218761,26.6258074142123,26.7927057685174,26.7689243374851,26.4889338120442,25.5777760672302,26.10935428699,26.5785919048895,26.8804961709636,26.8061389536954,26.401861599602,26.7335623554493,26.9165845319278,26.7043511921419,26.6751953202417,26.8799023917383
"sp|P34730|BMH2_YEAST",4,3,3,2,3,3,3,3,3,3,3,3,3,4,4,2,2,2,4,3,4,4,4,3,4,3,4,0.105365596614928,0.840506290910473,0.545863076432153,0.770900946222653,0.0117974881740985,0.562574643199948,0.588589941392218,0.00362563162018928,0.490451765195675,0.964065788589125,0.965364171852735,0.901874380520131,0.0838134594629433,0.925801930566578,0.867005687050768,0.0232620524751344,25.4595441978929,25.4086411798331,25.4196813304192,25.0880350074632,24.9727022438158,25.3957402638251,24.9780148883286,25.5831288587891,25.5820988982043,25.1580384386795,25.3225181142972,25.5062563445697,25.3645929527203,25.318689328491,25.5046919860324,24.9107017384963,24.7513974226991,25.0095391104307,25.6592383736178,25.3396050545026,25.5583771020295,25.4043632503488,25.5520600792678,25.042936065208,25.7556568928748,26.0038407547532,25.8872813570704
"sp|P34760|TSA1_YEAST;sp|Q04120|TSA2_YEAST",12,12,13,12,12,12,12,12,11,12,12,11,12,12,12,12,12,12,11,12,11,12,12,12,13,12,13,0.275683517236789,0.562659167846882,0.281018217346483,0.193943701813133,0.0475611356427882,0.645987851728925,0.0851037594177679,0.121475183399116,0.734968909788226,0.933834563109543,0.846188684203165,0.458364216554064,0.182625569752162,0.960953247887388,0.427042214672423,0.261187927844749,29.6519069308511,29.6827008899016,29.7982885139381,29.6062472843273,29.4822241122604,29.7130304655194,29.6187827153738,29.5298424820148,29.5867720192123,29.8448669214136,29.8428424169654,29.7728119108534,29.7535126689518,29.7282147503003,29.8252192968782,29.5585519451729,29.5389565664961,29.5570591660369,29.8526491727387,29.9342251256363,29.8818431024264,29.7469282149116,29.6110086191274,29.6370756868873,30.1325695352142,29.9530682350511,29.6717488469009
"sp|P35195|ECM15_YEAST",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.4542448954756,NA,NA,NA,NA,21.497802678664,23.3483132012744,23.3063145373735,NA
"sp|P35691|TCTP_YEAST",7,7,7,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,0.764591454768733,0.627041211270616,0.211888001533418,0.861714940640716,0.804073843157912,0.907687634015576,0.0671888299647146,0.285940386782615,0.946260683190281,0.959721322596278,0.812183183438773,0.933332000050535,0.906108041186226,0.998060450431217,0.40112529866577,0.467055377188711,28.826278216764,28.7768152322802,28.4537737175083,28.6343352318637,28.575008708751,29.0075204902286,28.7263686830764,28.6771464913398,28.7463496894181,28.7977281176137,28.9692752547706,28.9697366359909,28.5868018022074,29.0442556953622,28.6859117743373,28.3396810700231,28.4345544510374,28.7046855740044,28.9675261907493,29.0615530616357,29.0484650245451,28.5565184424749,28.8784304223918,28.560025161952,28.2685767770719,29.0135430878941,28.9072452107956
