"protein_group","abundance_A_1","abundance_A_2","abundance_A_3","abundance_B_1","abundance_B_2","abundance_B_3","number_of_peptides_A_1","number_of_peptides_A_2","number_of_peptides_A_3","number_of_peptides_B_1","number_of_peptides_B_2","number_of_peptides_B_3","differential_abundance_pvalue_A_vs_B","differential_abundance_qvalue_A_vs_B","log_ratios_A_vs_B"
"P49750",-23.508746323,-23.5824064091,-23.1356829619,-22.9124171904,-23.8005373287,-24.3996182823,8,10,16,15,12,12,0.479050891316849,0.784503631961259,0.295245702466666
"P49755",-21.1496041797,-22.8842380919,-21.9068466103,-21.611076787,NA,NA,8,2,7,2,7,3,NA,NA,NA
"P49756",-21.7472411571,-21.4939262783,-21.1690352937,-21.4740563515,-21.5539505977,-21.5110890048,15,15,20,17,17,23,0.86386313973548,0.940738442444927,0.0429644082999978
"P49757",NA,NA,NA,-23.7586744626,NA,NA,NA,2,2,2,1,1,NA,NA,NA
"P49770",-22.148001647,-21.5920146678,-21.6158704377,NA,-23.160440955,-21.9844447699,7,5,7,3,6,7,0.108018976423232,0.411543287327478,0.787147278283332
"P49773",-18.1210687617,-17.9344437454,-17.4758824686,-17.4943307023,-17.7706304635,-18.4262286627,11,13,15,13,16,14,0.864730736055204,0.940738442444927,0.0532649509333361
"P49790",-21.6048407651,-21.3910062509,-21.4148241658,-21.7343883408,-21.5481011721,-21.2720976322,21,23,23,18,25,29,0.846381684876366,0.940127388535032,0.0479719877666653
"P49792",-21.5694808378,-21.3297258797,-21.4539261758,-21.3791413858,-21.2882080296,-21.3633838468,63,62,69,63,74,75,0.655931282346176,0.867794004611837,-0.107466543699999
"P49821",-22.0594709617,-21.1566102606,-20.9283075284,-20.9900494749,-21.4647595344,-21.020951431,8,13,10,15,8,14,0.557566848763657,0.826881252718573,-0.222876103466668
"P49840",-21.5537598915,-21.860661349,-21.2331375959,-22.2651314064,-21.6835280692,-21.4857601697,8,7,9,5,6,5,0.453928982173663,0.768922305764411,0.262286936300001
"P49841",NA,-23.2650988206,NA,NA,-23.2942457303,-23.3860946294,0,3,NA,NA,1,2,NA,NA,NA
"P49848",-23.8044017657,-24.7610214877,-23.4405669167,-24.0320905172,NA,-24.427830451,5,4,4,5,2,5,0.605362277170788,0.852124183006536,0.227963760733331
"P49902",NA,NA,-23.4872064453,NA,NA,-22.4363617541,2,NA,1,2,1,4,NA,NA,NA
"P49903",-22.0731801,-22.1629247314,-22.3942288282,-22.6694317294,-20.9494226745,-21.3629389147,7,5,5,7,7,5,0.242845744680851,0.589763177998472,-0.549513446999999
"P49915",-19.6194317228,-19.1999094849,-19.3358656274,-19.3304534008,-19.4270904922,-19.1256198255,42,45,49,52,54,48,0.734105951696377,0.89989350372737,-0.0906810388666699
"P49916",-23.9005907212,-23.6384039554,-25.5749803973,-23.5452659358,-24.5269175623,-23.3945797218,10,10,6,8,12,10,0.312870184013801,0.672067401166559,-0.549070617999998
"P49954",-23.4910028097,-21.3485233257,-23.5066452001,NA,NA,NA,1,5,2,1,1,1,NA,NA,NA
"P49959",-22.3611686219,-21.0209585341,-21.4605966869,-21.2950416958,-21.8044045951,-22.058318298,11,16,11,13,12,16,0.782939332949971,0.914431239388795,0.105013581999998
"P50085",-23.3445143234,-22.142411455,-22.9440400921,-22.396730124,-23.3078183577,-23.2820539717,4,4,6,2,2,1,0.648585106382979,0.865712074303406,0.1852121943
"P50086",-22.5449984241,-22.6618523175,-22.6767606756,NA,NA,NA,2,3,3,NA,NA,NA,NA,NA,NA
"P50094",NA,NA,-23.879732794,NA,-23.8256314107,NA,10,11,3,4,7,5,NA,NA,NA
"P50095",-23.4159916961,-22.8824222032,-22.7586782119,-23.4696643415,-23.4798088196,-24.2491986847,17,16,13,8,7,9,0.0842602070155262,0.36322869955157,0.71385991153333
"P50101",-24.938575053,-24.553147297,NA,NA,NA,NA,5,4,4,NA,NA,NA,NA,NA,NA
"P50107",-23.2642337838,-21.7767860358,NA,NA,NA,NA,2,2,2,NA,NA,1,NA,NA,NA
"P50108",-23.9384636044,NA,NA,NA,NA,NA,2,2,2,NA,1,2,NA,NA,NA
"P50109",-23.807733584,NA,-23.8562291741,NA,NA,NA,2,2,1,NA,NA,1,NA,NA,NA
"P50213",-20.2907052721,-20.8278097151,-21.1862756982,-20.8861750627,-20.7529497928,-19.9548753745,11,8,6,9,12,14,0.54002372052904,0.819438252340615,-0.236930151799999
"P50278",-22.8770296962,-23.906772152,NA,NA,NA,NA,4,3,2,NA,NA,1,NA,NA,NA
"P50336",-23.8752438249,-23.3857103695,-23.8162680291,-22.736185764,-23.7072392223,-22.9167108183,2,2,1,3,3,5,0.150527458309373,0.473684210526316,-0.572362139633334
"P50395",-19.1326660832,-18.9323728457,-19.0397739097,-18.9723028765,-19.0038120165,-18.554889399,41,39,46,45,47,52,0.502513369752731,0.800750117205813,-0.191269515533335
"P50402",-21.6721865579,-21.7682260003,-21.7787223195,-22.6033610574,-21.5686206333,-21.8908065525,3,4,6,6,5,5,0.431178982173663,0.760083813514929,0.281217788500001
"P50416",-24.8128644491,-23.5478908384,-23.737867443,NA,NA,-23.8929329308,5,5,3,2,4,3,NA,NA,NA
"P50453",-20.8085411076,-20.4298104207,-20.9486295557,-22.4228835394,-20.9255069253,-21.934704365,13,13,13,11,9,14,0.0450074755606671,0.257019438444924,1.03203791523334
"P50454",-20.8933417655,-20.0085107568,-19.9048585528,-21.1898107246,-20.0904913464,-20.3509438155,13,13,21,11,17,17,0.50887363427257,0.802960222016651,0.274844937133334
"P50479",-22.8435847097,NA,-22.5897406074,-22.5789016748,NA,-23.8446158291,2,NA,2,3,1,3,0.336506756756757,0.692259675405743,0.495096093400001
"P50502",-22.7341176499,-22.983374434,-22.5824709485,-22.5448004618,NA,-22.9053574447,16,17,17,21,20,20,0.871770701552616,0.940738442444927,-0.041575390883331
"P50552",-20.3412778421,-20.2802970727,-20.2176963312,-20.5177097133,-20.5159142575,-20.2594336262,12,12,18,14,16,14,0.555442495687177,0.826730518067044,0.151262117000002
"P50570",-22.0237472524,-22.1358809675,-21.8048054614,-21.3985700857,-21.5411920165,-21.5066104223,21,18,18,28,18,22,0.0927050028752156,0.383966244725738,-0.506020385599999
"P50579",-19.647751127,-19.8004746271,-20.105276891,-19.7679201303,-20.5873185521,-20.1349447156,23,23,18,25,21,22,0.366079930994825,0.712609970674487,0.312226917633332
"P50613",-23.4919886158,-23.3664227075,-23.7968102047,NA,NA,-23.8886298659,4,5,8,6,2,6,NA,NA,NA
"P50623",-22.1253481684,-21.6723149364,-21.8614798458,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA
"P50748",-26.6301518701,-26.5430717812,NA,NA,NA,NA,4,6,3,3,2,7,NA,NA,NA
"P50750",-22.482821107,NA,-22.6772331196,-23.6898128531,-24.0321510347,-22.7664446426,4,NA,10,8,3,5,0.0691339850488787,0.327841845140033,0.916109063500002
"P50851",-22.3399451966,-23.2829884951,-23.2018724345,-22.7228408887,-22.6983174431,-22.7543490568,26,23,21,26,32,25,0.534686601495112,0.81781557743957,-0.216432912533335
"P50861",-21.3240194829,-22.1751134056,-21.4356421533,-23.1165540782,-22.6361739241,-22.8557705697,2,4,5,2,3,4,0.0134797297297297,0.132701421800948,1.22457451006666
"P50897",-21.1520652464,-21.0101500666,-21.1415316673,-20.6091298157,-20.9935983371,-21.1116289386,7,5,6,7,7,4,0.493273145485911,0.795908658420552,-0.196463296299999
"P50914",-20.6297073857,-21.5118176386,-21.1404715955,-20.3531299076,-21.1173874798,-21.5044499702,6,6,7,7,7,5,0.781562535940196,0.914314858891534,-0.102343087400001
"P50990",-18.1020321883,-17.9220130678,-17.9968588752,-17.7319985339,-17.8221043721,-17.8196333349,96,101,98,113,107,109,0.38757892466935,0.731596828992072,-0.215722630133332
"P50991",-18.7634265771,-18.6407313945,-18.7987800499,-18.5279580573,-18.423244392,-18.5914750994,49,57,54,59,53,69,0.385782489936745,0.730834752981261,-0.220086824266666
"P50995",-20.4677147735,-20.2002487358,-20.2557370425,-20.6708060933,-20.0422251777,-20.1987258997,17,15,18,14,15,20,0.968430419781484,0.971643518518518,-0.00398112703333453
"P51003",-23.4121425334,-23.5352054171,-23.3956706784,-22.7168180283,-22.8637964055,-22.2136899297,8,10,8,15,8,12,0.0297101782633698,0.198347107438017,-0.8495714218
"P51114",-20.156517627,-20.2625120405,-20.2837693968,-20.3002833399,-20.1949047729,-20.2386753076,14,16,20,16,16,21,0.945008481886142,0.966166519564578,0.0103547853666655
"P51116",-23.0702795087,-21.8802519958,-21.9212139352,-22.4460598706,-22.5257358547,-21.9200152011,7,5,6,4,8,8,0.965692639447959,0.971279373368146,0.00668849556666373
"P51148",-21.2205935256,-21.5314112124,-21.0471679017,-20.7309719976,-20.8834829542,-22.6278786397,4,4,6,5,6,6,0.747855376653249,0.90426638917794,0.147720317266671
"P51149",-20.7575719967,-19.4833546119,-19.525561257,-19.376227375,-19.6803013393,-19.663731654,14,11,13,10,9,14,0.398602357676826,0.745819397993311,-0.348742499100002
"P51159",NA,-22.59198052,-22.9457031535,NA,NA,NA,4,2,3,1,NA,NA,NA,NA,NA
"P51178",-23.5991277396,-23.3881472348,-23.5002947024,-23.1284291516,-24.0770419744,-23.839342756,8,6,7,10,8,7,0.585565267395055,0.843030556718292,0.185748068399999
"P51397",NA,-20.5029521619,-20.8221659462,-20.3737203371,-20.3782179478,-20.7575488088,NA,1,1,1,1,1,0.597611989649224,0.848347107438017,-0.159396689483334
"P51398",-22.5197153587,-21.6614277409,-21.7845413671,-20.9612766956,-21.0875445788,-21.4656168449,4,6,4,8,6,6,0.053421650373778,0.273422562141491,-0.817082115800002
"P51401",-21.9900626546,-20.5997857808,-20.8723023066,-20.9125157229,-20.6363191912,-21.0748941184,2,24,2,13,11,15,0.496459603220242,0.797348484848485,-0.279473903166668
"P51531",NA,NA,NA,NA,NA,-25.4281288996,1,4,6,4,5,6,NA,NA,NA
"P51532",-22.6490504395,-22.8581963199,-22.8450730852,-25.6956581442,-23.1766716994,-22.8935915467,17,14,16,10,14,14,0.0984161874640598,0.392572944297082,1.1378671819
"P51553",-23.2218407238,-23.2507470097,-23.3396589236,-21.921245326,-21.9030811667,-21.384049253,3,4,4,4,6,5,0.00303594019551466,0.0454545454545455,-1.53462363713333
"P51570",-23.1418168909,-22.3287978441,-22.3646290294,-22.0962959816,-21.928072552,NA,2,4,6,5,5,NA,0.141377515813686,0.46096256684492,-0.599563654666667
"P51571",-20.6784233655,-21.1649474812,-20.6139063338,-20.8957531782,-20.7294242689,-20.012193809,5,4,5,5,5,6,0.450361989649224,0.768922305764411,-0.273301974799999
"P51580",-20.6593627651,-20.751480896,-19.9710009911,-20.4668887795,-20.9739253073,-20.5335097821,6,11,19,11,7,14,0.564311385853939,0.828387096774194,0.197493072233335
"P51601",NA,-22.6715157196,NA,NA,NA,NA,1,1,NA,1,NA,2,NA,NA,NA
"P51610",-21.1140398116,-21.2779440843,-21.3548697901,-21.0579315342,-21.314944257,-21.3166389347,36,32,33,32,37,37,0.923079355951696,0.960949234004206,-0.0191129866999979
"P51617",NA,NA,-24.4994091011,NA,NA,-24.3336857152,2,NA,3,NA,3,3,NA,NA,NA
"P51649",NA,NA,NA,NA,-24.0864239261,NA,5,2,NA,2,3,3,NA,NA,NA
"P51659",-20.66137236,-21.951829246,-20.044214468,-20.4806597897,-20.2452724228,-20.0587896607,23,18,26,19,20,28,0.21116273720529,0.544472152950956,-0.624231400266666
"P51665",-18.4865065318,-19.0290411508,-18.875702308,-18.2415959515,-18.6471806401,-19.1679098898,21,18,19,24,20,17,0.737513657274296,0.901981599433829,-0.111521169733333
"P51668",NA,-21.2598987565,-20.0190088069,-19.3469638546,NA,NA,2,1,3,6,3,4,NA,NA,NA
"P51692",-22.4179241084,-22.7948046034,-22.5472054561,-22.6879072261,-23.1880848758,-23.3492909504,4,26,27,4,24,3,0.15725,0.478391959798995,0.488449628133331
"P51784",-25.2249585292,-24.2159768016,-24.0250506084,NA,NA,NA,2,6,4,4,5,6,NA,NA,NA
"P51809",-21.4547101405,-20.8558042338,-21.1041131545,-21.1641126941,-21.3712881818,-20.5284696914,5,4,5,5,5,6,0.723282346175963,0.889960700250089,-0.116918987166667
"P51812",-23.362435183,-23.249898015,NA,-22.3632912066,-23.1558851248,-23.5669149775,9,8,7,11,9,13,0.505234330074756,0.801583605030275,-0.277469496033333
"P51858",-18.1914748846,-18.4231990764,-18.4611552321,-18.0734430918,-18.2244589079,-18.503550091,23,26,29,25,24,24,0.7316522426682,0.896551724137931,-0.091459034133333
"P51946",NA,NA,-23.7223832926,-22.4952049775,NA,NA,4,2,5,3,4,3,NA,NA,NA
"P51948",NA,-23.4025668822,-21.3310122107,NA,-21.1016620167,-21.2396595077,2,4,4,1,6,4,0.112378234617596,0.416974169741697,-1.19612878425
"P51965",NA,NA,NA,-22.2870165781,-22.0026322816,NA,2,NA,1,1,2,3,NA,NA,NA
"P51991",-18.2757357141,-18.7055482037,-18.6557260685,-18.4313056278,-18.1713782909,-18.7399735977,51,46,51,52,45,43,0.736821305347901,0.901981599433829,-0.0981174899666684
"P51996",NA,-22.7833288655,-23.0645344682,NA,NA,NA,1,1,1,2,5,5,NA,NA,NA
"P52209",-19.77152244,-19.3265495852,-19.5139656189,-19.1608342227,-19.0283840433,-19.2263817643,26,38,33,33,44,44,0.185664031052329,0.517647058823529,-0.398812537933331
"P52272",-18.3459727964,-18.25726911,-18.2655662595,-18.3394128953,-18.2862514291,-18.3273119788,118,126,131,128,125,146,0.882578780908568,0.942989214175655,0.0280560457666681
"P52286",-20.8630419336,-23.3136396403,-21.2578850372,-23.2573194894,-23.1171581459,-22.4535529439,5,2,4,4,4,2,0.0819541403105233,0.358547655068079,1.13115465603333
"P52292",-19.3320424022,-19.3902164003,-19.6415399245,-19.2536090044,-19.2035187206,-19.3089812614,25,28,29,31,34,31,0.45070529039678,0.768922305764411,-0.199229913533333
"P52294",-22.3436521351,-22.7135262823,-22.8027752636,NA,-21.9797350107,-22.0734553131,8,7,5,12,6,10,0.0829390454284071,0.361319340329835,-0.593389398433334
"P52306",-23.6546450334,-23.6646288443,NA,-24.1308688078,NA,NA,3,1,1,3,2,2,NA,NA,NA
"P52434",-19.9040191299,-19.975176756,-19.2610088008,-19.7299759022,-20.2959341485,-19.5161014662,4,5,8,6,6,9,0.694751868890167,0.878084714548803,0.133935610066665
"P52488",NA,NA,NA,NA,NA,-25.2637662877,NA,3,NA,NA,NA,1,NA,NA,NA
"P52489",-23.303850667,NA,-23.8498873277,NA,NA,NA,5,NA,4,1,3,3,NA,NA,NA
"P52490",-21.3681554111,-21.2510948846,-20.2247278398,-21.7251000368,-21.0262518346,-21.3791452097,1,4,5,2,3,2,0.301906124209316,0.665565102445473,0.428839648533334
"P52553",-20.4026320027,-20.5690932012,-20.1414147705,-20.4248473348,NA,-21.4416314267,4,4,6,2,1,1,0.18848044853364,0.518352730528201,0.562192722616665
"P52565",-19.9602889392,-20.094059355,-20.7873385633,-19.1042438358,-19.7822735207,-20.3269185282,7,8,9,11,9,6,0.21216058079356,0.544472152950956,-0.542750324266667
"P52566",-20.8850507631,-20.8626134975,-20.2322773494,-21.122743913,-20.6932770064,-20.0211807923,6,6,12,6,8,11,0.880965641173088,0.942539388322521,-0.0475799660999989
"P52594",-22.1299856724,-22.0375478978,-21.8627002284,-21.9705981782,-21.8423221213,-21.8268464861,3,4,5,5,4,4,0.607106382978723,0.852124183006536,-0.130155671000001
"P52597",-19.0080137814,-18.6084308503,-18.9392334794,-18.6443037252,-18.5845777735,-18.434181996,34,40,43,43,36,42,0.304069580218516,0.665565102445473,-0.297538205466665
"P52630",NA,NA,NA,-24.345189975,-23.7979270208,-23.5615046158,1,1,NA,3,1,3,NA,NA,NA
"P52643",NA,NA,NA,-22.0936059147,-22.1686022744,-22.1718886984,NA,NA,NA,3,4,2,NA,NA,NA
"P52697",NA,NA,NA,-23.5592091432,-22.3675266475,-22.5802767073,NA,NA,NA,1,3,3,NA,NA,NA
"P52701",-21.6975856399,-21.7465261133,-21.7290752019,-21.2842602632,-21.3368207921,-21.66188666,24,27,28,32,30,30,0.291579068430132,0.652322404371585,-0.2967397466
"P52732",-21.4942705726,-21.550855673,-21.7961228993,-21.8749937869,-21.8104011433,-21.7189981221,15,19,21,17,21,22,0.476769982748706,0.784218217243059,0.187714635799999
"P52739",NA,NA,NA,-24.0583608036,NA,NA,1,NA,NA,2,NA,1,NA,NA,NA
"P52756",NA,NA,-24.4351197257,NA,NA,NA,3,3,4,4,2,5,NA,NA,NA
"P52758",-20.526628624,-21.2989231315,NA,-22.0842908541,-21.311417938,-21.5035020056,2,2,NA,1,2,3,0.109100920069005,0.411764705882353,0.720294388150002
"P52788",-20.2153320291,-20.555150563,-20.0443015675,-19.7260397224,-20.2292165864,-20.5050906956,13,15,11,14,11,12,0.709658424381829,0.88205499276411,-0.118145718400001
"P52789",-21.2221299699,-21.2714564226,-20.8293875008,-21.0405555766,-21.1634487395,-20.7583777322,24,27,28,28,27,32,0.673591000575043,0.870086110071134,-0.120197281666666
"P52815",-21.4773902403,NA,NA,-20.8985995724,NA,-22.3212630239,6,1,6,4,4,4,NA,NA,NA
"P52871",NA,NA,NA,NA,-20.9471633169,NA,1,1,NA,1,1,1,NA,NA,NA
"P52888",-20.6852981854,-21.0943715288,-20.6671619951,-21.0763044504,-20.4786408816,-21.4331140354,17,11,21,17,20,14,0.604049309948246,0.852124183006536,0.180409219366666
"P52893",-22.9339140028,-24.323361311,NA,NA,NA,NA,5,1,5,NA,NA,1,NA,NA,NA
"P52895",-23.6440207832,NA,-23.5273528922,-23.2019400952,NA,-23.2966673935,12,11,10,13,13,19,0.207536802760207,0.544472152950956,-0.336383093349998
"P52907",-18.610956673,-18.6869051998,-18.5271299315,-18.3495818359,-18.2651835072,-18.6600680959,23,24,23,27,29,26,0.50245529039678,0.800750117205813,-0.183386121766667
"P52910",-21.0954391343,-20.4276245992,-20.704032805,-21.8380630987,-21.3821545192,-21.357057881,15,19,24,13,15,15,0.0482715641173088,0.259713701431493,0.783392986799999
"P52948",-21.9934785104,-21.7549335477,-21.9146908767,-21.4906804968,-21.7510350504,-21.5992077078,20,23,25,24,23,25,0.314685163887292,0.672067401166559,-0.274059893266664
"P53004",-21.67797202,-23.4885821999,-21.7939423051,-20.5060955532,-21.244021785,-21.4418738468,2,3,5,8,7,6,0.0419629097182289,0.246013667425968,-1.25616844666666
"P53007",-21.7479369662,-23.0166962319,-23.6121975215,-21.6254522403,-21.6171167938,-21.9553333595,7,9,8,13,11,9,0.0552632259919494,0.283302063789869,-1.05964277533333
"P53008",NA,NA,-24.811593305,NA,-24.7400408177,NA,8,4,4,1,3,1,NA,NA,NA
"P53041",-20.5781470715,-20.6200945827,-20.5535789266,-20.2738160756,-21.0601902343,-21.1607936511,13,13,14,15,12,10,0.469791834387579,0.777886977886978,0.2476597934
"P53043",-23.8333292732,NA,NA,NA,NA,NA,3,1,1,NA,NA,NA,NA,NA,NA
"P53044",-22.2762687576,-22.3185297506,NA,-24.0158891346,NA,-23.6915006998,7,3,3,3,1,1,0.00256871765382404,0.0454545454545455,1.5562956631
"P53066",-21.6576738707,-21.5004203789,-19.7644653283,NA,NA,-20.9289532557,2,2,5,1,2,5,NA,NA,NA
"P53073",NA,NA,NA,NA,NA,-22.8514639804,3,3,3,NA,1,1,NA,NA,NA
"P53075",-24.2942835054,-24.1016744676,NA,-24.1721501686,NA,NA,4,3,5,3,2,2,NA,NA,NA
"P53081",-22.736637217,-21.0610151745,-20.7472620726,-21.9880942239,-21.2455349539,-22.3704167149,4,6,7,2,5,2,0.49880376653249,0.798208392267798,0.353043809533332
"P53090",-19.7924433338,-20.7049524437,-20.4940812921,-20.7722651176,-20.5051717626,-20.4157467898,15,13,16,13,13,15,0.499028752156412,0.798212605832549,0.233902200133333
"P53108",-23.2290011756,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA
"P53111",-22.48327347,-22.7701795467,-21.6055048309,NA,-22.6533420293,-22.8121306722,5,5,6,1,2,3,0.303338412880966,0.665565102445473,0.446417068216665
"P53131",-22.7267465691,-22.3154586508,-22.1008568848,NA,-24.4344966934,NA,10,8,10,NA,2,0,NA,NA,NA
"P53136",NA,NA,-23.8247442505,NA,NA,NA,1,3,3,2,0,2,NA,NA,NA
"P53141",-22.0415007496,-21.793101194,-22.119104054,NA,-21.9199094375,-21.5262724031,8,7,7,7,9,6,0.397099051178838,0.742331288343558,-0.261477745566669
"P53145",NA,NA,-23.3142716368,NA,NA,NA,2,4,3,NA,NA,1,NA,NA,NA
"P53152",-20.2978854726,-20.8650671853,-21.1128568257,NA,NA,-21.0492821524,1,1,1,NA,NA,1,NA,NA,NA
"P53163",NA,-22.667435167,-21.9425524826,NA,NA,-22.1094872206,5,5,4,3,3,5,NA,NA,NA
"P53172",NA,-23.797374387,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA
"P53173",NA,NA,NA,-21.9006551353,NA,NA,1,1,NA,1,1,2,NA,NA,NA
"P53183",-23.1075322688,-23.77028888,NA,NA,NA,-23.9889297114,4,2,3,1,1,2,NA,NA,NA
"P53184",-20.1851514564,-19.9788711062,-20.273577218,-21.2827927867,-20.3886454242,-20.1780019535,13,12,12,7,8,8,0.229305922944221,0.566587864460205,0.470613461266666
"P53192",-21.6789774604,-21.7920487344,-22.7229949859,-22.8150528701,-22.9125775549,-23.083249118,2,2,2,1,2,3,0.0493294997124784,0.259713701431493,0.872286120766667
"P53199",-21.5448946017,-21.4248762238,-21.7052339752,NA,NA,-23.2081952221,4,5,4,NA,1,2,NA,NA,NA
"P53200",-22.103206145,NA,-21.5134665489,NA,-23.3864441107,-23.9327363446,3,4,6,1,2,3,0.00448878665899943,0.0606060606060606,1.8512538807
"P53206",NA,-23.249566595,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA
"P53210",NA,NA,-23.9970815598,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA
"P53221",-21.8418362422,-21.8866521468,-22.0172554209,NA,NA,NA,20,2,2,1,1,2,NA,NA,NA
"P53224",-21.7969859532,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA
"P53228",-23.3201593876,-23.1631821676,-21.9363170208,NA,NA,-23.7896261399,3,3,5,NA,NA,3,NA,NA,NA
"P53235",-21.1739220985,-21.4141445804,-21.8168150899,-22.79636125,-24.1817978627,-22.5397775437,8,11,6,3,2,4,0.0107800460034503,0.125628140703518,1.7043516292
"P53250",-21.3274859411,-22.0745993673,-22.0813205461,-23.6812144002,NA,-22.5263623009,5,7,4,2,NA,3,0.0281246405980449,0.190058479532164,1.27598639905
"P53252",-19.0203773281,-19.2165353558,-19.3351917323,-20.2773030237,-19.1101216185,-19.7056056689,19,22,20,13,15,16,0.19931914893617,0.530120481927711,0.506975298299999
"P53254",NA,-24.2497401236,-24.0958835891,NA,NA,NA,4,4,6,1,NA,NA,NA,NA,NA
"P53261",-22.5522954513,-22.3358821481,-22.1693442245,NA,NA,-23.8921587159,7,12,8,1,1,3,NA,NA,NA
"P53278",-22.5597213795,-21.5726495165,-21.9796207044,-23.6510157518,-23.4165560338,-22.5945378512,12,15,10,5,5,6,0.025691201840138,0.174846625766871,1.1833726788
"P53295",-21.9835142387,-22.4004594881,-22.6667527778,NA,-23.6930474029,-23.8272911146,3,4,2,2,1,1,0.0063744968372628,0.078740157480315,1.40992709055
"P53297",-22.702583601,-22.3626420481,-22.0664998919,-24.2043368563,-24.1776303039,-24.2667800922,4,4,5,1,3,2,0.00124238067855089,0.0212765957446809,1.83900723713333
"P53301",-22.1274153908,-22.5710034928,-22.9757947314,-23.844277007,NA,NA,5,7,5,3,3,2,NA,NA,NA
"P53303",-21.8426661624,-21.936772338,-21.5755414957,-22.7215796504,-22.8200363972,-23.0375350833,6,8,8,3,3,3,0.00988527889591719,0.125628140703518,1.0747237116
"P53312",-21.5812393441,-22.4391204747,-22.177419105,NA,-23.307293762,NA,5,4,6,2,2,3,NA,NA,NA
"P53315",-21.6317027694,-21.8869530387,-22.7403484498,NA,-22.7537404742,NA,3,3,3,NA,3,NA,NA,NA,NA
"P53332",NA,-22.9081491823,-22.3481233081,NA,NA,NA,3,4,3,2,NA,NA,NA,NA,NA
"P53334",NA,NA,-22.4834115292,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA
"P53337",-21.3034470029,-22.1657902662,-21.6716901886,NA,-23.0879029566,-23.4264020092,4,4,6,2,1,3,0.00675632547441058,0.0846153846153846,1.543509997
"P53350",-21.8615464641,-21.8695234727,-21.1933789155,-21.5268696675,-23.4927454536,-21.988706818,9,10,9,9,9,8,0.191004456584244,0.523513753327418,0.694624362266669
"P53365",-23.2093900153,-21.539721163,-23.1786455964,-22.9546307766,-22.2472227534,-21.7332308879,3,5,2,2,2,3,0.51009847613571,0.802960222016651,-0.330890785599998
"P53367",NA,-22.9992223911,-23.61971856,-23.4391446829,NA,-22.3431400833,1,3,4,3,3,2,0.404625934445083,0.747797356828194,-0.41832809245
"P53384",-23.1997956142,NA,-23.5044582754,-22.2211027317,-22.906956978,-22.7763171039,2,1,4,5,2,4,0.0737080218516389,0.336569579288026,-0.7173346736
"P53396",-19.7220670639,-19.6274967444,-19.6424448287,-19.3955099534,-19.3429706257,-19.6454603686,59,63,66,63,67,68,0.441620040253019,0.761929194458697,-0.202689229766666
"P53550",-24.8307095724,-24.7264051953,NA,NA,NA,NA,6,4,7,NA,1,NA,NA,NA,NA
"P53551",-23.3858774898,-21.8538449408,-21.4831533125,-23.0700748527,NA,-22.8762938726,3,4,3,4,1,4,0.20874511213341,0.544472152950956,0.73222578161667
"P53582",-21.6230923262,-20.9031849552,-21.1324867724,-20.9429052735,-21.4315268578,-20.8552571331,8,8,10,5,7,8,0.661165181138585,0.868089973313,-0.143024929799999
"P53597",-21.4436012604,-21.004244496,-21.5191098095,-21.8112041435,-22.8990576199,-20.879804374,6,9,9,4,7,8,0.281841144335825,0.641906096706377,0.541036857166663
"P53598",-21.9887463156,-21.1787607786,-21.5930459282,-23.1272745602,NA,NA,4,6,5,5,4,NA,NA,NA,NA
"P53600",-20.4807511864,-19.6030239326,-20.5866551369,NA,NA,NA,3,6,4,NA,1,NA,NA,NA,NA
"P53602",-21.8148531024,-23.1558285672,-21.3322913707,-21.4402968838,-22.1026559144,-21.2508822475,8,6,8,7,8,5,0.3133589706728,0.672067401166559,-0.503045998200001
"P53611",NA,NA,NA,-23.5785140233,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
"P53618",-20.490636003,-20.7467334826,-20.1564808771,-20.2326794768,-20.2483197145,-20.0639456968,33,35,39,37,43,39,0.353997987349051,0.704957678355502,-0.282968491533332
"P53621",-21.3245558194,-21.2930758551,-20.586994054,-21.082008676,-20.9889004421,-21.245014417,31,31,42,39,30,32,0.890035652673951,0.944768333844738,0.0370992688666654
"P53622",-20.9068716018,-21.5461457587,-21.3007401096,-21.6591963524,-21.7301713818,-22.6431149485,22,22,28,17,13,14,0.0806467797584819,0.356707317073171,0.759575070866667
"P53633",-22.1722820981,-22.1772025191,-22.6336846357,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,NA
"P53634",-21.4594172438,-20.786786511,-20.8705778888,-21.3102066679,-20.737780563,-20.8505527992,6,11,8,6,7,8,0.811177113283496,0.924422442244224,-0.0727472045000006
"P53680",NA,-21.0277120461,-20.6028922886,-22.4254196182,-20.9400626174,-22.1857592134,3,3,4,4,2,1,0.0679064117308798,0.326633165829146,1.03511164898334
