"protein_group","number_of_peptides_A_1","number_of_peptides_A_2","number_of_peptides_A_3","number_of_peptides_B_1","number_of_peptides_B_2","number_of_peptides_B_3","abundance_A_1","abundance_B_1","log_fold_change_B_vs_A","differential_abundance_pvalue_B_vs_A","differential_abundance_qvalue_B_vs_A"
"P25294",7,7,11,4,6,7,22.6310389896495,21.6390371307592,-0.839959250315551,2.533659485506e-12,5.78902803658037e-11
"P07686",NA,4,3,3,6,NA,20.982727722663,20.8984928897507,1.18538081620908e-20,0.999999999872451,1
"P22392",1,1,1,1,1,1,24.4540048068218,24.2169475158069,-2.05632041769528e-20,0.999999999916317,1
"O75436",6,5,8,10,9,11,21.0680941950811,21.2128065165045,0.0323660277385074,0.572213654036542,0.968305118949942
"O94913",NA,NA,NA,9,10,7,19.9496267691133,19.9759479526897,0.0396650323837552,0.648830237773915,1
"P40482",11,13,14,NA,7,8,21.0638847001057,19.9626920112598,-0.807891269022992,3.1700730748809e-12,7.1502759355647e-11
"O43663",5,3,5,5,6,5,20.2627006464795,20.2685745324918,0.082203954910486,0.288323361868708,0.549772653158614
"Q86Y39",1,1,2,NA,NA,NA,19.8990867484849,19.8709844113694,4.46712937257447e-20,0.999999999826764,1
NA,NA,NA,NA,NA,NA,NA,20.6950748994539,20.7669621210065,0.0700172696419092,0.530508775387758,0.906450410002132
"P0A7V8",6,NA,2,6,7,7,20.9140739347276,22.5812268376617,1.64405310307129,1.9552594664383e-09,2.83069241316676e-08
"P51965",NA,NA,NA,NA,1,NA,20.499846000411,21.1194393747014,0.899231391349881,0.00094008857807774,0.00422279788518665
"Q969T4,Q96LR5",NA,1,NA,NA,NA,NA,19.8094678098662,19.7158957609934,1.03518279598328e-19,0.999999999600436,1
"P0A870",7,5,5,13,13,12,20.6411290756944,22.2685466965753,1.79979879240895,3.48052891422759e-18,1.55679928892316e-16
"O75496",NA,NA,NA,5,NA,2,20.0042128357932,19.8938771467006,-4.08857761965658e-18,0.999999997069485,1
"Q8NHQ9",NA,NA,1,NA,3,NA,18.7716033716824,19.025352340868,0.344297800828284,0.116493050152962,0.263771050496497
"Q5RKV6",6,7,5,7,7,5,21.6568579141962,21.5476736577559,1.26893902405212e-07,0.999229725564728,1
"Q7L9L4,Q9H8S9",NA,4,NA,NA,3,3,21.8847201817578,21.9387912941283,2.77970531419152e-20,0.999999999783398,1
"P39019",7,8,8,7,6,9,24.5551413395493,24.429025161451,9.5955399934444e-12,0.999998853240865,1
"P17844",22,18,21,22,22,20,23.47434453699,23.6040306943113,0.318942829109651,7.2222086977151e-05,0.000441701245730479
"P0A8F0",NA,NA,NA,6,5,3,18.9103568915307,20.328377540014,1.66525197341194,1.42559482669271e-05,0.000102153791039384
"P14843",5,1,2,2,4,NA,21.6067763005295,20.6939303914343,-0.709428209465189,1.07814845462615e-06,9.84745687604994e-06
"P20967",7,5,7,3,NA,NA,19.9296190798914,19.1895084033733,-0.504274472138633,0.00531526922326745,0.0194819381669483
NA,NA,NA,NA,NA,NA,NA,20.5086973258718,20.656801157988,0.0919909227817832,0.49474143359802,0.856426791252984
"Q13769",NA,6,9,7,11,NA,20.2021061685254,20.3140935966523,7.65330828007733e-05,0.980442780797987,1
"P49023",3,3,5,NA,NA,7,19.4952842591538,19.6189585934667,0.233673815568355,0.130083428807288,0.28920822967349
"Q9UER7",4,NA,NA,NA,3,NA,20.4574486813989,20.4838757691919,7.87171887387261e-12,0.999998300128726,1
"P67775",NA,NA,1,1,NA,NA,23.12448327744,23.9318411485617,0.631028693001646,0.0761833402445673,0.185468482385068
"P02992",7,6,5,4,NA,6,20.8155658079934,19.9628636534751,-0.662120632477943,3.43726738563235e-05,0.000226490602513952
"P36507",6,5,4,5,5,4,21.3312190781029,21.4920015332536,0.213326383254834,0.00840326059603975,0.0288002658609726
"Q9Y2L5",1,NA,NA,NA,NA,NA,19.7280845085964,19.6206734309869,6.37635180844607e-20,0.999999999754049,1
"Q06625",10,9,10,NA,NA,NA,20.4613952628086,19.3261574966038,-0.789128714994887,1.22855418526152e-09,1.82656591262262e-08
"Q96K76",6,NA,NA,11,8,7,19.3096438228111,19.3910225932983,2.07135250809633e-20,0.999999999895958,1
"Q9BSY4",NA,2,NA,NA,NA,NA,19.9640313415341,19.4903899992228,-6.32706914509191e-18,0.999999996750348,1
"P07264",7,8,7,4,NA,NA,20.468912993572,19.601209043318,-0.715261724699727,5.81628839383012e-05,0.000365470876064478
"Q07807",6,3,7,NA,NA,NA,20.9339139338614,20.0326877143075,-0.531305841025204,0.00235711588019805,0.00952592466744663
"Q6L8Q7",NA,NA,NA,5,3,NA,20.6266876368403,20.4265397596391,-5.86564986134586e-20,0.999999999634682,1
"P29353",NA,NA,NA,3,NA,NA,19.8607109729953,20.0470315205739,2.0826500800265e-19,0.999999999321379,1
"Q9BRS2",6,6,5,3,6,6,20.4636084817803,20.4689862610506,0.122506889821087,0.148471753799488,0.322085456865474
"Q9UQB8",7,5,NA,NA,NA,6,20.3400190032676,20.3548752339397,6.50855838873743e-20,0.999999999702687,1
"P05091",5,9,8,11,11,8,20.0604210802378,20.2489432271225,0.253439454960987,0.0181484879582442,0.0563457173197723
"P0AE67",NA,NA,NA,NA,1,NA,19.991585616691,19.7977114350648,7.78499213966652e-21,0.999999999971089,1
"Q99961",5,4,6,5,5,3,21.6420667661542,21.6727238433281,1.28698701103884e-09,0.999919957158353,1
"P18615",7,6,5,5,6,5,20.1200608940545,20.1309567294943,4.07915040664089e-19,0.999999999072546,1
"P47771",NA,NA,2,NA,NA,NA,20.1298237855523,19.1979903671493,-0.672083765202587,0.00602358581039599,0.0217310224930075
"P53852",14,12,12,6,9,5,20.1974615409975,19.4947940305377,-0.616919561307088,0.000121044494694863,0.000713027726561929
"Q46938",3,3,3,6,6,6,21.9946156836142,23.9764805070326,2.12677692835607,1.04747570803526e-14,2.95645817487171e-13
"Q16630",8,9,10,8,10,10,22.5573358521758,22.4346987148066,0.0598968130778376,0.205786751202773,0.419124012241436
"Q9H9A6",3,NA,5,5,6,9,20.4185197001568,20.5742646544519,0.284644075433814,0.0131579849239671,0.042579916878417
"Q9Y371",NA,4,4,4,7,6,20.5833548554509,20.5079468545796,1.02806078184265e-19,0.999999999559683,1
"P35340",NA,NA,NA,5,NA,NA,17.3664989084697,19.4733069836458,2.15376785337377,0.016514725219833,0.0519456017343735
"Q14254",7,10,10,11,7,11,21.3083063862786,21.3170958791116,0.251345383040026,0.00402433150420286,0.0152479696189395
"Q9NX58",7,7,8,7,5,7,21.2022223831775,21.1979916150407,0.0455793075555289,0.483011732624145,0.841051630275962
"Q96A33",NA,2,3,NA,NA,NA,20.2346256961742,19.99840539529,-1.18965639579457e-20,0.999999999928325,1
"P0AC33",NA,NA,NA,5,5,10,19.689735643682,20.8041535631985,1.1235445851585,6.44406223799958e-08,7.23654478556633e-07
"Q8TDN6",8,9,12,8,8,9,21.4379286752517,21.3744324568803,8.07798378143515e-20,0.999999999658982,1
"O14777",7,NA,8,NA,9,6,20.4319066498272,20.2636000802042,3.70389556562865e-17,0.999999990924695,1
"P41911",2,3,4,2,2,NA,20.9593995557004,20.536098989664,-0.40513530678449,0.0119787631908968,0.0391479332022002
"P39729",NA,NA,2,NA,NA,NA,22.0121196352521,21.2311003294783,-1.4050653941801e-19,0.999999999743089,1
"O43747",NA,11,8,7,7,9,19.6175595172075,19.622978735042,3.2091558531726e-13,0.999999909986262,1
NA,NA,NA,NA,NA,NA,NA,19.1534841509427,19.1284097388672,1.34758501579183e-20,0.999999999940221,1
"P54132",6,6,NA,8,5,8,19.7691292557963,19.8708357837264,0.125828116863509,0.134559777458958,0.297157533652042
"P38174",5,6,7,NA,NA,NA,20.621548633505,19.6600007744704,-0.939196761668538,1.12947592419712e-06,1.02782309101938e-05
"Q9BY77",7,8,9,8,11,10,20.7902403685007,20.9198600882111,0.220913810062031,0.0025643360770501,0.0102147666525815
"P0A850",4,6,NA,13,8,6,20.8658752868354,22.80313453724,2.01614748793407,6.10143191056019e-20,3.42588910892944e-18
NA,NA,NA,NA,NA,NA,NA,19.5804404892747,19.7423478603493,0.0452393741610153,0.629807828643187,1
"P62707",4,3,4,6,5,4,19.9781050269755,21.9604480494097,1.99683716045299,7.94808208342843e-16,2.68910110489328e-14
"Q9BXK5",NA,8,4,6,6,5,20.1215700871749,20.0448907566916,2.88003858824325e-16,0.999999972865217,1
"Q5VVQ6",3,3,4,3,6,5,21.2357023904695,21.1646730163668,-3.78779022164913e-20,0.999999999828686,1
"P05937",3,3,2,4,3,3,20.8434975270834,21.0585344167627,0.213072082181245,0.105390745948809,0.242400210835587
"Q96A49",7,5,4,5,6,6,20.7000756507262,20.7054018284231,0.19282269097716,0.0302089771138394,0.0858605176127324
"Q9NV70",NA,NA,1,3,2,NA,19.4329266743413,20.7973068026947,0.958904780106957,0.0781927254751554,0.189486320044936
"P15731",NA,1,2,NA,NA,NA,21.5124520331608,20.4580696625442,-0.865814824428203,0.00120566581676301,0.005272165849938
"Q04206",9,7,10,7,9,9,21.4639540342371,21.4422761383308,0.046421038943185,0.394384341179435,0.711158371282903
"Q9ULU4",12,14,16,15,12,15,19.5788277248275,19.9044640366613,0.175667285168001,0.0750286077805689,0.183079515425725
"Q9BTE6",4,4,5,6,NA,4,20.6207707261259,20.5495705747898,6.81336531948599e-12,0.999996266394686,1
"Q9NVM9",NA,6,5,9,4,8,20.4983133831799,20.2235323932894,-1.21841068828115e-20,0.999999999865617,1
"Q9UHA3",2,2,NA,NA,1,NA,21.1581681439583,21.0376718504111,5.00798842735696e-20,0.999999999745357,1
"P47047",NA,7,NA,NA,NA,NA,19.8660620108991,19.0964766660375,-0.451020910204554,0.0195215469973289,0.0599736467123992
"P47075",10,16,15,9,11,6,21.6758877678099,20.695283644743,-0.834126116362156,2.99688405065146e-10,5.0214457204249e-09
"P38758",NA,4,NA,NA,NA,NA,19.2471946889068,18.4511675162656,-0.331064014330745,0.213483951182548,0.431877460460518
"P36013",6,8,11,NA,NA,NA,20.2273981678808,19.0587161470735,-1.15163010875352,2.09596024392159e-08,2.5314595348783e-07
"Q69YN4",6,8,8,8,12,10,19.4102640871694,19.5745979821315,0.239845128530225,0.0491724064075063,0.128481168821197
NA,NA,NA,NA,NA,NA,NA,21.2902812945929,21.3068791369318,0.00156921084279539,0.95721365095762,1
"Q05905",9,6,8,5,4,6,21.8252713738468,20.793784105027,-0.9236224184281,1.27529315624055e-07,1.35705590295113e-06
"Q8NFF5",NA,NA,4,NA,NA,5,19.8808706558581,19.7191047235065,2.03168235262686e-20,0.999999999878217,1
"Q52LJ0",6,6,3,6,7,6,21.3902683435038,21.4468375083907,0.21319970395848,0.00167028020831425,0.00701890042952438
"Q8N5P1",NA,2,NA,2,NA,NA,18.8292135606437,18.5769770006207,8.11245752139026e-22,0.999999999996865,1
"P30085",12,13,17,11,13,16,21.4002693401577,21.2974653809378,0.151026062662626,0.0213424563230558,0.0644793843578068
"Q9C0J8",5,4,6,6,10,8,19.9249667237617,19.7406747647337,-9.79412073463967e-20,0.999999999742813,1
NA,NA,NA,NA,NA,NA,NA,19.7936102707871,19.5624460069561,-8.46580737471293e-20,0.999999999836589,1
"P02994",32,32,31,23,25,28,23.7062347804949,22.6882143040884,-0.811047392855754,5.78254230594861e-38,1.69556990504426e-35
"Q96PZ0",10,10,16,14,14,14,21.334423530426,21.3048088645205,0.00550070791547748,0.768470145821179,1
"Q9BVS4",10,8,9,9,9,10,20.8206464396285,20.896022570548,0.224643841879742,0.0007568212166574,0.00348864836813778
"Q08179",2,3,3,NA,NA,3,20.6679159262182,19.5415134232701,-1.04413129686284,0.000481544807630559,0.00236867986456113
"O95758",6,6,4,8,5,7,20.3171883089469,20.2070206054851,5.5787315519538e-12,0.999997333332701,1
"P33298",NA,3,NA,2,NA,1,21.1089572068807,20.3943792988737,-0.572637757112586,0.0140007157226454,0.0448728974777583
"Q13158",NA,NA,1,NA,NA,3,18.953083811568,19.2071250586487,0.262398763797107,0.320383488509254,0.600704814334579
"P28707",3,4,4,4,3,4,22.5404773396149,21.1993674194857,-1.26764571358802,9.17492854656397e-09,1.18110421631133e-07
"P0C0X0,Q3E7X9",3,NA,3,3,3,NA,23.9314729556748,22.8721540334222,-0.972579739494365,0.000273933524418173,0.00147382379396444
"Q12513",4,6,5,3,2,NA,22.583609244984,21.4364911016103,-0.860613717530573,6.66751045228323e-09,8.75400999182858e-08
"P34221",4,3,NA,NA,NA,NA,20.6026889304978,20.0636570294362,-0.245632411232516,0.127575145672094,0.284214435297565
"Q8NC51",17,17,19,17,18,18,23.1831904986331,23.0558983713218,4.39018338790572e-20,0.999999999517268,1
"P17812",11,9,11,15,15,12,21.9513738524196,22.0574958753415,0.290113662614036,0.000145726369221633,0.000842435680998664
"Q86WB0",8,6,10,11,8,9,20.2903369243923,20.1083463166536,-1.07872821370987e-21,0.999999999985122,1
"Q8TCS8",9,11,8,8,13,15,21.1309798041817,21.2075395213468,0.0993756484277503,0.254253254263212,0.495549732644474
"Q6NVY1",4,7,6,NA,10,9,20.8900653967657,21.1526417583721,0.201787916040525,0.263348799211762,0.509709604819225
"P49454",10,NA,10,9,11,16,19.0277626297675,18.8199044259884,4.25428092641699e-19,0.999999999686235,1
"P50278",3,NA,NA,NA,NA,NA,19.6515453142784,18.8237953140095,-0.483505994166033,0.0247980602640762,0.073201432927178
"Q9BYD2",NA,NA,4,5,4,5,19.6484771359728,19.7419286734533,6.25267230638662e-20,0.999999999707115,1
"Q9UPN6",NA,5,4,7,4,6,19.9963753813564,19.9737376456512,2.52830443747751e-10,0.999976071481439,1
"O75368",5,4,5,5,4,5,21.572924791003,21.5717957456541,0.228875156371674,0.0102409737634528,0.0341456437016252
"P40513",3,2,3,NA,NA,2,21.7168520483536,20.7673022779853,-0.696264795132356,0.000217178741993427,0.00121426843245901
NA,NA,NA,NA,NA,NA,NA,18.6589669649462,17.710465818032,-0.767014403614373,0.00272010134855118,0.0107782994877276
"P31133",NA,NA,NA,3,NA,NA,18.8780329999855,20.2421715770755,1.12717695075644,0.0391287869997614,0.106290137820247
"Q9BUL8",6,5,5,6,8,6,21.388799398287,21.2572866145508,8.2349665536876e-20,0.999999999511065,1
"Q03161",9,8,8,4,5,4,22.0503382106304,21.1164149726816,-0.77218402319572,7.27261642482704e-10,1.12565599678115e-08
NA,NA,NA,NA,NA,NA,NA,21.9173653805365,20.3778061587675,-2.33147011865341e-19,0.999999999447449,1
"Q9UKT4",NA,2,NA,NA,NA,NA,20.3530957410727,20.203385455392,-1.27831499433632e-19,0.999999999727718,1
"Q15004",4,4,4,4,3,3,20.5799989416375,20.4991073845679,2.41867591453015e-17,0.9999999948427,1
"Q01560",2,NA,2,NA,2,NA,22.6227532005954,21.4777528348903,-1.04704831493747,0.0114654319732199,0.0375866769904687
"P32895",4,6,6,2,3,NA,20.6797956402501,19.5984253703698,-0.932350378896252,4.27215686798114e-05,0.000276668023916619
"Q14247",12,14,9,14,12,11,22.0243817804925,21.9777843650606,0.099344035023888,0.136712419500767,0.301029682989172
"P38689",4,2,7,NA,NA,NA,19.9927625496871,19.2993717462169,-0.0171972676556581,0.886029342114683,1
"P0A7D4",4,3,NA,17,14,13,19.0233569718724,20.8341112533541,1.94566803686779,8.9042656862937e-23,6.43790606743262e-21
"Cont_P12763",14,11,10,12,12,11,21.8912449125303,21.9557735058165,0.110848293882614,0.0388970247438801,0.105823967318659
"P06715",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"Q8N8A6",4,5,5,3,4,NA,19.7986021409805,19.709569837172,2.07929009586128e-20,0.999999999857654,1
"O00217",3,3,4,4,3,3,21.6370343602785,21.732579668629,5.53715428467315e-05,0.986996326027714,1
"O76071",5,5,3,5,5,3,21.3916144715702,21.279263856983,7.55101874684538e-20,0.999999999458604,1
"P53066",3,2,5,NA,2,4,21.4359345511482,20.3026982537928,-0.903023077456794,8.40522464180287e-07,7.82412269125847e-06
"Q13228",9,10,12,11,10,11,20.4030653196723,20.5025788721051,0.177944701229271,0.078556823063547,0.190193996389634
"P40303",5,4,6,5,NA,NA,21.1210193226892,20.1759577247013,-0.723475240682904,0.00160524040015626,0.00679427332159161
"P0AD49",NA,NA,NA,2,2,3,19.0336494473058,21.1124817355988,2.06574603684389,3.48659954287394e-07,3.45907375700915e-06
"P43585",12,13,10,7,6,NA,20.8326890544897,19.9789674932921,-0.749089399892023,1.6226044963118e-06,1.42735108858895e-05
"P17096",3,4,4,4,5,4,24.0393847171101,23.8863715254767,-9.31096691877623e-20,0.999999999763759,1
"O60684",4,4,4,4,4,5,21.2097079214502,21.2493043459239,0.0876523342429341,0.231665746147653,0.460012374841184
"P00579",NA,NA,NA,NA,4,NA,18.1050994435499,19.8349336876366,1.87819416162532,1.7029414675549e-05,0.000120001669769756
"A0FGR8",NA,NA,NA,5,3,3,18.8982980065663,18.9454413507851,0.182727377531011,0.192759833556305,0.39747932796098
"Q96S59",8,5,6,8,5,4,20.7743735334908,20.7384040658577,0.0910789848860397,0.217367627407868,0.437387090148199
"Q13112",8,7,6,7,11,6,20.3560830481122,20.2307070279814,7.69898972892797e-21,0.999999999907108,1
"P00957",NA,NA,NA,6,6,6,18.5763635771009,19.4430539802468,1.28119110878132,0.000118246755333695,0.000698105564486849
"P38159",4,4,3,3,3,4,21.9375244451447,21.8284413932696,1.06746898796458e-18,0.999999998133577,1
"O15498",2,NA,5,3,5,2,20.2631838001383,20.1796105997816,5.93044222200429e-20,0.999999999683645,1
"P55081",8,5,6,6,8,5,20.98297834029,20.9302350093051,6.99349923468324e-11,0.999981373813468,1
"P51948",NA,NA,5,NA,4,5,19.8397376683571,19.6435411258141,2.17069382444315e-18,0.999999998576053,1
"P24539",5,5,5,7,6,5,22.1222009176141,22.091402846691,8.53498484429797e-20,0.999999999387246,1
"P49643",NA,NA,NA,6,NA,6,20.051359077116,20.0525983602062,2.86230611911578e-17,0.999999994076811,1
"Q15007",7,NA,6,5,5,6,21.1463619011318,21.0856978339739,0.0365101840272429,0.426098532813083,0.756457469286059
"P21560",2,NA,2,NA,NA,NA,20.2999374137387,19.2090099918617,-0.872227879539646,0.00258765251776468,0.0102998717863967
"P84095",4,6,6,5,5,5,21.5471486347398,21.4741786521796,0.167522930893568,0.0672755639173515,0.167364447923133
"Q9ULH0",4,NA,6,7,5,NA,19.3844419258615,19.4628792578417,0.171888469609206,0.0952167365240201,0.222862055598128
"P18621",9,9,7,8,7,8,22.7319914653311,22.523530287418,2.06096952809442e-20,0.999999999851003,1
"Q15813",8,10,11,8,14,13,20.3366031096157,20.3327127209597,0.0835019729807174,0.188649498138038,0.391696322255139
"Q9Y3I0",15,16,17,14,19,18,22.5457299002432,22.6212617341478,0.162067087951642,0.0134583842141762,0.0433923957742345
"P51003",5,5,6,6,6,7,19.4667258467031,19.5877564579046,0.244432086036975,0.0379203197356891,0.103808842098012
"Q8WUD4",4,4,4,4,5,7,21.8208262693962,21.5777940863982,4.42192547828054e-18,0.999999997784459,1
"Cont_P41361",3,5,6,4,6,6,20.8371464427888,20.6415859222041,-5.57260075740791e-11,0.999988557027216,1
"Q00059",NA,5,7,5,4,6,22.5706316306044,22.4555329122998,3.56328158502829e-20,0.999999999667267,1
"Q96TA1",NA,6,NA,6,6,7,19.7309016436638,19.8199924692904,9.28052676912061e-20,0.999999999349868,1
"Q9NVV4",1,1,NA,1,NA,NA,20.1407099745142,20.9027299855296,0.282300355620812,0.222279207878039,0.445571461899085
"Q8TBC4",NA,NA,5,7,3,6,19.8196981073439,19.5650254885987,-1.23928730426407e-20,0.999999999960929,1
NA,NA,NA,NA,NA,NA,NA,18.2525265023274,17.3410725224117,-1.15454754220703e-19,0.999999999696395,1
"P55209",13,13,13,12,11,15,21.4946146621275,21.4344112144491,2.02957187691451e-20,0.999999999738912,1
"P48449",8,5,7,9,7,6,20.1377084735817,20.3204213449566,0.0879518451329314,0.392466691032299,0.709396984680984
"P40357",NA,1,2,NA,NA,NA,19.2717575304005,18.3108033247816,-0.917531403663718,0.999912812822107,1
"P13473",NA,3,4,4,4,3,20.3170208864088,20.146660054494,0.0425258705055414,0.588803870900787,0.991294044853063
NA,NA,NA,NA,NA,NA,NA,19.2148816844976,19.4069346986454,0.416850848533284,0.0544693103157382,0.139829289808592
"Q8NBT2",6,4,4,5,6,4,21.5358657234725,21.5928098041162,0.0759107651320065,0.605858867914411,1
"P37840",NA,NA,NA,NA,2,2,19.166922390359,19.5962419455025,0.34357036288833,0.195128188403726,0.401046175387408
"P52756",NA,NA,NA,2,NA,NA,20.4924173199692,20.555394029819,1.44749085075678e-19,0.99999999942887,1
"P0AFG6",NA,2,NA,4,6,5,20.4697840125386,22.1387207393569,1.82981537788466,1.45051716971993e-05,0.000103457157051106
"Q9NQX3",3,NA,NA,NA,3,NA,19.4859166133549,19.211152549339,-1.70461142255659e-19,0.999999999763051,1
"P17555",10,7,8,9,4,6,21.9029533643053,20.9097552545983,-0.875271360971196,2.56593300388491e-14,7.09057298141599e-13
"P33299",7,7,8,3,6,5,21.6350778056988,20.4946958108531,-0.929385772179318,2.14286837474031e-06,1.81541882534179e-05
"O14530",7,6,NA,6,4,4,21.1593260514972,21.0887661409643,1.7045696096005e-20,0.999999999834474,1
"Q04837",NA,4,7,7,4,7,21.7920959758037,22.0152698605097,0.263409564383431,0.0382972912253558,0.104569634292513
"P40319",2,2,3,1,2,2,21.7318290896123,20.6692853670821,-0.881299831275407,1.44869716710421e-06,1.29159183242838e-05
"Q13616",9,10,10,14,11,14,20.8050038741725,21.0785395623614,0.351425513937562,0.000440521994036844,0.00221435722335853
"P49903",6,7,4,4,6,4,20.8734697603354,20.7834344124878,8.2924270670419e-20,0.999999999237585,1
"Q96E11",5,4,NA,NA,NA,NA,21.4135548377108,19.9664141680312,-0.400469037411909,0.315912099094848,0.593164019574033
"Q9C0C2",9,9,8,3,6,7,19.7050960708562,19.6448274478781,9.11114415629176e-20,0.999999999299962,1
NA,NA,NA,NA,NA,NA,NA,19.1967685916806,19.8709353367802,0.791987881549697,0.0084809502310562,0.0290288296494907
"Q10570",11,11,13,14,16,13,20.2027233908318,20.0019092677369,3.40700389270329e-20,0.9999999996102,1
"O15042",13,14,12,15,11,16,21.3163499767857,21.2100173897785,0.0433171723375271,0.378386305671189,0.687951402456953
"Q13510",NA,2,2,2,NA,NA,19.8219187200915,20.2734245769856,0.382005239494655,0.0418168680392614,0.112894848854845
NA,NA,NA,NA,NA,NA,NA,21.3567136924599,20.9586457186533,6.17136544909874e-20,0.999999999742315,1
"Q16851",9,10,10,9,10,12,21.7728444935201,21.5693906966202,-6.50994535987165e-21,0.999999999909428,1
"Q9BZD4",NA,NA,NA,5,3,4,20.397632978554,20.0522617060643,-1.00903082924617e-19,0.999999999461943,1
"P0CX35,P0CX36",12,11,13,10,10,9,24.0984460922598,22.953364590755,-0.843475259536724,7.52951840610178e-11,1.37988882456268e-09
"Q9NWT1",2,1,3,4,3,4,19.9246081283799,20.1107835179089,0.1313865057397,0.306129157277261,0.577475218236651
"Q9UJC5",NA,NA,NA,1,NA,NA,20.6433661205386,20.3950800609879,0.253011489393659,0.121651363610253,0.27357302817849
"P53281",NA,NA,NA,NA,NA,1,19.2057844583742,18.9805486560343,2.7024239699365e-21,0.999999999994738,1
"Q8TBN0",2,2,2,3,4,4,20.4796223827007,20.2930852517474,-7.72131279570296e-18,0.999999997261603,1
"Q8N108",NA,NA,NA,NA,NA,5,19.0155289882311,19.2098717521144,8.20026042757178e-20,0.999999999643069,1
"Q9NVS2",2,4,3,3,3,4,20.0822065168705,19.9297177561524,-2.5513620861453e-20,0.999999999860307,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q5SY16",8,8,6,9,7,9,20.3001974622717,20.4144055428724,2.99677401767349e-09,0.999815769916498,1
"Q86VS8",NA,NA,NA,NA,NA,3,19.5617257956343,19.6267625531819,0.179293360788439,0.216088393029588,0.435144806718872
"P41240",8,8,6,8,7,6,20.2823982131201,20.1180164396011,6.35867847836139e-21,0.999999999928161,1
NA,NA,NA,NA,NA,NA,NA,20.1863424971317,20.1818651068036,1.52088042760225e-19,0.999999999626665,1
"Q99623",9,11,11,13,11,14,22.5854010458638,22.7303670929133,0.238000675077659,0.00203564382030281,0.00837422298017008
"O43681",7,6,7,5,9,7,21.1437674616043,21.1402945528964,0.123126607361027,0.187632679379065,0.389818185514682
"Q92759",NA,NA,NA,NA,NA,3,19.402046834485,19.1571002833459,6.83077073165176e-20,0.999999999750028,1
"P28272",7,7,7,5,6,5,21.3326440525409,20.5281945808899,-0.539995248263006,8.39548308069655e-05,0.000507575712484724
"O75530",NA,6,6,6,NA,8,19.6699470440368,19.6103488937765,0.0503536159826729,0.403424473526344,0.723504713310242
"Q9NX40",8,7,9,8,11,9,21.3707087131287,21.3006462820587,3.75973784040573e-20,0.999999999658153,1
"P40938",7,10,7,9,10,9,21.2524491062968,21.2442940290413,0.156215667787783,0.176282549225182,0.370537353568504
"Q8N392",NA,NA,NA,NA,NA,3,20.459573109753,20.2821214889673,-1.6570271394933e-20,0.999999999926893,1
"P02406",8,8,6,6,5,5,26.3445349437941,24.9858471715214,-0.804367299079662,0.000724258544827543,0.00335318999964892
"O95817",8,5,5,6,6,8,20.0064442952193,20.0496943351353,0.138363534549115,0.0469745499071943,0.12396213912574
"P18074",4,7,NA,NA,NA,4,19.7888001510874,19.9843700314052,0.273598757135267,0.0834754996065198,0.199449382943962
"Q9NWU2",3,3,3,3,3,3,20.613214117542,20.7414966349355,0.322367132017441,0.00392616253442676,0.0149188523086425
"Q08641",6,5,4,NA,2,NA,19.847423843333,18.5917871362849,-1.12464233126852,9.16495964325901e-05,0.000549689284058194
"O15397",5,6,5,8,10,8,20.6602246461079,20.5256028482384,1.26488288058267e-21,0.999999999989402,1
NA,NA,NA,NA,NA,NA,NA,19.6735232974902,19.7146013908907,1.68597319215314e-19,0.999999999312387,1
"Q9Y3B2",3,4,4,5,2,3,22.1243975432201,22.1894269881674,0.223084797393057,0.0482828738283245,0.126532774610674
"Q96ST2",NA,NA,NA,4,11,7,20.9823489080791,20.627357107877,-9.32516693881267e-20,0.999999999700678,1
"Q92667",NA,NA,NA,NA,2,NA,19.5811353289437,19.5023186122121,1.27423084068968e-20,0.999999999903282,1
"P54858",3,3,4,NA,NA,NA,19.7812376640128,18.9538040181475,-0.560256955290503,0.00673873990088958,0.0239186746448522
"O43670",NA,NA,NA,3,3,5,23.1958031890331,22.9078451299022,-6.41485058410391e-20,0.999999999579502,1
"P60228",15,14,17,15,13,16,22.0318194664949,22.0521950078478,0.124952940214292,0.158994421537423,0.340435114350717
"Q9UNM6",13,12,10,15,13,12,22.1253586186654,22.0410797898811,2.80065716560156e-08,0.999529421198502,1
"Q8WZA0",3,5,4,5,3,4,21.6195726976361,21.9924511179606,0.48656179946174,0.0110773942933586,0.0364050355419344
"P30038",4,NA,4,6,3,NA,19.3602498064342,19.5271265722701,0.058213968511104,0.531845448127915,0.908146320032073
"Q96VH4",1,NA,NA,NA,NA,NA,20.3247349613051,19.0700909737987,-1.07691606576623,0.000315123612332472,0.00165659604172389
"P37267",1,NA,NA,NA,NA,NA,20.5303179263397,19.4137619585342,-0.698766116314034,0.047476357585329,0.124977663508911
"P25574",1,2,NA,NA,NA,NA,23.5484433510021,19.9630952148023,-0.760874127039188,0.313881829628111,0.589981587171356
"P31689",8,11,10,11,11,11,22.4676358531597,22.4306441031512,0.160196370000883,0.0188748033884349,0.0582580188796253
"P38809",4,2,4,NA,NA,NA,19.9383109567753,19.0613643142874,-0.619633512604344,6.66389216109343e-05,0.000411850384382332
"Q13619",NA,NA,5,6,NA,NA,20.1572140713043,20.366681359361,0.366028738523976,0.0064351598613406,0.0229802258106602
