"protein_name","n_indistinguishable_proteins","Normalized.spectral.abundance.factor_A_1","Normalized.spectral.abundance.factor_A_2","Normalized.spectral.abundance.factor_A_3","Normalized.spectral.abundance.factor_B_1","Normalized.spectral.abundance.factor_B_2","Normalized.spectral.abundance.factor_B_3","Normalized.spectral.index_A_1","Normalized.spectral.index_A_2","Normalized.spectral.index_A_3","Normalized.spectral.index_B_1","Normalized.spectral.index_B_2","Normalized.spectral.index_B_3","number.of.quantified.peptides_A_1","number.of.quantified.peptides_A_2","number.of.quantified.peptides_A_3","number.of.quantified.peptides_B_1","number.of.quantified.peptides_B_2","number.of.quantified.peptides_B_3","probability_A_1","probability_A_2","probability_A_3","probability_B_1","probability_B_2","probability_B_3","Spectral.index_A_1","Spectral.index_A_2","Spectral.index_A_3","Spectral.index_B_1","Spectral.index_B_2","Spectral.index_B_3","total_number_distinct_peptides_A_1","total_number_distinct_peptides_A_2","total_number_distinct_peptides_A_3","total_number_distinct_peptides_B_1","total_number_distinct_peptides_B_2","total_number_distinct_peptides_B_3","total_number_peptides_A_1","total_number_peptides_A_2","total_number_peptides_A_3","total_number_peptides_B_1","total_number_peptides_B_2","total_number_peptides_B_3"
"P53731",1,-13.5616797511,-12.5670948534,-12.1121772007,-13.6486917947,-13.5351321558,-13.7115875404,-22.0937326712,-21.2374706881,-20.7874491866,-22.266025418,-22.1113053633,-22.2637337018,1,2,3,1,1,1,0.9987,1,1,0.9994,0.9992,0.998,194.7985761049,380.3428735123,585.4157464939,184.8774714537,198.4069634039,206.4269615793,1,5,3,2,3,2,1,5,3,2,3,2
"P53733",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
"P53734",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.996,1,0.9996,NA,0.9986,NA,NA,NA,NA,NA,NA,0,0,0,1,NA,1,0,0,0,1,NA,1
"P53738",1,-12.2206428332,-12.2260579355,-12.3561027836,-12.3076548769,NA,NA,-20.9753913324,-20.7157521341,-20.8731474761,-22.3041768318,NA,NA,1,1,1,1,NA,NA,0.9894,0.9999,0.9996,0.9976,NA,0.5574,166.9351258384,215.5439710584,217.7580940188,71.0733744003,NA,NA,1,2,2,2,NA,1,1,2,2,2,NA,1
"P53741",1,NA,-13.1576709606,-13.2877158086,NA,NA,NA,NA,-21.6025680725,-22.003442326,NA,NA,NA,NA,2,2,NA,NA,NA,0.9985,1,1,NA,NA,0.8091,NA,444.6836300357,379.4854362801,NA,NA,NA,3,6,7,NA,NA,2,3,6,7,NA,NA,2
"P53742",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"P53803",1,-11.0018082313,-11.0072233336,NA,NA,NA,-11.1517160206,-19.4933219887,-19.7153657804,NA,NA,NA,-19.7143968623,1,1,NA,NA,NA,1,0.9971,0.9407,NA,0.5506,0.9888,0.9973,200.3499701288,185.2577582945,NA,NA,NA,204.9251046005,2,1,NA,1,2,2,2,1,NA,1,2,2
"P53829",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9933,0.9999,1,0.8321,1,1,NA,NA,NA,NA,NA,NA,1,1,1,0,1,1,1,1,1,0,1,1
"P53834",1,-12.4012150789,-12.4066301812,-11.5366750292,NA,-12.3746674836,-12.5511228682,-20.7601342351,-20.7551938338,-20.2005273857,NA,-21.4245734941,-21.1048216421,1,1,2,NA,1,1,0.9894,1,1,NA,0.9866,0.9998,219.6363582994,237.6951976584,393.3786556648,NA,142.8726587549,206.2049266598,1,5,3,NA,2,2,1,5,3,NA,2,2
"P53839",1,NA,-13.6004534503,NA,NA,NA,NA,NA,-22.4054055148,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0.8591,0.9967,0.9998,NA,0.2101,NA,NA,173.2342681887,NA,NA,NA,NA,2,5,4,NA,1,NA,2,5,4,NA,1,NA
"P53840",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA
"P53844",1,-13.595038348,NA,NA,NA,NA,NA,-22.6406130727,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0.8425,NA,NA,NA,NA,NA,136.4584115127,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"P53845",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"P53847",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"P53849",1,-11.4012150789,-11.4066301812,-11.5366750292,-12.4882271225,-12.3746674836,-12.5511228682,-20.8915941655,-20.749818686,-21.3567817741,-22.2749571456,-22.0744084138,-22.2333016322,2,2,2,1,1,1,1,1,1,0.9986,0.9979,0.951,200.507606128,238.5824467625,176.499523932,82.1978767717,91.0603517645,94.3175933846,4,5,7,3,2,2,4,5,7,3,2,2
"P53851",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"P53852",1,-13.7269100037,-14.732325106,-13.862369954,NA,NA,-14.876817793,-22.4876646641,-24.1594043221,-22.7127244403,NA,NA,-23.5594816936,2,1,2,NA,NA,1,1,1,1,0.9995,0.9994,0.9991,332.4831877711,112.5524290096,345.6750676543,NA,NA,188.5717648776,10,9,10,4,6,2,10,9,10,4,6,2
"P53859",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6835,0.5073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,2,2,NA,NA,NA
"P53860",1,-13.5991544565,-12.0196070581,-12.1496519061,-12.1012039994,NA,NA,-22.3160165344,-20.6327667267,-20.7493356125,-21.0089235493,NA,NA,1,3,3,3,NA,NA,1,1,1,1,1,1,171.3770560168,593.5951236705,616.9056379806,453.5136605435,NA,NA,10,10,8,9,6,5,10,10,8,9,6,5
"P53868",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8618,NA,0.3574,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,2,NA,1,NA,NA,NA
"P53877",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6719,0.6208,0.2638,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,1,1,NA,NA,NA
"P53879",1,-13.514514643,NA,NA,NA,NA,NA,-22.8271103146,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0.9818,NA,0.7485,NA,NA,NA,113.4015516434,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,2,NA,1,NA,NA,NA
"P53883",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA
"P53885",1,-13.6595270744,NA,-13.7949870248,NA,NA,NA,-22.9681343596,NA,-22.8084476245,NA,NA,NA,1,NA,1,NA,NA,NA,0.9978,0.9487,0.9885,0.6836,0.9568,0.4621,113.7154883828,NA,154.3612291963,NA,NA,NA,3,3,4,1,2,1,3,3,4,1,2,1
"P53890",1,-13.9511821582,-13.9565972606,-14.0866421086,NA,NA,-14.1010899475,-22.6605766038,-23.2661328713,-23.013591143,NA,NA,-23.4751187037,1,1,1,NA,NA,1,1,0.971,1,NA,NA,0.8857,172.266432293,122.1065674835,163.9006984751,NA,NA,116.776406354,4,2,3,NA,NA,1,4,2,3,NA,NA,1
"P53893",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA
"P53897",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.986,0.8245,0.9589,0.4112,0.7213,0.4668,NA,NA,NA,NA,NA,NA,2,1,3,1,1,1,2,1,3,1,1,1
"P53898",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"P53899",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"P53900",1,-12.1550544916,-12.1604695939,-12.290514442,NA,NA,NA,-21.2137358923,-21.2949438701,-21.4822206278,NA,NA,NA,1,1,1,NA,NA,NA,0.9894,0.9997,0.9968,NA,0.5346,0.432,135.2243208135,137.8598291112,136.4209156653,NA,NA,NA,1,2,2,NA,1,1,1,2,2,NA,1,1
"P53912",1,-12.6984160878,-11.7038311902,-12.2489135375,-13.7854281315,-12.6718684926,-12.2633613764,-20.8375749098,-19.936845308,-20.7819405795,-21.6503686438,-21.1195811098,-20.6597160644,2,4,3,1,2,3,1,1,1,1,1,1,511.5506989191,1030.0641554551,646.0771697143,311.441790612,433.7678870541,689.8991049439,6,5,6,3,5,4,6,5,6,3,5,4
"P53914",1,-15.1882213555,NA,-15.3236813059,NA,-15.1616737603,NA,-24.6276530433,NA,-24.8075010522,NA,-24.5655657828,NA,1,NA,1,NA,1,NA,0.9893,0.9828,1,1,1,0.3641,103.8574252108,NA,111.4156033253,NA,111.7863353393,NA,2,3,4,1,2,1,2,3,4,1,2,1
"P53920",1,-15.1052769306,NA,NA,NA,NA,NA,-24.3685646238,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0.9392,0.9952,NA,NA,NA,NA,117.3443483287,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,1,3,NA,NA,NA,NA
"P53925",1,-14.4747441143,-14.4801592166,-14.6102040647,NA,-14.448196519,NA,-23.2337943801,-23.12245227,-23.2280024612,NA,-23.405186811,NA,1,1,1,NA,1,NA,0.9996,0.9896,0.9999,0.9009,0.9993,NA,166.4381071526,193.9094824328,203.069369094,NA,152.377044257,NA,3,1,2,2,2,NA,3,1,2,2,2,NA
"P53929",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9562,0.9933,0.962,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA,2,2,2,NA,NA,NA
"P53934",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,NA
"P53941",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5791,0.6337,0.2951,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,NA,NA,NA,1,2,2,NA,NA,NA
"P53959",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA
"P53960",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA
"P53962",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"P53978",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9721,0.6585,0.8946,1,0.9224,0.6752,NA,NA,NA,NA,NA,NA,1,1,1,10,1,1,1,1,1,10,1,1
"P53981",1,-13.0567165724,-13.0621316747,-13.1921765228,NA,NA,-13.2066243617,-21.6523079476,-21.6979388847,-22.2634166163,NA,NA,-21.8253618354,1,1,1,NA,NA,1,1,1,1,0.9516,0.9911,0.9999,186.4055321437,194.7831929198,148.3012690655,NA,NA,197.1153464885,5,4,5,2,3,3,5,4,5,2,3,3
"P53982",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,6,3,4,4,NA,4,6,3,4,4,NA,4
"P53985",1,-13.1096115208,-12.5300641224,-12.2450714712,-12.6116610638,-12.0830639256,-12.6745568094,-21.6851803383,-20.9915862422,-20.7478591011,-21.091082761,-20.6515440969,-20.9218019519,2,3,4,3,4,3,0.9999,1,1,1,1,1,378.0212234292,659.3830442404,879.6828018605,610.2683878865,797.8711031344,765.0186580874,3,3,4,5,5,4,3,3,4,5,5,4
"P53990",1,-13.6516218764,-12.6570369787,-13.7870818267,-13.73863392,-12.6250742811,-12.8015296657,-21.7070956498,-20.9755073243,-21.6567033569,-21.8448146011,-21.1218293737,-21.442179406,1,2,1,1,2,2,0.9985,1,0.9995,1,1,1,271.0506146839,485.4107512177,341.08930204,263.4852818175,419.2703401408,388.2881921858,2,5,3,4,4,7,2,5,3,4,4,7
"P53992",1,-12.9172961641,-12.6596768606,-12.2047592079,-12.1563113012,-12.2126766637,-12.3891320483,-21.6024770757,-21.2481906043,-20.8101069571,-20.813754528,-20.9013964418,-20.8292164329,5,6,9,9,8,8,1,1,1,1,1,1,875.9103613854,1207.6455431186,1843.4652154993,1618.2749382189,1468.138419026,1784.8033127674,11,11,19,18,19,18,11,11,19,18,19,18
"P53999",1,-9.1325119229,-9.5529645245,-9.4606169513,-9.2195239666,-8.9360393263,-8.9604916174,-17.9299771904,-18.4446844361,-18.4246255436,-18.0437078959,-17.97636397,-17.8570594563,8,6,7,8,9,10,1,1,1,1,1,1,1296.5184080009,978.7354786178,1118.2085427097,1281.4622971196,1294.4220874454,1625.8675531723,14,13,16,12,20,15,14,13,16,12,20,15
"P54000",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.739,0.5594,0.9996,NA,0.2459,0.8553,NA,NA,NA,NA,NA,NA,1,1,5,NA,1,3,1,1,5,NA,1,3
"P54003",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA
"P54105",1,-11.4476079843,-12.0379855874,-11.5830679347,-11.1195825287,-13.0060228898,-11.5975157737,-19.8456086909,-20.5190234046,-20.0933324505,-19.5694901349,-21.3097648586,-20.152794466,3,2,3,4,1,3,1,1,1,1,1,1,641.2993061495,433.6823083532,656.3516750272,830.5087975419,239.6441793219,617.9376958643,10,11,11,10,10,12,10,11,11,10,10,12
"P54113",1,-12.7658790556,-12.0343285638,-12.4863015067,-14.4378536,-12.7393314604,-13.5007493457,-21.3934431417,-20.6795776311,-21.0856471733,-22.7663047576,-21.4907704699,-22.4738412292,3,5,4,1,3,2,1,1,1,1,1,1,546.9596725551,967.5628891238,822.7336038963,225.8636177484,527.1302038809,308.3749747574,9,28,9,5,8,8,9,28,9,5,8,8
"P54114",1,-12.1268208109,-13.1322359132,-12.6773182605,-14.2138328545,-12.5153107149,-14.2767286002,-20.9100343218,-21.8427883872,-21.5394883879,-23.5000121682,-21.3526008613,-23.1456469615,4,2,3,1,3,1,1,1,1,1,1,1,654.6948095084,369.8970857582,514.2833369295,116.289734088,496.6770970094,165.7328070811,16,13,13,4,9,9,16,13,13,4,9,9
"P54115",1,-10.3022565988,-10.2081360275,-10.7856398526,-11.026698563,-10.7611358307,-11.2595193101,-18.8076458968,-18.8851009143,-19.4017626417,-19.718895682,-19.440697629,-19.9962949362,14,15,11,9,10,8,1,1,1,1,1,1,2778.0519559149,2839.5730414677,2236.3589546519,1579.7572035582,1846.8594387801,1453.039432299,35,30,46,29,31,32,35,30,46,29,31,32
"P54132",1,-15.6124512791,-15.6178663814,NA,NA,-15.5859036839,-15.7623590684,-24.9345813125,-24.784081869,NA,NA,-25.0107972032,-24.834543599,1,1,NA,NA,1,1,1,0.996,0.9874,1,0.9999,0.9999,112.654583965,134.8598521094,NA,NA,110.1708343699,143.9525200724,5,3,2,5,4,5,5,3,2,5,4,5
"P54136",1,-10.8097097323,-10.8151248346,-11.3236813059,-10.789806572,-10.6762469331,-11.4901322383,-19.4417513855,-19.4885932857,-19.7570810988,-19.2969710053,-19.2006494576,-20.1677603011,13,13,10,14,14,9,1,1,1,1,1,1,2362.8139293328,2466.9347898823,2307.5649320694,2793.6774301878,2879.1843598769,1703.0802530188,26,28,32,24,31,29,26,28,32,24,31,29
"P54198",1,NA,-15.1393463024,NA,-15.2209432437,NA,NA,NA,-24.2895007013,NA,-24.231721882,NA,NA,NA,1,NA,1,NA,NA,0.6657,1,0.6288,1,0.6316,0.9983,NA,136.3695943154,NA,140.7489752494,NA,NA,1,4,2,6,2,2,1,4,2,6,2,2
"P54274",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"P54278",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4427,NA,NA,0.5018,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1
"P54577",1,-10.3808664335,-10.1936364579,-10.5163263838,-9.8829159764,-10.2547831647,-10.4312385492,-18.8793777401,-18.6087309306,-18.9842138602,-18.4718723445,-18.8154204206,-18.9323876974,14,16,14,21,15,15,1,1,1,1,1,1,2791.3278294246,3631.7221730904,3154.279248813,3959.5487327104,3008.3264131204,3207.8149710306,45,48,45,45,50,43,45,48,45,45,50,43
"P54578",1,-10.0921944677,-10.7756814752,-10.9057263232,-10.3718515894,-10.7437187776,-10.5416625389,-18.747047685,-19.5347219217,-19.6371403977,-18.9653941261,-19.377727322,-19.3529586295,16,10,10,14,10,13,1,1,1,1,1,1,2862.4584262173,1788.3584863849,1876.9067340149,2631.3211656806,1906.1046424811,2242.3214450943,24,24,21,23,24,27,24,24,21,23,24,27
"P54619",1,NA,-13.5199297453,-12.6499745933,-12.6015266866,-12.4879670477,-12.6644224323,NA,-22.3634189066,-21.1346393074,-21.0190177219,-21.230924587,-21.5718810472,NA,1,2,2,2,2,1,1,1,1,1,1,NA,168.6681120172,445.4014710523,424.6905543025,353.4921870093,322.7280467674,6,5,8,7,8,6,6,5,8,7,8,6
"P54646",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA
"P54652",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,47,47,49,44,46,49,47,47,49,44,46,49
"P54687",1,-11.7362842734,-11.4197712809,-11.8717442238,-12.2383338164,-12.1247741775,-11.5642639679,-20.7207440252,-20.465516147,-20.87291846,-21.0293961455,-21.1029756843,-20.332567217,4,5,4,3,3,5,1,1,1,1,1,1,569.4528132292,733.0235947933,622.7256914247,491.7084773667,450.4593313734,888.5188735541,10,9,11,9,10,11,10,9,11,9,10,11
"P54707",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,3,3,0,8,1,NA,3,3,0,8,1
"P54709",1,-12.267948548,-12.2733636503,-11.8184459976,-12.3549605917,-12.2414009528,-11.4178563373,-20.4585612557,-20.5153381799,-20.3806803907,-21.0719390011,-20.3727010983,-19.713878689,2,2,3,2,2,4,1,1,1,1,1,1,493.6276967626,511.8431863466,633.1288534559,345.0785137302,540.1408728445,986.1145364828,4,3,7,5,4,5,4,3,7,5,4,5
"P54725",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.668,0.9649,0.9996,0.8892,0.5895,0.9882,NA,NA,NA,NA,NA,NA,1,2,5,1,1,3,1,2,5,1,1,3
"P54727",1,NA,-12.8251993714,-13.9552442195,-12.321833812,-12.7932366739,-13.9696920584,NA,-21.625164831,-22.7163001923,-21.0044430384,-21.6310404493,-22.4946379015,NA,2,1,3,2,1,1,1,1,1,1,1,NA,347.6681599708,183.8736901415,530.0969835678,331.000200832,210.3558198053,8,9,11,12,11,11,8,9,11,12,11,11
"P54730",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6444,0.6652,NA,NA,NA,0.7774,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,1,1,NA,NA,NA,1
"P54780",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,8,7,6,7,7,4,8,7,6,7,7,4
"P54783",1,-14.1827462255,-12.6031988271,-13.3182061758,-14.2697582691,-14.1561986302,-13.3326540148,-22.7544290975,-21.3570688855,-22.2481604246,-23.2489178327,-22.9064009945,-22.2733360416,1,3,2,1,1,2,1,1,1,0.9999,0.9987,1,189.5204041267,538.4337526199,327.1192790144,143.867776473,175.8607471824,315.380956504,10,10,6,4,2,4,10,10,6,4,2,4
"P54819",1,-9.5852624255,-9.5906775278,-9.7207223759,-9.3243511658,-9.1112558533,-9.6096393327,-18.1094911553,-18.1081443738,-18.1315591816,-17.913938474,-17.7172117926,-17.9981916443,11,11,11,14,15,12,1,1,1,1,1,1,2154.4369017631,2325.77750132,2578.3314819761,2638.5449761833,2915.2961142371,2774.5612858462,33,32,24,25,31,31,33,32,24,25,31,31
"P54826",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1
"P54837",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6362,0.7537,NA,0.9467,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,0,NA,NA,1,2,NA,0,NA,NA
"P54838",1,-11.7486892943,-11.7541043967,-12.1471836505,-12.4206638387,-13.3071041998,-12.8985970836,-20.2097137273,-20.0890358573,-20.8218473291,-21.0590495153,-22.1453740334,-21.7404079414,6,6,5,4,2,3,1,1,1,1,1,1,1227.7748518413,1439.7111115234,976.1043950615,728.7971817057,330.8932895067,506.6288448,12,13,13,12,8,8,12,13,13,12,8,8
"P54839",1,-11.4984439498,-12.0888215528,-12.6339039001,-12.5854559934,-13.0568588552,-12.6483517391,-20.104116456,-20.7941169338,-21.3356218463,-21.3690157272,-21.9692945555,-21.4853536401,6,4,3,3,2,3,1,1,1,1,1,1,1110.6451507382,742.4948541025,574.7822824187,494.2722199882,314.3126131234,508.3204159465,14,18,9,12,9,7,14,18,9,12,9,7
"P54840",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA
"P54855",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9406,NA,0.8952,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2,NA,NA,NA,0,NA,2,NA
"P54858",1,NA,-13.4253667438,-13.5554115918,NA,NA,NA,NA,-22.5769713192,-22.5119500642,NA,NA,NA,NA,1,1,NA,NA,NA,0.9993,0.9266,0.9995,NA,NA,NA,NA,136.2325864129,160.5733603292,NA,NA,NA,3,1,4,NA,NA,NA,3,1,4,NA,NA,NA
"P54860",1,NA,-15.0576349593,-15.1876798073,NA,NA,NA,NA,-24.4801439178,-24.1504364378,NA,NA,NA,NA,1,1,NA,NA,NA,0.9935,1,0.9914,NA,NA,NA,NA,112.9095448244,159.8827626229,NA,NA,NA,5,4,2,NA,NA,NA,5,4,2,NA,NA,NA
"P54861",1,-14.7079767262,-13.7133918285,-14.8434366765,-14.7949887698,NA,NA,-23.5072118823,-22.491320234,-23.7278132895,-23.6247708614,NA,NA,1,2,1,1,NA,NA,0.9999,0.9994,0.9514,1,1,1,161.8661028859,353.0195307974,168.8093043525,159.5624261779,NA,NA,3,2,2,3,1,1,3,2,2,3,1,1
"P54868",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,NA,2,2,2,2,NA,NA
"P54885",1,-11.9767172503,-12.9821323527,-12.5272147,-12.4787667933,-12.3652071544,-12.5416625389,-20.8792789398,-21.6379228945,-21.4566530062,-21.5335213226,-21.2934808327,-21.3654849378,4,2,3,3,3,3,1,1,1,1,1,1,602.7143284192,384.2075492054,490.8544285146,409.5702790239,466.3214168304,512.985368606,10,8,6,5,5,5,10,8,6,5,5,5
"P54886",1,-12.1936757856,-12.1990908879,-12.1067433147,-12.0582954079,-12.1671281904,-11.3435835749,-20.5368517009,-20.6878191586,-20.676788827,-20.4885530625,-20.6869762954,-19.9818747374,6,6,7,7,6,12,1,1,1,1,1,1,1332.2774353916,1294.1299954838,1469.3237889814,1473.3214466617,1237.8377013807,2333.5410062719,12,16,19,20,15,25,12,16,19,20,15,25
"P54920",1,-11.0264702855,-10.5464585607,-10.6765034087,-11.4354104241,-10.7368882845,-11.4983061697,-19.5411465416,-19.0108129737,-19.2049536976,-20.2813704849,-19.2090110799,-20.2159009892,5,7,7,4,6,4,1,1,1,1,1,1,985.7951553341,1535.542903733,1512.3033702243,631.1325347629,1279.4710265961,736.2433798014,8,10,13,11,14,7,8,10,13,11,14,7
