"protein_group","number_of_peptides_OEI06439","number_of_peptides_OEI06441","number_of_peptides_OEI06443","number_of_peptides_OEI06445","number_of_peptides_OEI06447","number_of_peptides_OEI06449","number_of_peptides_OEI06453","number_of_peptides_OEI06455","number_of_peptides_OEI06459","number_of_peptides_OEI06461","number_of_peptides_OEI06463","number_of_peptides_OEI06465","number_of_peptides_OEI06467","number_of_peptides_OEI06469","number_of_peptides_OEI06471","number_of_peptides_OEI06473","number_of_peptides_OEI06475","number_of_peptides_OEI06477","number_of_peptides_OEI06481","number_of_peptides_OEI06483","number_of_peptides_OEI06485","number_of_peptides_OEI06487","number_of_peptides_OEI06489","number_of_peptides_OEI06491","number_of_peptides_OEI06493","number_of_peptides_OEI06495","number_of_peptides_OEI06497","number_of_peptides_OEI06499","number_of_peptides_OEI06504","number_of_peptides_OEI06506","number_of_peptides_OEI06508","number_of_peptides_OEI06510","number_of_peptides_OEI06518","number_of_peptides_OEI06520","number_of_peptides_OEI06522","number_of_peptides_OEI06526","number_of_peptides_OEI06528","number_of_peptides_OEI06530","abundance_hcc_","abundance_hcc_","abundance_hcc_","abundance_hcc_","abundance_hcc_","abundance_control_","abundance_control_","abundance_control_","abundance_hcc_","abundance_control_","abundance_control_","abundance_hcc_","abundance_hcc_","abundance_hcc_","abundance_control_","abundance_control_","abundance_hcc_","abundance_control_","abundance_hcc_","abundance_hcc_","abundance_control_","abundance_control_","abundance_hcc_","abundance_control_","abundance_hcc_","abundance_control_","abundance_hcc_","abundance_control_","abundance_hcc_","abundance_hcc_","abundance_hcc_","abundance_control_","abundance_control_","abundance_control_","abundance_control_","abundance_control_","abundance_hcc_","abundance_control_","log_fold_change_","differential_abundance_pvalue_","differential_abundance_qvalue_"
"Q9NYK5",1,NA,2,NA,NA,2,NA,2,NA,NA,1,NA,2,NA,3,NA,1,NA,1,NA,NA,NA,2,NA,2,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,2,16.4025014376243,16.2295886554086,17.9107707720483,17.758306921315,17.9669772864064,15.335473867491,14.8009688159013,16.3544111137405,17.6018229108082,16.3633735134729,15.6517862447365,17.5778483000209,18.3147413119667,16.8031797903831,14.820505488905,15.1996757330076,18.1900718653466,16.2656236549073,15.516257077998,16.1582325965292,17.8681655738308,16.8021943931466,16.7029396075188,16.6849983183961,17.0363606159446,16.4018441213823,-Inf,16.2575293827505,17.7111635387693,16.3959566907431,16.3742075995203,15.4289915086904,16.1186067192823,17.2686254354434,15.3503047253855,15.3077238167602,17.4314868158403,15.3057684505701,-0.743825280691676,2.79632662773776e-05,0.000176899924511657
"P49419",16,14,18,18,12,16,16,11,18,17,10,17,9,14,18,16,12,15,11,17,12,15,14,15,11,16,14,16,12,20,12,17,11,15,11,12,11,16,20.6220356774411,22.3100565296709,22.0205689865149,22.7926791270508,22.4495236221564,20.617748849199,22.0567938107182,22.4695888873343,23.5065043163112,22.1324998595539,22.6491084087959,20.6493400734837,20.8841262724806,21.7731616794685,22.2541284555856,22.146721115779,23.0806720626529,22.0736304478603,20.628235403102,21.6556566264483,22.8529764901271,22.8520369875766,20.8190748436437,22.2225157867415,21.1841332129974,22.5606278712974,21.8002043223445,22.5392996339853,22.8873089439256,21.1553880133576,21.7121207214474,21.6495944986112,22.153534774754,22.5763709162318,22.1560578595832,22.3676698535623,21.1591541857426,21.4084406355756,0.44682004376885,0.00854848008827673,0.0236868936138773
"O43592",1,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,3,NA,2,NA,NA,NA,3,NA,4,NA,1,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,17.0310982309713,16.7081007882545,16.7424158938961,17.5109125510359,19.3643570766336,14.1650974379569,-Inf,-Inf,16.3769348366978,14.7305153513379,-Inf,16.5413877160628,17.163179417014,18.1412414826855,-Inf,13.716893272264,-Inf,-Inf,14.0258168614871,-Inf,-Inf,17.0115917789123,15.4325346845251,15.6969151088185,16.8150751282985,-Inf,15.8602687706226,14.3353295358841,16.6336945612171,18.2221208572753,15.7115251217839,13.6926491996122,-Inf,-Inf,14.6797715852212,-Inf,15.4625004039234,-Inf,-0.58869393746941,0.00932177806063971,0.0254495423299959
"P53618",11,NA,9,7,23,6,9,8,5,NA,7,NA,11,5,7,NA,12,NA,15,10,9,6,8,6,9,6,12,11,12,7,7,NA,5,6,10,9,12,10,19.9998478155435,19.9251717818175,19.2952023098483,21.047726330303,22.4600455032072,18.4258009896122,-Inf,-Inf,20.5445106086104,19.625500057739,19.0463542173926,19.7940188794064,20.0122778128863,19.8738897581705,17.6076531088435,18.4718584170885,20.1525979145883,14.0889897873662,19.1460139392173,18.1830732323124,20.1290799157077,19.6590802613681,19.6501720800683,19.662188595801,19.638708798106,18.2706266569004,19.470145549053,18.6684546777747,19.4349703278344,20.1579466885775,19.0157100919361,18.3804501747857,16.33770406454,18.8522375372198,18.6211442545346,19.4409931917015,19.7993179802422,18.7184805266082,-0.772888564931963,3.42616147293095e-07,4.24348673996749e-06
"P07306",4,NA,2,3,8,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,2,NA,1,4,3,2,NA,2,NA,2,NA,3,2,NA,2,NA,NA,4,3,2,NA,5,-Inf,18.8677862584774,17.5997593836136,19.945930237929,21.8108320075329,18.6138478588091,15.1437603916833,18.8978467535565,19.8222964589694,19.5661216649495,19.3854332493593,18.6288477918864,17.175907874864,19.0905009542592,17.8246580720949,19.221632987184,20.0078231682298,16.1822766513148,17.9967075984,18.0712074184375,20.2074342800635,20.0601497569895,19.6448619890745,19.6449320575167,19.0100791581693,18.5388526396676,19.3190435071973,18.6179184612431,17.2831361441665,18.2338939501765,17.5410804740404,18.4191791893563,14.7083275963001,19.5513053753368,19.452728292294,19.6102668764642,18.3599664550567,18.7963960397404,1.3065726193552e-21,0.999999999981703,1
"Q9BTT0",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.5781241512158,14.9368713207889,14.6467623169588,17.7908566835765,19.2571991177628,-Inf,-Inf,15.4131666127603,16.1059500258751,-Inf,-Inf,16.3102970361339,17.7083932316798,18.2166484166299,15.6437625869271,15.0918727252076,18.2626247351142,-Inf,16.0747058332278,16.908246238932,15.5998108423912,-Inf,15.2139513066804,15.0954601413375,16.484575474164,-Inf,16.4798366150738,14.6761730219571,16.1672895713758,17.2666416034115,15.3108282369256,-Inf,-Inf,-Inf,14.6363470589097,-Inf,-Inf,-Inf,-0.710209092781645,0.00652026318350635,0.0188546569694642
"P13688",1,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,15.3090120597805,12.6433624005211,17.3362206843518,18.5192216892346,14.047612700976,-Inf,-Inf,17.7173082640483,15.2884245460512,-Inf,16.7184365122423,15.8017975350259,14.974811385558,-Inf,-Inf,12.6256122701021,-Inf,11.760188758542,-Inf,-Inf,15.4964239859936,15.5688657458024,14.9802260080876,16.5872498752626,-Inf,-Inf,-Inf,16.9938433500166,-Inf,14.9324066204507,14.5302727005764,-Inf,15.8219618013584,15.0876225204548,-Inf,13.554427309482,-Inf,-0.622600716019972,0.0424377411331393,0.0875145393878982
"O95487",NA,NA,NA,2,2,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,NA,2,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,16.0177432971906,16.9963277456138,16.7885859197433,17.1093937257394,18.6007967046928,15.4213214468395,14.9611226832785,-Inf,16.7949813606112,16.9837342247122,15.5444106501488,15.3033310752256,-Inf,19.246176572004,14.9619541953823,15.2559951938035,17.4760593665175,-Inf,16.0811501787989,17.1509358317632,16.4072865122851,16.8627337630376,16.4073170277436,16.1589633907522,15.165218930587,-Inf,17.2239889518253,16.0273705789355,-Inf,15.1165278155044,15.7807016032076,14.2283325688385,15.0752381902591,15.6899936992499,16.4567565559499,16.9865153980607,15.0270770643465,15.867887314604,-0.108583528047549,0.370126607193831,0.558722690448249
"Q9NTG7",NA,NA,3,NA,NA,1,NA,NA,NA,NA,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,19.0361355806278,20.11633659654,18.378592079538,19.7250993120446,18.8813601448037,18.3570117442551,19.1208146505209,19.9928322626838,20.3644920757562,20.2027468922506,19.281539905761,18.7371676970971,18.4984918874656,20.1379578905705,19.4609914740543,19.9569251958276,18.96141641103,19.2019145547303,18.0160680730792,19.0030797956438,20.6610837132778,19.3956065440934,19.4218448737238,19.4562395403224,18.211247447545,19.4438557831434,19.6089265886344,19.1299247379631,19.3026767749496,19.9616432127884,21.0108325498425,18.5142266270972,19.9627564162243,19.4238687432958,19.0601136335851,19.8550118272577,19.5070206970005,18.6677742507345,0.434539593100615,0.00435020661061773,0.0136758788859787
"Q96CM8",1,2,3,5,3,4,2,5,3,5,5,3,8,2,5,5,3,2,NA,3,6,5,7,6,5,6,8,7,3,8,5,7,2,2,4,4,8,3,20.5901457265412,19.990319170649,19.6782969096213,18.1159007336883,20.0718306644451,18.3674862185749,18.8921974932315,18.2631728775172,19.9976987373915,19.1399681358518,20.042907457409,20.4899724510525,19.8129342458293,19.7391411995342,18.8953217260648,18.6690571153709,19.9224332390064,18.1426605535421,18.3349530271485,20.0899348378678,20.529445704562,19.9902137707799,18.7424661163043,20.0511566939844,17.8947873036176,20.3090863399668,18.7107028106894,18.7495196086082,19.5345228482335,17.1012267241153,18.2041340711047,19.1520235122095,18.0263296201625,19.4420077926748,18.4437911801237,20.1527975363616,19.5716170216366,19.002809131962,1.6067390021602e-21,0.999999999971189,1
"Q63HN8",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,17.8425357751845,16.6974164623157,15.3173270375919,17.6111188761981,18.6719502031536,15.4064757764349,-Inf,-Inf,16.8198212939806,15.0116383493291,14.9191754387928,14.903598007419,18.0990291221488,17.7809736777625,15.8876668659408,15.2957498081478,17.7849786696189,-Inf,16.4492234967815,15.6538112242196,17.0343332674729,16.0047216917543,17.2162384456969,16.7138429925166,16.9486208829092,-Inf,12.5649751006145,-Inf,17.0061223050199,15.6736467886889,16.1158783135658,13.055293422527,-Inf,-Inf,15.4289269407154,16.1923574484804,13.7011083477277,12.882453257441,-0.0748408479581661,0.501704704318197,0.728978708182482
"P48163",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,6,NA,NA,NA,6,NA,3,NA,5,NA,4,NA,18.5417346230376,19.263290166421,-Inf,16.4482758770424,15.7515376724784,14.0337027342286,17.1557705347769,14.8996671427617,-Inf,15.1967491025081,17.0610705250674,18.8675508111922,18.2811279742025,17.6609049005479,17.5861461999121,-Inf,-Inf,16.8976402244763,18.1399616301363,17.8537373890577,18.5557234718983,16.9766626433005,16.4257429684262,17.4167507184036,-Inf,17.5729306136478,18.8438128806888,-Inf,16.817922619489,-Inf,18.1901174964789,-Inf,-Inf,16.6623490562506,14.8467441706475,16.7097031955859,-Inf,16.1145591829759,-0.691249855422889,0.0320541224151196,0.0693718691426168
"O43837",1,1,2,1,NA,1,NA,1,NA,1,4,NA,2,NA,2,1,1,1,NA,1,1,2,2,2,1,1,3,1,1,NA,2,1,NA,1,2,3,2,1,18.7557843569389,17.272292308342,18.1169579827683,18.4078034555598,17.8369025001707,14.9459754815531,-Inf,17.3346490058998,18.2025629887104,17.3201658576552,15.9155498341218,17.0769934914302,17.9926104974224,17.2343976704119,17.2973494361194,16.52002468942,14.455105473779,16.864471975434,15.9583727382564,-Inf,17.3286011573138,17.004959765442,16.5676216973516,16.9953186192524,16.4161453321206,17.3579391215758,16.2413515786611,15.0810461031862,16.9809403517869,16.3666794064535,16.7071089966047,15.1030640709217,15.7674567376295,17.1836427781345,16.5426568824611,17.0757872151888,18.2799420514475,15.6512455937088,-0.589785104202567,0.000339943146775956,0.00156009622716823
"P62841",2,1,2,NA,1,NA,NA,NA,NA,NA,3,2,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,14.339750317447,-Inf,14.3057799824854,17.3552234713674,18.2734729338717,-Inf,-Inf,15.2808555690666,17.0684485136235,14.0744525318751,-Inf,16.4445772585392,16.0520196127655,16.5570197414224,16.9189032265984,-Inf,17.7370652110244,15.7923642559379,-Inf,15.6438021541945,16.7291740713267,16.2465712541134,15.8743484837938,14.9619228842861,15.9570573846559,16.4042449971372,16.5294183212202,12.8441660803708,15.0995436591215,16.2571674343464,-Inf,13.8921835454856,14.352405372112,14.7209689845412,15.6395262848719,16.9650568799787,16.1581923770386,13.5774474899813,-0.18473025761287,0.172603665637358,0.291118241632821
"P35270",6,4,5,5,9,6,5,5,6,5,6,5,4,6,6,4,4,5,2,5,3,5,5,6,4,4,6,5,7,5,4,6,3,4,6,5,3,5,19.0705085968747,20.4256465170764,20.1816187280453,20.3103181469521,21.9321314825014,18.7834419983101,19.9641091095285,20.6073247472279,21.2510935323875,20.3420403261795,20.4983159165965,20.7614587449276,21.1640973336244,20.1182125062383,21.0977955547884,20.0160580075034,22.170608769461,20.0572502812347,18.7652971179841,20.553400947613,21.4711999305521,20.4938506358327,19.6689907333915,20.3554283645226,20.0428986746155,20.6442320721227,20.1614273025151,19.8304107150456,21.2253980230855,18.9754531242472,19.6286365175437,19.3799877502587,20.3267370996771,20.399309862881,20.1527503323971,20.3886523680653,19.8048454225692,19.5753342638526,7.74381493778808e-21,0.999999999875739,1
"O60437",NA,NA,5,NA,NA,3,3,NA,7,3,NA,NA,NA,NA,2,NA,NA,NA,5,1,10,NA,NA,1,NA,NA,NA,2,NA,NA,NA,4,6,3,5,NA,NA,NA,18.1265000464221,17.7576791751402,14.5027382254564,17.7526830322426,17.3534603929914,16.3361492504991,17.3352717342262,17.1074781715054,18.7520954922149,17.1005820153273,18.0541885613153,17.427224651106,15.7445284644189,18.9328401481277,17.2073051071207,16.911243046948,18.8632284139906,17.0102997190641,17.6045511032455,18.6720466015442,18.5343087758072,18.1582461212352,15.6181194428157,17.6337034911465,-Inf,18.0997800144793,18.0433711252649,17.2844405157714,17.3813333876705,18.1005926311822,14.4303207031983,16.5417076670487,17.0221133457142,17.8292600696899,17.8131132149749,17.3428209943706,15.5914958151361,16.959269195501,-0.0679258240873118,0.372857055616819,0.562019139551452
"Q96I59",NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.4122715851562,14.2472858742191,16.9218245185989,-Inf,17.1199937792024,-Inf,-Inf,14.7154972486577,19.1782645605965,15.16810974703,13.8795328875487,17.7801284807313,17.1671375133302,13.8525736394713,15.6417498537002,13.4808390989831,-Inf,14.5150818502931,14.9175457435916,12.2248999521596,16.7048171488046,14.4406248098048,14.7594240585675,14.4117230260829,13.556590657657,-Inf,16.373969194461,14.3934529167619,17.593726647167,15.6711618435121,15.5603848986711,14.3219718585036,15.7765801728613,14.2231547504543,14.160844028483,16.4456905092712,17.6950652162626,15.0182583542507,-7.3928881338739e-10,0.999961544379998,1
"P29728",NA,NA,NA,NA,NA,NA,2,5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,1,15.3070418855523,14.4939224138068,-Inf,14.6532942107795,-Inf,17.7676398543576,-Inf,-Inf,15.1445453254506,16.0704113458373,-Inf,15.1801837792109,17.3672220545949,-Inf,-Inf,15.8688259078842,17.3525775648882,13.0334546088069,15.9679066957566,-Inf,15.4416032136387,15.0549226124573,15.0007082926625,16.1117451985495,17.0545778127741,-Inf,-Inf,-Inf,15.9924377579213,-Inf,14.385430163291,16.7712722939276,-Inf,15.7488833213278,-Inf,17.0530379475849,-Inf,13.2491057549317,-3.50684930551745e-13,0.999999833990016,1
"P48775",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,14.4830111891285,-Inf,15.6480532192842,-Inf,16.4145491469752,15.3802733203303,-Inf,-Inf,-Inf,14.849515899888,-Inf,-Inf,-Inf,-Inf,-Inf,16.8777804407648,-Inf,17.891622411407,15.1792399614461,-Inf,15.0329101708516,-Inf,-Inf,-Inf,-Inf,14.1477773603723,13.7925258794896,12.2967891533686,16.1761951379685,13.279656640421,-Inf,14.6503804844307,14.0722903422168,-0.555854852986506,0.143516742212647,0.24775014440739
"P31947",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,18.064925829022,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,20.296558561132,-Inf,-Inf,-Inf,-Inf,15.124955752879,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,17.4329974095607,-Inf,-Inf,-Inf,15.8797250885194,16.7347281511296,14.3054489060134,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,NA,NA,NA
"P63104",6,5,6,5,9,5,6,4,8,5,5,5,9,5,5,6,6,5,8,5,5,6,6,5,7,5,6,5,6,5,5,6,6,5,7,5,6,5,23.0466117351184,22.0395126933445,23.1946152245512,23.3923473276584,23.9925841171153,21.3065544722157,21.3580721276067,22.4372921895912,22.8943597513971,21.7355138997897,21.2835566300372,23.3420831718846,23.3391593272408,22.2203880982373,22.3951888275422,21.404612765674,22.4791954404678,21.5353302728094,22.5907785263943,21.5323720038546,22.5552870054705,22.0948209249954,22.922998234918,22.5979200527947,22.2628877233019,21.5830691128679,21.5035281662682,21.2159810474272,21.9570911509015,23.4407158707113,22.083282571258,20.9631935287682,21.8341828182054,21.340887613611,21.5595920954436,21.6887494630452,22.1171763492935,20.6656097225991,-0.794314944831144,9.36910949049769e-06,7.04578252680699e-05
"P31946",7,6,6,5,4,5,5,5,6,6,6,6,6,4,6,5,6,6,6,5,6,6,5,5,5,5,6,5,5,4,5,4,7,3,5,5,5,5,21.2885938358265,21.1692100835474,19.7726756008814,21.9157923066976,21.4246164582289,19.4315509174796,20.1043181488966,21.47417832456,21.2175589580607,20.5757169894591,19.624953306123,19.9317723781714,20.5907855837927,21.2341374698716,21.4648568332864,20.5228535633633,21.430541530585,20.344164313843,20.7504364051591,19.8089544967714,20.7757704175117,20.8259472879812,20.3967783403128,21.4059021716291,20.1372152117935,19.8955184884085,19.5078255677656,19.5162311611853,20.5257941495838,21.1555320381357,19.4562864436785,19.6695112539217,21.0769723666435,19.7068192921672,19.7414293509918,20.6433710500655,20.2378012068469,18.646833460268,-0.0382722892048293,0.58665900907635,0.832416095694255
"P49736",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.4074432721222,-Inf,16.121137649748,12.8040040773142,17.0270955362814,11.7423048069362,-Inf,-Inf,-Inf,-Inf,-Inf,12.7605707515681,16.01472994188,16.5270201820196,-Inf,-Inf,13.6748600870537,-Inf,11.4584775322718,-Inf,-Inf,-Inf,-Inf,-Inf,14.6294552877956,-Inf,12.4177172099662,-Inf,-Inf,14.9664143575293,12.4356256763841,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-4.16988611830661e-18,0.999999999045158,1
"P82909",2,2,NA,1,NA,NA,NA,NA,NA,2,2,2,1,NA,2,2,2,2,2,1,NA,NA,NA,NA,NA,2,2,NA,1,1,2,2,NA,NA,2,2,NA,NA,17.2815266365758,16.6248902207433,15.1716043245078,17.348865252708,16.493915326901,13.5168733442068,16.2203202127132,16.698041569478,13.5597438081332,13.9485887469889,14.6016721119817,15.086222990231,15.5046577008818,15.0635025140109,16.0417400928217,15.7114452199057,14.2136689940388,15.8626850847616,15.5090005040731,16.0254475980497,15.2744577365958,14.18273006099,15.7541914760684,13.3872973606323,15.0736162151437,16.4030142823446,16.2588943868114,14.1405641419062,15.6907816733122,15.6970211446047,14.9823159099627,14.8372000672915,16.2524272097261,13.717615374552,15.2826570984322,16.4188594245751,16.4266521915854,15.0850731328901,-6.77257409943482e-21,0.999999999912022,1
"O43704",NA,2,4,1,NA,1,8,1,2,1,NA,NA,NA,NA,1,1,2,3,NA,3,NA,1,NA,1,1,3,NA,NA,NA,NA,NA,3,NA,NA,2,4,NA,1,-Inf,16.5567052905622,15.6467923614092,16.6912559466553,-Inf,16.1456824700017,18.1233285685078,18.5707856947729,18.9990097694886,17.6834270170148,17.5925809227863,18.1590932907427,17.0283162854369,17.6449658003476,18.2781290470875,17.4956049536276,20.8053035369567,18.5098201597552,15.5162336513658,18.0088897950735,18.7104197216713,18.0930468971735,17.2955088025541,17.8674289647459,15.6607846747552,17.8913615871149,18.0427336862382,16.9393850196243,17.5548427334349,15.0597763617353,14.0797453470142,16.8228219929346,17.6809511595374,16.919023847993,17.5633252667206,17.3994789086389,16.63331661128,17.5215780085001,0.090115014075357,0.456761431872651,0.674641885007306
"O60763",17,9,18,12,15,10,14,13,7,10,14,11,12,11,13,7,13,7,10,17,23,12,12,8,14,12,13,12,14,11,15,10,11,10,12,14,14,14,19.8701019355603,20.0728416645112,19.3418666244809,20.8733486938253,21.0353206331175,18.6421022321259,18.7168288004788,19.2413631672735,20.272022489736,19.7360492661196,19.3267825409106,19.8650814933622,19.5267240196228,21.4031751971765,19.1040632729892,19.1253418894359,20.7680669836582,18.4426281954529,19.3061291050523,19.3134971595307,20.287643769374,19.9727969286846,18.8860377515964,19.639667700431,19.5673503699514,19.5075421362321,19.6600052649225,19.1848108580202,18.7389159365348,19.329631003041,19.0093571043513,18.533634654796,18.8228202543162,19.3325007867914,19.3421032046471,19.4826030455784,19.459134583795,18.949111597676,-0.402732288466921,0.000941567842830188,0.00372998744674155
"O15371",2,5,7,5,3,3,5,2,3,3,4,6,7,5,6,6,7,NA,7,NA,3,NA,6,1,4,4,5,4,7,4,5,NA,3,NA,4,5,7,4,18.5917561159184,19.3655835133241,19.4302114065314,19.4639754898271,20.728336225985,17.0805775215856,17.8272156531079,18.0534353839301,19.7939877218274,17.9726544479401,18.4679691954316,19.479347446769,19.8953490173135,19.1731120607381,18.9988670380159,18.3367807210107,20.1533608483669,17.4930065055105,17.7880051154766,18.5561418612055,19.4733853373323,18.6677606148719,19.2965722901798,19.2207277059293,18.8586018594635,18.5595942283103,18.3294769618834,17.5025061692947,19.2787578707755,19.4193197935073,17.6652463301803,17.6888243598974,18.0854494237042,18.570384372355,18.5758470443478,18.4452871062142,18.611219088479,17.7351332610538,-0.639082246751851,4.97606104973702e-12,4.44816587750405e-10
"O95810",2,5,3,3,NA,NA,NA,3,1,3,NA,4,NA,1,NA,3,NA,2,NA,NA,NA,3,NA,NA,1,2,NA,3,NA,NA,1,1,6,1,NA,1,3,3,18.7736360849647,14.7514894322735,16.4881214287654,17.1109455521885,17.2774041729616,15.9393729780005,17.2194262484898,19.6990079658708,17.8653886038944,17.9061171356816,17.5466202541056,12.8318131027219,16.859550246729,16.2274637713362,18.855267529508,17.647165980575,17.0537371499001,17.5580670992076,18.5034592237004,17.4889353036223,17.6786759748446,17.6884667819116,-Inf,18.0926592473915,15.4160385209011,17.0652010897681,15.3246498163021,17.0477339822276,15.3953067329648,-Inf,16.5658018957681,15.9486420901313,18.9820299958244,17.0301853074579,17.8754280207103,17.0550063329789,14.5982150643904,16.5887515044171,0.538888312580019,0.0187147417064709,0.0453744209298398
"Q15050",NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,14.2366112317941,14.5476628686752,16.3956984368242,-Inf,-Inf,13.5522952745607,16.4365806616408,-Inf,-Inf,-Inf,16.1547005765347,-Inf,14.5718665186797,-Inf,-Inf,14.5534346282154,13.6030964983759,-Inf,15.4428220670344,-Inf,14.2559410355351,-Inf,12.0757562104178,-Inf,13.6027844338089,-Inf,-Inf,-Inf,14.3570871645742,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,6.09966541600391e-20,0.999999999871087,1
"P32322",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,14.859503222312,15.4955783788835,16.5897661535733,-Inf,-Inf,13.5225943010825,15.4632916403742,-Inf,13.6605490760316,13.5890722820819,-Inf,-Inf,13.6792376518577,-Inf,14.5590875404019,-Inf,13.8670642196037,-Inf,-Inf,13.497385902347,-Inf,-Inf,17.996234014684,-Inf,-Inf,-Inf,13.3882416903258,18.1319459807691,-Inf,-Inf,-Inf,13.4435538397209,-Inf,-Inf,13.909964129491,-Inf,-0.731167226121068,0.400547627417096,0.599800380167188
"P08708",4,3,2,3,2,3,2,3,1,2,2,3,4,1,3,3,4,3,NA,2,3,2,4,NA,3,4,3,2,4,3,1,2,2,3,2,2,3,2,18.4163440173014,18.8578058838351,17.8622245992723,19.5058710105901,19.6835165245279,16.7228886026051,17.1952037842871,19.3062001883449,19.4347596532238,17.887244003657,16.7058277845926,18.3673222634534,19.1642194826057,18.1535077281267,19.8068632647843,18.6749729577975,19.0567849916831,18.276443628368,17.2616566067784,16.8276376403209,17.9034817751806,19.2830356055604,18.9761819654511,19.1323902219532,18.6815994110247,18.2604872163434,17.0082124870918,17.3969826459786,18.5273749475609,16.3827391781529,16.9466961090825,18.0681976699439,18.8702036995583,17.6896004040033,18.2951883393711,19.3765488866921,18.2690064769447,16.9972633296889,3.10707181884829e-20,0.999999999733962,1
"Q86X76",NA,2,2,2,2,1,3,3,4,2,1,3,3,2,3,3,2,2,1,2,4,2,NA,3,2,3,1,3,1,2,1,2,NA,2,3,2,2,3,17.5831258933632,18.5202846703811,15.3137009772842,18.7107692072587,19.7307204262731,17.6859850863044,18.4792570243779,18.7868855581632,19.3794074340089,18.8703548932519,18.7061448655427,18.6722446211798,19.1166118102708,19.3002111383384,18.8812303391802,18.7732592275097,19.6267850996366,18.0271756789953,18.3089005038322,18.9589537601384,19.4308267242739,19.2118579203795,18.4480247739438,19.0425651054437,17.584316846639,18.7581201975718,18.8014568536946,18.1282129968058,18.8718167486737,16.0766783765828,17.5548805258343,18.1326542113809,18.3058679691385,18.8282645125474,18.6015383187186,18.8472881664386,18.1281974861446,17.8517285047676,0.0805122157060852,0.219288310916088,0.356690480414144
