"","protein_group","number_of_peptides_OEI06439","number_of_peptides_OEI06441","number_of_peptides_OEI06443","number_of_peptides_OEI06445","number_of_peptides_OEI06447","number_of_peptides_OEI06449","number_of_peptides_OEI06453","number_of_peptides_OEI06455","number_of_peptides_OEI06459","number_of_peptides_OEI06461","number_of_peptides_OEI06463","number_of_peptides_OEI06465","number_of_peptides_OEI06467","number_of_peptides_OEI06469","number_of_peptides_OEI06471","number_of_peptides_OEI06473","number_of_peptides_OEI06475","number_of_peptides_OEI06477","number_of_peptides_OEI06481","number_of_peptides_OEI06483","number_of_peptides_OEI06485","number_of_peptides_OEI06487","number_of_peptides_OEI06489","number_of_peptides_OEI06491","number_of_peptides_OEI06493","number_of_peptides_OEI06495","number_of_peptides_OEI06497","number_of_peptides_OEI06499","number_of_peptides_OEI06504","number_of_peptides_OEI06506","number_of_peptides_OEI06508","number_of_peptides_OEI06510","number_of_peptides_OEI06518","number_of_peptides_OEI06520","number_of_peptides_OEI06522","number_of_peptides_OEI06526","number_of_peptides_OEI06528","number_of_peptides_OEI06530","abundance_hcc_1","abundance_control_1","abundance_hcc_2","abundance_control_2","abundance_hcc_3","abundance_control_3","abundance_hcc_4","abundance_control_4","abundance_hcc_5","abundance_control_5","abundance_hcc_6","abundance_control_6","abundance_hcc_7","abundance_control_7","abundance_hcc_8","abundance_control_8","abundance_hcc_9","abundance_control_9","abundance_hcc_10","abundance_control_10","abundance_hcc_11","abundance_control_11","abundance_hcc_12","abundance_control_12","abundance_hcc_13","abundance_control_13","abundance_hcc_14","abundance_control_14","abundance_hcc_15","abundance_control_15","abundance_hcc_16","abundance_control_16","abundance_hcc_17","abundance_control_17","abundance_hcc_18","abundance_control_18","abundance_hcc_19","abundance_control_19","log_ratios_control..vs.hcc.","differential_abundance_qvalue_control..vs.hcc."
"1279","sp|Q9Y2Z0|SGT1_HUMAN",1,5,1,1,1,1,2,NA,2,3,1,2,2,NA,NA,3,NA,1,1,1,1,1,NA,1,1,1,1,2,NA,1,NA,1,NA,1,1,1,NA,1,19.031246358649,20.1177821060615,17.9846450303823,19.2393019227171,18.5530686318529,16.1674587210592,21.0774915063152,16.2884986144049,18.0246928153645,18.9969615702844,18.2653474829035,18.6806849805834,18.480417237929,17.3181451346732,16.8557223449858,18.1028769199508,17.4353462529311,17.685623265747,18.4193567622849,19.7852273487888,19.0120608214409,16.4385969508545,17.3647416933685,19.1032983621795,18.1690334614823,19.0633312193415,19.2065553474125,20.3405379732589,17.649685059517,18.6215818414739,19.2113035732453,18.6533242282575,17.6365305976241,18.9663635569342,17.8093730539687,16.0705482376604,16.8797075608827,17.406546502052,-0.00103348085565751,1
"1280","sp|Q13177|PAK2_HUMAN",3,1,NA,NA,4,NA,2,NA,NA,1,NA,1,NA,NA,NA,1,1,NA,NA,2,1,NA,1,NA,1,NA,1,NA,2,NA,1,NA,NA,NA,NA,NA,2,NA,19.7795835094544,17.2530338195718,18.6309956129995,17.9931076132775,20.4767852566278,16.7937380476562,19.8961267191051,16.5290745340051,17.8813526888797,16.2340953417047,17.6683866317231,17.1464830589228,17.4315088671076,15.4087430365156,17.536033239524,18.1035766259011,17.8696738408146,17.2910479988206,18.2954604044971,19.3085935841915,19.8158940462593,16.2588994345742,17.981689017539,19.4662586035335,16.1849973440152,17.7490626210584,18.6414077307685,18.6509041716018,17.8563787171198,17.5814697525721,16.1144430797922,18.4634535283213,17.0766894183341,18.5563016494139,18.475626811078,16.8873627165974,18.3351188031429,17.2946050447088,-0.68307055557019,0.196606506293637
"1281","sp|Q9UDY2|ZO2_HUMAN",NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,17.4110688499614,18.615911134453,NA,15.8458898729666,NA,NA,17.2913622855401,14.1848435821975,15.6752712370869,NA,NA,17.9671863423098,NA,NA,NA,18.0960940319905,15.5349633382017,15.8633156405382,14.8653766120386,15.7044383764144,16.8473102801686,16.1536527651008,NA,NA,14.7982388935746,16.6542195267025,NA,17.4485142470455,NA,NA,16.9850015874357,16.570533936688,NA,NA,15.664278104635,15.3067958127393,17.133074765152,NA,0.313688343716049,0.640732690645591
"1282","sp|P51665|PSMD7_HUMAN",2,2,3,1,4,NA,2,NA,1,1,1,1,2,NA,1,1,2,1,1,2,1,1,NA,NA,3,NA,1,2,2,NA,NA,2,1,NA,3,2,1,1,19.3170660048564,20.4250536114722,20.8301294730339,20.2161508084853,20.7671985139498,17.7797317930003,21.2049885248221,16.5108217966986,19.7793230987833,19.1772155885308,18.7967658638789,20.0603568631549,19.2431130933822,19.8705288690666,18.1113552149035,19.8100621351452,19.2746028060574,19.5149032729587,19.0910466323516,21.0568735016606,20.7203212979336,17.1419022686452,18.2636235210296,19.0534286182618,20.1568788194903,19.2902773738473,20.2192016146233,20.4747101645166,19.0086030119566,18.3936618590307,18.1721183028555,20.1656159550814,19.231530585813,19.6485296221238,19.5270367874062,18.982084643151,19.1306668562281,19.6451355035187,-0.190975040789768,0.914121150936044
"1283","sp|Q63HN8|RN213_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,16.9323024258837,NA,NA,NA,NA,NA,NA,NA,16.9423067089343,NA,13.6632589941697,NA,15.407270420161,NA,12.9220249805012,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.3141349875793,NA,NA,NA,NA,NA,NA,NA,14.3787750872001,NA,NA,0.498015520382911
"1284","sp|P49888|ST1E1_HUMAN",NA,2,7,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,18.1350665425333,21.2229894215612,17.2881028462185,NA,17.047333657805,NA,NA,16.4485031968337,NA,NA,18.4641784171419,NA,16.4442740325732,17.1281722899292,17.758695519557,NA,17.5847892418747,NA,18.6917272326093,16.133703748908,NA,16.9847286298132,18.9415174628722,NA,NA,15.7574061572927,18.5335496608257,15.5605465952068,NA,16.3804392499789,18.5485151571866,NA,18.3902121248708,16.2609862214935,17.5806112325862,NA,NA,1.07923056850142,0.109810831415998
"1285","sp|O00499|BIN1_HUMAN",NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,16.8398036378758,NA,16.5019570417635,18.7517744958407,NA,18.6638236653,13.5095424524338,16.4875145807237,NA,NA,NA,16.7011618602767,NA,NA,16.9255415751673,NA,16.2476985519712,NA,18.1815717781178,16.9872183719062,NA,17.854315435712,16.561249156102,NA,NA,16.2790181623214,16.1501221111524,14.8392451311124,NA,17.3964649731914,16.0066302608326,16.3593290217783,16.0881070536672,16.2018176166679,NA,17.0929004991395,NA,-0.666659622589156,0.383827481599381
"1286","sp|O15145|ARPC3_HUMAN",4,3,4,2,5,2,3,3,4,2,4,3,4,2,4,2,2,2,4,5,1,4,2,1,5,2,2,3,4,2,3,3,5,4,5,3,4,3,20.3200003266308,19.2163066937885,19.7983339598296,18.91327202197,21.3348132465397,17.5404641629914,20.3457103278085,18.0738151612243,19.2268698774291,17.624795884146,18.8094644375732,18.821883823872,19.4538387979393,18.7974019833016,19.0221613699699,18.8133576817867,18.6460073215381,17.8408465070106,18.5863054131525,20.2512354942116,16.4892504237688,18.3016142593648,17.7985704590126,15.7820959865964,19.6239163098678,18.6039389090546,18.7060043854498,18.8619705042163,18.7503402214758,18.0437238909407,17.7326802635846,18.7576078283618,19.2735204427,18.8919968883701,18.6881640659073,17.9535843395701,19.8376808692045,18.742227582084,-0.663762785080021,0.155641843574414
"1287","sp|Q9BUJ2|HNRL1_HUMAN",5,1,1,NA,3,1,2,1,1,NA,NA,NA,2,1,1,1,1,NA,2,NA,4,1,1,NA,1,1,1,1,1,1,NA,1,NA,NA,1,1,NA,1,19.6387143048144,17.0420938879292,17.7388211305984,14.2347897442767,20.6835986310058,15.7332129158398,19.6014703225808,15.7356943108149,16.3734966449275,NA,16.7545163184049,14.1512766319658,17.9389646846989,16.5412583345779,17.548411336851,16.2243090509951,16.5656850795517,NA,18.3101731435347,18.3757604119646,19.2965062513677,16.3675504070752,17.2070730581517,15.5022829834082,17.1815186895049,16.9313217896592,17.7873078376754,16.9557324233658,17.5794994304727,15.7726413910524,16.2134959471878,16.4922406433305,14.9445839621896,NA,17.2412489948049,16.6008734668848,NA,16.6543816382467,-1.49306879072292,0.00909088268105168
"1288","sp|O43747|AP1G1_HUMAN",3,1,NA,1,2,1,2,1,1,1,2,1,2,1,2,1,2,NA,NA,1,3,2,1,1,1,1,NA,1,3,NA,2,1,1,1,1,NA,3,2,19.4596586228794,19.0797331527483,21.1575609659004,19.5698783171035,19.6269711481794,17.555153343145,19.2566171488442,16.8568010599934,18.5273759371998,18.795915006944,18.8044647961707,19.3539093589861,19.0577448697661,19.8147762699753,18.5461706630615,19.3754966089681,18.9436262344921,18.7022180462514,17.2578588664248,20.42390402223,19.2751189541182,18.8891925646843,18.480905312702,19.5498640857209,18.3803951537006,19.8560748765656,19.2725644305114,17.2689625362153,18.6463620333626,18.1891573569547,18.5468287607984,19.4579561813697,17.2646042345948,18.7235580282086,18.4837093988253,18.1760382700658,18.7560321558318,18.9855730572714,0.0462943397914683,0.709117856234174
"1289","sp|Q9H7Z7|PGES2_HUMAN",1,4,NA,2,3,1,1,1,3,1,3,4,4,NA,1,2,2,2,3,2,1,NA,3,2,3,1,NA,3,3,NA,4,2,2,1,NA,NA,3,1,17.8922211317952,19.8820166474899,17.9772316181698,18.6203950389563,20.6833731067507,15.8963818395896,17.4346397918231,16.0753847160571,19.0106805548311,17.7674378120427,18.7919056837216,19.5663402469944,20.9537009153073,NA,16.0765615585017,18.3870179789978,17.6480656988738,18.746077780542,18.3682557397437,19.4123935965974,18.1485830326207,NA,19.6464509350151,17.6934215485053,19.242801511653,18.7010624382124,NA,18.6233725957058,17.8439070697167,14.9389184093092,19.271136714023,19.0107024060744,16.5860607169661,17.1147304861438,NA,16.517025887286,19.1609377518409,16.8343214198957,-0.644088981350218,0.363966236660062
"1290","sp|P11137|MTAP2_HUMAN",NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,16.9283527408063,NA,17.9904681491781,NA,20.2468319120212,NA,15.3020983830347,NA,NA,NA,19.7597192700096,15.8791830836324,NA,NA,NA,NA,14.5989469264641,NA,NA,16.7959057192191,NA,NA,15.2653304494555,NA,NA,NA,NA,NA,14.9676981922536,NA,NA,NA,17.9740360747095,NA,NA,NA,-0.666175831677872,0.95046417425652
"1291","sp|P19525|E2AK2_HUMAN",NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.8867056494008,16.7525501271292,NA,16.6484856660704,NA,14.8522251771095,19.5857901831477,15.1040085660039,NA,14.44974964311,NA,15.5089101671147,18.0192477782375,NA,NA,NA,NA,NA,NA,NA,15.4239894192097,15.5909299649951,15.3407701788623,NA,14.9324242376377,15.441954348474,16.4780780254555,15.7448601101158,15.2111582472802,14.7025065838636,NA,16.3542385327606,14.41304145055,NA,14.3602586408315,NA,NA,NA,-0.406017391357036,0.767506091038968
"1292","sp|Q92599|SEPT8_HUMAN",4,2,1,1,2,1,1,1,NA,NA,2,NA,1,1,1,1,1,1,3,1,NA,1,1,1,1,1,1,2,2,NA,1,1,5,1,2,1,3,1,20.2715624783145,19.0082786709467,17.2875791946161,17.8903730047559,20.2611012300911,16.9090639191988,18.9746140602443,16.2374166908953,NA,NA,18.3690758272953,15.8371597696883,17.1757676458763,16.4594628378411,17.1624008687981,17.5965034621903,17.3778094668576,17.247371824994,18.7212661081828,18.408445598248,16.926419588826,16.981317870137,16.9035637975112,16.584713429999,16.8856136847946,17.2964303408116,16.8564133699389,18.731702063443,17.7159487222459,NA,15.8397298388071,16.9789902535072,20.0585955916866,16.6063087656807,18.0307865225972,16.1052865232022,19.3001829929381,17.9683404356203,-0.780275648766992,0.156449584900586
"1293","sp|P46379|BAG6_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,17.0385821039836,NA,NA,NA,16.777873774075,NA,NA,NA,16.5401060867297,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.6640558348596,NA,17.7710654530391,14.7989390217333,NA,NA,15.8978007964171,NA,NA,15.8176167626513,14.5648116055642,NA,14.3427559804402,NA,NA,NA,15.2228477202344,NA,18.4080079531696,15.7206504134074,-1.07705533158725,0.4451199661423
"1294","sp|Q9Y5M8|SRPRB_HUMAN",5,NA,5,4,5,3,1,2,NA,NA,5,NA,4,3,2,NA,3,NA,4,NA,2,2,1,NA,2,3,NA,4,4,4,2,NA,NA,NA,NA,1,2,NA,20.4954808050882,NA,20.7667961831852,19.9313937185169,21.2103010932465,18.8828333254144,18.8670381236507,16.3195234200229,NA,NA,19.135947060723,NA,19.2809349793316,19.4227246538012,18.276612886444,NA,18.9449660520091,NA,18.846508251896,NA,18.4360559886899,18.1940008128675,16.488768576624,NA,17.8549288756674,18.5131154215911,16.0364642691483,19.077225810346,19.6233262587266,18.2367295302567,16.8179844256318,NA,NA,NA,NA,16.8514377120215,18.7774514695915,16.4154831544359,-0.556776075300953,0.573334564741794
"1295","sp|P50135|HNMT_HUMAN",2,3,4,5,4,4,5,3,4,4,3,6,5,4,3,4,5,3,4,3,1,4,2,4,4,4,3,5,4,5,3,2,3,3,3,5,NA,5,19.71249383508,20.206088177796,20.7832705403916,20.6944165540126,21.6249883946402,20.5616788079814,21.7134203939947,18.7016381245505,19.6968578329717,19.8845945227859,18.1694401765671,20.2004394782941,20.8830369153834,20.5467248190296,19.7324102861858,20.589711834128,19.575057930913,19.0924818150026,19.2226830368472,21.4572965791788,19.0811776776778,20.2221386509017,18.7492591428482,20.6128163155371,20.9566983843787,19.9506730024859,19.7580095727205,20.6486971484124,19.1252920770219,19.9436104825353,19.0474513001777,20.7270836883332,19.6576928582423,21.0173130713713,20.4989600823457,19.681455476516,16.6677290304524,20.275932511891,0.545203241679131,0.0625731858764669
"1296","sp|Q9UNU6|CP8B1_HUMAN",NA,1,7,6,NA,5,1,2,1,NA,NA,NA,NA,2,1,NA,2,NA,NA,2,2,1,NA,1,2,2,2,3,NA,2,NA,NA,NA,1,3,1,NA,1,15.4488167641262,17.058345353702,21.9124484452211,20.8209125321625,NA,19.8107128298014,20.0225320603395,17.7905565921322,18.299775663732,NA,16.8353875042335,NA,17.0538203772056,19.9150332182284,19.0605260643558,NA,19.2708325409031,NA,NA,19.5512990740628,19.806069090435,18.7270274655051,NA,18.6380889726797,19.3044096812837,19.6193465020165,19.4701910375166,20.3655583340345,16.607937811293,18.9211585864154,15.000418201188,NA,NA,18.3797408653336,19.1925820758821,17.8991729746602,NA,18.6741475350215,0.634668108431472,0.50055861904718
"1297","sp|Q5SSJ5|HP1B3_HUMAN",7,2,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,1,NA,NA,NA,NA,20.7790969246608,18.9414513815281,18.272272520282,18.1137809224957,20.2409927532779,17.537498784397,19.1594088193384,15.4963323286186,16.5056679842323,15.8915594511171,NA,17.1614242117355,16.2002528407144,18.4439719368442,17.3146604181815,16.5313864867888,16.4036608373705,15.1515767115935,17.2341837745077,18.7941866827214,16.174903062213,17.5842664038724,15.6226035379358,15.5190249680589,18.1824299508757,17.6852893379885,16.538090089018,18.1529851020421,18.2047823177985,16.1651947614909,16.1575877329038,16.5206779118418,NA,17.5541344906727,14.7420493822364,14.4822344445619,18.1848811043038,15.2593420098205,-0.512896425287728,0.550261116856639
"1298","sp|Q01433|AMPD2_HUMAN",NA,NA,1,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,21.4575924213051,21.2359064189253,21.9528442262365,21.3305881380206,22.9314889483945,19.7976403449797,20.7724408361117,19.501727618314,21.192627234632,20.6213735909588,20.6740991444288,21.0375028838393,21.8676304459178,20.8709499416185,21.0019896705065,21.4971070126476,21.4927060004137,21.040630194083,20.777585525733,22.28506181181,21.2289983117528,20.9330289193668,21.0110774174236,21.085504552544,21.7797203569078,21.4632620549323,21.2497851778377,21.3803720163558,20.3989750952724,20.4559219087831,18.7737887562869,21.673686051033,20.8975707421907,21.6136225603078,21.1323903724029,21.0378786934248,21.6701228498397,21.4177076801206,-0.1044190074489,0.778977169676154
"1299","sp|Q9UI32|GLSL_HUMAN",NA,NA,NA,3,NA,2,NA,NA,NA,1,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,15.3080687839525,NA,17.2786445558838,19.0409680726103,NA,17.665790435545,NA,14.4234271645557,NA,17.2603677251613,18.5570745097625,14.8272871232775,16.6541921100072,16.1674604851736,14.5289833030505,17.4895513397389,NA,NA,NA,16.5116556885562,16.4775062660116,14.9157332910993,17.0756886777043,18.5072694651847,NA,17.2529166072936,17.3514458585279,16.1289937646279,NA,16.5492428939179,15.0509407902388,17.2042213170644,NA,18.7937310951591,14.6396866426309,17.4373939870201,14.5158993775893,16.9362007168379,0.758214427914167,0.277454922616213
"1300","sp|Q9BXN1|ASPN_HUMAN",2,NA,NA,NA,3,3,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,18.191363809392,17.5398511179892,NA,17.2147211416434,20.9940155073542,17.4250890881107,NA,NA,NA,NA,19.6409842861383,16.8061953992877,NA,NA,17.1850533061506,NA,17.3677549758306,NA,NA,16.512481382713,NA,17.4368035129662,16.931222627288,15.1697500546691,NA,NA,NA,17.1455602426059,13.946404642438,NA,15.8921142038774,NA,20.6263204178288,NA,NA,NA,NA,NA,-0.957608371534951,0.452727603535519
"1301","sp|P08754|GNAI3_HUMAN",3,NA,2,1,4,3,3,1,1,NA,3,NA,3,2,2,NA,4,NA,3,3,3,3,3,2,3,3,4,3,2,2,1,NA,3,3,1,2,3,2,20.7938166101325,17.5520838144489,20.3938518055787,19.9954317952577,21.6495271162024,19.2149651643079,20.2201917243986,18.4908137890882,18.9464444241584,16.5903548855112,19.4392872310794,NA,19.8164698365778,19.4072358513686,19.5680631576013,16.8558347411703,19.9445047525199,16.4018618176872,19.9118223275578,20.0738289132831,18.8919744383851,19.0645490600873,18.9100382410946,19.2605635375179,19.8043744819034,19.3870938568279,19.0740083055079,19.8533786727313,19.3484746412639,18.6776160102705,17.3907530514963,17.7267568604177,20.0924834409449,19.290557767364,18.2581620135108,17.3595438531926,19.8809066474133,19.0685409786254,-1.02597532291781,0.0323027757404503
"1302","sp|Q92604|LGAT1_HUMAN",NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,15.301608008089,NA,NA,NA,21.1861326818689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.786693602091,NA,16.8338033972234,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.9036573483854,NA,NA,NA,15.1597152675754,NA,NA,NA,NA,NA,NA,0.976583858301408
"1303","sp|Q14160|SCRIB_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,15.0847814034424,16.6672248027206,15.1515525331165,18.5195913752266,NA,NA,NA,15.0260669087752,14.4559275760811,NA,NA,15.3743857657891,15.0058017175454,NA,NA,15.5637489173661,NA,NA,NA,15.5831909185532,NA,17.3734009731793,16.5975545972045,16.6224821436541,NA,15.1015534830445,14.7290938682488,14.735755914288,NA,15.4600449922453,16.8234841756129,NA,NA,14.7795716313648,NA,NA,NA,-0.493699694386052,0.626675811301243
"1304","sp|P63208|SKP1_HUMAN",2,2,2,2,1,1,1,1,1,2,1,2,4,NA,2,2,3,1,4,1,1,1,1,1,1,1,1,2,3,1,1,1,3,1,3,1,4,NA,19.8679881047469,19.3391069090001,19.5605721376764,18.7826039559836,20.1742750248117,17.625224106274,20.4009371450971,17.3510422225808,18.8505807823274,18.3021415908985,18.4893273836308,19.2568866126659,19.6512673181036,17.5606697322394,19.1430012081932,19.362047359234,18.9338066165402,17.9248087929656,19.2396130957789,19.0154009226616,18.8891735178905,17.9070782582092,17.9755182491749,18.2374398924971,18.2889512577621,18.6109301000417,18.9535455215242,19.0018800995054,18.6898681301187,18.3275411536993,16.8776408563582,17.7240826641747,18.8133255808094,17.8329199216981,19.9773349638868,18.0902788390841,19.6019339701296,17.6300348585981,-0.762975940660495,0.033357693257973
"1305","sp|P05026|AT1B1_HUMAN",1,NA,1,1,NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,3,NA,18.6528747254801,15.2115856739464,18.9806869847997,18.5825979719127,20.3264588385295,16.6479714352564,18.7985675164593,16.1709069709304,17.8267885978805,NA,17.7498356531085,NA,15.5052071003184,18.4899644285317,18.8709805825784,NA,18.9413198975876,15.5411229394526,NA,18.5587987074876,19.4581403530509,16.1129818816109,16.7700154841437,18.1157959925248,15.6322355495217,16.5091318387923,NA,17.9532257870543,18.698712499522,15.8012688155353,NA,NA,17.373941273853,18.0745547104299,16.7575928871139,16.2240955337769,20.262582651343,17.7964690240931,-1.11017317311662,0.088935568408506
"1306","sp|Q9BZZ5|API5_HUMAN",2,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,2,NA,1,NA,1,NA,1,NA,1,NA,2,NA,NA,NA,1,NA,NA,NA,20.3311755510132,18.1904842183074,19.7577201106319,18.9168681450111,20.1535399714309,17.7738655238615,19.5208390209109,17.8583906665261,17.3095188084118,18.0788422322894,19.2124965276852,18.0738865868393,19.5806400654567,17.6471542726622,18.2026581910115,19.0151114642551,18.5622339261784,17.2127184644055,18.0977725476892,19.1281040056263,19.1183657490565,18.034150113214,17.9171646515111,16.9218903197177,18.8067400719942,17.9069440734252,18.8027847376774,18.0708193187093,18.6104596565372,17.5013709542866,18.0192948056704,18.008180309209,17.6289943211763,17.2413054242214,18.0010431859631,18.109379537555,19.7269965104286,18.7150087619896,-0.787156000964357,0.0285156672394882
"1307","sp|P60900|PSA6_HUMAN",4,4,4,3,4,3,5,4,4,5,4,5,4,3,5,5,4,3,4,5,4,3,4,4,4,5,5,4,4,5,4,5,4,4,4,4,4,5,21.367307294672,21.2175159499124,21.3152159130952,21.2283897983295,21.9720419790838,20.6487216069572,22.0922262934677,20.2503707109368,21.0678987705893,21.1211678130289,20.741938966911,20.8947867734935,20.8428960284548,20.7626373100632,21.5456608077848,21.3159512354527,20.6848669496632,20.7392637211909,20.4859341850434,21.766999234292,21.5840147944191,20.6722723165078,20.2761623309669,20.9013539763146,20.5177019477377,21.1823907160113,21.3850532249545,20.9276953289385,20.5179986214431,20.5410677755329,19.9848946462563,21.4176696988201,20.4200511866897,20.9251483784709,20.5843475890453,20.473514765121,21.2479489477537,21.1048818457832,-0.0285453433091631,0.446058564545758
"1308","sp|O00425|IF2B3_HUMAN",NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.8564603930912,NA,21.5048336533108,NA,21.7542744512399,NA,22.0848631982358,NA,18.2225746996377,NA,20.3584334891468,NA,NA,NA,17.8071627604154,NA,19.3783930403114,21.6039851985228,19.5923524440722,18.6557822560815,17.7110066895008,20.600212606944,21.5284303827859,17.8873095790782,19.8622010830065,NA,14.9044605771441,NA,NA,21.6233632221443,17.6327704683049,21.5070309712203,19.96581977396,19.6788314556918,NA,NA,0.81142352015333,0.44948402469212
"1309","sp|P62241|RS8_HUMAN",4,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,3,2,2,2,1,2,2,2,2,2,21.970916419623,20.250205877541,20.5297222146856,20.5669695022876,20.954879371155,19.5274156859417,19.8712884456008,18.8216079890121,19.1571532319441,19.2849150111806,19.7131217483968,20.0620453205951,20.3105570354532,19.983101464282,19.2643548345251,19.9209003398506,20.0004071974466,19.5200746671159,20.7369456440408,19.9973465381873,19.8564201180226,19.8582092827292,19.7774931116426,19.1691899453449,20.0572444650275,20.281310325344,20.0225466215699,19.8953865020458,20.5256094588775,19.0561296344455,18.530275483285,19.5674084937492,19.0483734671828,19.4507317708493,19.1744935688106,18.7274389619455,19.8500921967558,19.4431703160965,-0.314123000289553,0.429294667134226
"1310","sp|Q9BT78|CSN4_HUMAN",NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,2,NA,15.9903364591189,NA,16.5877287401779,13.4812595811302,16.703616768215,15.2435823619191,18.0006499204895,14.077275549746,16.6067746015243,NA,16.9124853222475,NA,17.30897000011,NA,NA,14.4125122913337,15.8960478201421,14.203019871852,16.7020651124628,17.4744292301547,16.5552820348615,NA,17.1550882924644,14.6858060411799,16.514783697254,14.5158735129399,16.5092609897673,16.5801320846694,16.2532842838699,NA,NA,NA,NA,NA,16.6476153975715,NA,17.5471105978195,NA,-1.77942813850046,0.000688918125091821
"1311","sp|P55010|IF5_HUMAN",3,4,2,1,2,3,2,1,NA,NA,1,3,NA,NA,4,4,1,2,NA,2,3,1,4,1,NA,2,3,1,3,NA,NA,NA,1,2,NA,2,3,2,18.5531679167904,19.3223097193146,17.9653162909158,18.0423410283151,18.0532926867754,17.8925252073705,18.5279756411549,15.858934590098,15.2617357423168,NA,16.7300100668045,18.8436323165928,15.6522918152023,NA,18.7065686271898,19.2208945970133,16.459042042224,18.4206618566016,15.1859304080488,18.4066282931127,18.4638385237147,16.7453012872253,18.5839903382708,17.2321744044878,NA,17.8516665188318,19.0863866654173,17.0551373027751,18.1828203014792,15.0237738420237,NA,18.0060828837838,15.8620849580153,16.7119939785628,15.1086212375912,17.0578513035332,19.1018436222919,17.5454523854345,0.220732037110206,0.730022299359885
